participant	content
INV:	what's happening in the picture ?
CHI:	<he> [/?] the boy 0is [^ ev] falling down [^ eu] .
CHI:	he get [^ ev] a cookie jar [^ eu] .
INV:	what else is happening in this picture ?
CHI:	<the the the> [/?] the water 0is [^ ev] spilling down 0on
INV:	<good job> [<] .
INV:	the water is spilling all over the floor .
INV:	what is going to happen next ?
CHI:	<it's only> [/?] it's only <&d> [/?] spilling all over the place .
INV:	say that again .
INV:	it xxx +...
CHI:	spilling all ov(er) the place [^ ns] .
INV:	tell me one more thing about this story .
CHI:	her [^ ew:she] [^ epronoun] is trying to think [^ eu] .
INV:	what's happ(ening) xxx +/.
CHI:	the daddy xxx +/.
INV:	wait .
INV:	what's happening in the picture ?
CHI:	the daddy 0is [^ ev] trying 0to [^ emorph] put some toast in there
INV:	what else is happening in this picture ?
CHI:	<her the> [/?] the sisters [^ ew:sister] [^ emorph] is really <tire
INV:	look, the little girl is still in her pajamas .
INV:	what is going to happen next ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] tired &=yawns [^ eu] .
INV:	say that again .
CHI:	her's [^ ew:she's] tired [^ ns] .
INV:	her's tired .
INV:	tell me one more thing about this story .
CHI:	the mommy put some milk in here <and the> [/?] because she's trying
INV:	what's happening in the picture ?
CHI:	the boy <throwing &s &s> [/?] 0is [^ ev] throwing <&s> [/?] 0a
CHI:	and then them [^ ew:they] [^ epronoun] is [^ ew:are] [^ ev] making
INV:	what else is happening in this picture ?
CHI:	he is really shoveling .
INV:	the boys are throwing snowballs .
INV:	what is going to happen next ?
CHI:	<and these> [/?] and the girl is making a snowman .
CHI:	and the boy is making a &um snowman .
INV:	tell me one more thing about this story .
CHI:	<&um that> [/?] he is shoveling [^ earg] [^ eu] .
CHI:	and he can't do it .
CHI:	so he 0is [^ ev] shoveling the snow because <there &th> [/?] then
CHI:	<an> [/?] and then <the the> [/?] the boys make the snowball .
CHI:	and the girl <and the and the> [/?] and the boy, they're making a
INV:	what's happening in the picture ?
CHI:	they're snatching [^ earg] [^ eu] .
INV:	what else is happening in this picture ?
CHI:	the mommy say [^ ev] no [^ eu] .
CHI:	and they're really shouting .
CHI:	and <they're> [/?] they're fighting .
CHI:	because the mommy's really say [* m:0ing] [^ emorph] “no” because
CHI:	and then they're not sharing the bucket .
CHI:	but these are on the bucket .
INV:	look the boys are fighting .
INV:	and here comes the mom .
INV:	what is going to happen next ?
CHI:	they're really trying to 0be [^ other] mad [^ eu] .
CHI:	and the mommy say [^ ev] “no” because [^ ew] [^ emorph] they're mad
CHI:	and xxx bucket .
CHI:	<and they're> [/?] and these 0are [^ ev] their shovels [^ eu] .
INV:	tell me one more thing about the story .
CHI:	he want [* m:03s] [^ ev] it first [^ eu] .
CHI:	and he want [* m:03s] [^ ev] it second [^ eu] .
CHI:	but there's another one .
INV:	good job .
CHI:	because <there> [/?] there xxx on their sand because he want it
INV:	what's happening in the picture ?
CHI:	<they're is really trying to> [/?] they're [^ ew:they] is
CHI:	but he is really driving [^ earg] [^ eu] .
CHI:	because they're really mad .
INV:	okay .
CHI:	they're trying 0to [^ emorph] get their dog [^ eu] .
INV:	what else is happening in this picture ?
CHI:	the dog say [* m:03s] [^ ev] “watch out behind you” [^ eu] .
CHI:	“there's a bus” .
INV:	the dog is in front of the bus .
INV:	the bus can't move .
INV:	what is going to happen next ?
CHI:	<&th &th &th the xxx> [/?] the bus try [^ ev] 0to [^ emorph] hurt
CHI:	so they xxx the dog because <they're they're they're they're
CHI:	and then he can't stop the guy because he <xxx> [>] .
INV:	<okay> [<] .
CHI:	and then the bus again [^ frag] [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	<the> [/?] the boy tries 0to [^ emorph] shoot the dog because the
