participant	content
INV:	what is happening in the picture ?
CHI:	that 0is [^ ev] 0a [^ emorph] pretty picture [^ eu] .
INV:	just tell something about the picture .
INV:	tell me something about the picture .
CHI:	picture [x 6] [^ imitation] [^ ns] .
INV:	okay, can you tell me what else is happening in this picture ?
CHI:	happen picture [^ imitation] [^ ns] .
INV:	okay, I'll start the start the story and you finish it .
CHI:	finish [^ imitation] [^ ns] .
INV:	the dog and the girl have daddy's shoes <and then> [>] xxx +...
CHI:	shoes [<] [^ imitation] [^ ns] .
CHI:	[^ earg] give [^ earg] to you [^ eu] .
INV:	give it to you ?
INV:	okay, good job .
INV:	and tell me one more thing about the story .
CHI:	story [^ imitation] [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	story [^ imitation] [^ ns] .
INV:	what's happening in the picture ?
CHI:	0the [^ emorph] picture say [* m:03s] [^ ev] tree
INV:	tree ?
CHI:	tree [^ ns] .
INV:	okay, good .
INV:	what else is happening in this picture ?
CHI:	is happening [^ imitation] [^ ns] .
INV:	what else is happening in the picture ?
CHI:	happening [^ imitation] [^ ns] .
INV:	just tell me something else about the picture .
CHI:	picture [^ imitation] [^ ns] !
INV:	okay .
INV:	now I'll start the start the story and you finish it .
CHI:	finish [% whispering] [^ imitation] [^ ns] .
INV:	the children see the cat .
CHI:	cat [^ imitation] [^ ns] .
INV:	the cat is stuck up in the tree .
CHI:	tree [^ imitation] [^ ns] .
INV:	and then xxx +...
CHI:	then cat go tree [^ eu] .
INV:	what the tree ?
CHI:	say tree cat [^ ns] .
INV:	say tree cat ?
CHI:	tree cat [^ ns] .
INV:	tree cat, okay good .
INV:	and tell me one more thing about the story .
CHI:	boy [^ frag] [^ eu] .
CHI:	boy [^ ns] .
INV:	boy ?
INV:	okay, very good .
INV:	what is happening in the picture ?
CHI:	picture [% repeated “picture” four more times] [^ imitation] [^ ns]
INV:	just tell something about the picture .
CHI:	picture [% repeated “picture” four more times] [^ imitation] [^ ns]
INV:	okay, what else is happening in the picture ?
CHI:	they fall down .
INV:	what fall down ?
CHI:	they fall down tree [^ ns] .
INV:	fall down tree ?
INV:	okay very good .
INV:	good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	they raked the leaves into a big pile and then xxx +...
CHI:	then (.) happy [^ frag] [^ eu] .
INV:	happy ?
INV:	good, good job .
INV:	and tell me one more thing about the story .
CHI:	0 .
INV:	what is that ?
INV:	what did you say ?
INV:	what is that ?
CHI:	<that's> [/?] that's xxx +...
INV:	grr ?
CHI:	grah@o [^ ns] .
INV:	like a bear ?
INV:	grr ?
CHI:	grr [^ ns] .
INV:	oh okay .
INV:	alright good job .
INV:	what's happening in the picture ?
CHI:	picture picture [^ imitation] [^ ns] .
INV:	just tell something about the picture .
CHI:	picture [^ x 4] [^ imitation] [^ ns] .
INV:	okay, what else is happening in this picture ?
CHI:	is happening picture [^ imitation] [^ ns] .
CHI:	is happen picture [^ ns] .
INV:	tell me something else about the picture .
INV:	let's look .
INV:	tell me something else about the picture .
CHI:	okay [% whispering] .
CHI:	picture [^ x 6] [^ imitation] [^ ns] .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the little girl is still in her pajamas .
CHI:	pajama [^ imitation] [^ ns] .
INV:	and then xxx +...
CHI:	then [^ earg] cooking [^ eu] !
INV:	cooking ?
CHI:	cooking [^ ns] .
INV:	cooking, okay .
INV:	good job .
INV:	tell me one more thing about the story .
CHI:	banana [^ frag] [^ eu] .
INV:	what did you say ?
CHI:	it's eat [* m:0ing] [^ other] [^ eu] .
INV:	eat ?
INV:	what did you say first ?
CHI:	eat [^ ns] .
INV:	banana ?
CHI:	banana [^ ns] .
INV:	bamada@n .
INV:	what did you say ?
CHI:	<ba> [/?] eat [^ ns] .
INV:	banana eat ?
CHI:	banana eat [^ ns] .
INV:	what did you say ?
CHI:	banana eat [^ ns] .
INV:	father eat ?
CHI:	father eat [^ imitation] [^ ns] .
INV:	is that what you said ?
INV:	okay .
INV:	alright good job .
INV:	what's happening in the picture ?
CHI:	picture [^ imitation] [^ ns] .
CHI:	the picture [^ imitation] [^ ns] .
CHI:	the picture [^ imitation] [^ ns] .
CHI:	picture [^ imitation] [^ ns] .
CHI:	picture [% whispering] [^ imitation] [^ ns] .
INV:	what else is happening in this picture ?
CHI:	it's picture [x 7] [^ imitation] [^ ns] [^ ns] .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	oh_no, the dog ate some of the cake .
CHI:	cake [^ imitation] [^ ns] .
INV:	and then xxx +...
CHI:	then [/] then they [^ other] 0v cake [^ eu] .
CHI:	it's messy .
INV:	the cake is messy, good job .
INV:	very good .
INV:	very good .
INV:	and tell me one more thing about the story .
CHI:	broom [^ frag] [^ eu] .
INV:	broom, that's right .
INV:	alright, I'm <gonna> [>] xxx +/.
CHI:	<he's mad> [<] .
INV:	I'm sorry ?
CHI:	he's mad [^ ns] .
INV:	he's mad ?
CHI:	he's mad [^ ns] .
INV:	he is mad, very good job .
INV:	what's happening in the picture ?
