participant	content
MOT:	are you gonna close the door ?
CHI:	ah [/?] !
MOT:	stand it up .
MOT:	see .
MOT:	there it goes .
CHI:	Ma , put in spaceship .
MOT:	in the spaceship .
MOT:	yup .
CHI:	help .
MOT:	okay .
MOT:	try to make him go downstairs .
CHI:	okay .
MOT:	the other way .
CHI:	other way ?
MOT:	yeah .
CHI:	Ma go downstairs .
MOT:	he's going down stairs ?
MOT:	yay [/?] !
MOT:	you're doing it .
CHI:	yay [/?] .
MOT:	you silly .
CHI:	you silly .
MOT:	you're silly .
MOT:	okay .
MOT:	can you open it ?
CHI:	yes .
MOT:	oh , .
MOT:	now this one wants to go down .
MOT:	okay .
CHI:	oop [/?] .
MOT:	he wants to go in his spaceship .
MOT:	there he is .
MOT:	he's in his spaceship .
MOT:	okay .
MOT:	push it back up again .
MOT:	because this guy wants to go down .
MOT:	this alien .
MOT:	and what color's this alien ?
CHI:	alien .
MOT:	what color ?
CHI:	alien .
MOT:	I know .
MOT:	but what color is it ?
CHI:	green .
MOT:	yeah .
MOT:	very good .
CHI:	Ma , get more .
CHI:	Ma , get more .
MOT:	you wanna put them on there now ?
MOT:	okay .
MOT:	and close the door .
CHI:	byebye .
CHI:	okay .
MOT:	okay .
CHI:	downstairs .
MOT:	downstairs .
MOT:	that's right .
MOT:	the other way .
CHI:	okay , the other way .
MOT:	see ?
CHI:	here it comes .
MOT:	here it comes .
CHI:	mom .
CHI:	no .
CHI:	here it comes .
MOT:	here he comes .
CHI:	okay .
MOT:	okay .
CHI:	ah [/?] !
MOT:	can you open ?
CHI:	open .
CHI:	open .
CHI:	ah [/?] !
MOT:	ah [/?] !
MOT:	he wants to go on the space ship , too .
CHI:	wee [/?] .
CHI:	I go spaceship okay .
MOT:	okay .
CHI:	your turn .
MOT:	whose turn ?
MOT:	the man's ?
CHI:	man's , yeah .
MOT:	go get a man over there .
CHI:	here .
MOT:	okay .
MOT:	what color is this one ?
MOT:	what color ?
CHI:	yellow .
MOT:	yeah .
MOT:	very good .
CHI:	here you go .
MOT:	here he goes .
CHI:	there it goes .
MOT:	here it comes .
MOT:	what do you say ?
MOT:	what do you say ?
MOT:	hey [/?] Bob ?
CHI:	what ?
MOT:	come here .
MOT:	you know what to do +/.
CHI:	spaceship .
MOT:	spaceship .
MOT:	that's right .
MOT:	here .
MOT:	turn around this way .
MOT:	turn around .
MOT:	this way .
MOT:	come over here .
CHI:	okay .
CHI:	mom , more spaceship .
MOT:	oh , more spaceships .
MOT:	we're gonna fold up the legs .
MOT:	and it's gonna fly .
MOT:	rrr [/?] .
MOT:	come over here .
CHI:	okay .
CHI:	xxx .
CHI:	here it go .
MOT:	here it goes .
CHI:	up .
CHI:	Ma up !
MOT:	up .
CHI:	ah [/?] !
MOT:	oh , Bob !
MOT:	what ?
MOT:	come on over here .
MOT:	here .
MOT:	the man's going down .
MOT:	push the man +/.
MOT:	he's gotta go in .
MOT:	he wants to go down the stairs .
MOT:	come over this way .
CHI:	ow [/?] !
MOT:	what's the matter ?
CHI:	a puppet .
MOT:	puppet ?
MOT:	did you play with the puppet today in camp ?
CHI:	Alison .
MOT:	no .
MOT:	Alison did ?
MOT:	listen .
CHI:	what ?
MOT:	did you go on a boat today ?
CHI:	boat today .
MOT:	you did ?
MOT:	you went on a boat ?
CHI:	yeah , today .
MOT:	yeah .
MOT:	did you see the fish ?
CHI:	<ah , ya , ya , ya> [/?] .
MOT:	<Bob , Bob , Bob> [/?] Bob ?
MOT:	what's a fish do ?
MOT:	what's a fish do ?
CHI:	<ah , ya , ya , ya> [/?] .
MOT:	show mama .
MOT:	<no , no> [/?] no .
MOT:	what's a fish do ?
CHI:	<ah , ya , ya , ya> [/?] .
MOT:	Billy ?
