participant	content
MOT	should we have some tea 
MOT	let's see what else we need  
CHI	  the baby  
MOT	and the baby 
MOT	does she want tea too 
CHI	no 
MOT	no she's gonna have her bottle 
MOT	okay  that's a good idea 
MOT	so you give your baby the bottle and then we can have  cup of
MOT	what do you think 
CHI	yes 
MOT	yeh okay 
CHI	she loves  
MOT	her bottle 
MOT	now would you like some tea 
CHI	yeh 
MOT	okay I'll pour some tea in there 
CHI	and  
MOT	now what else would you like 
CHI	I 
MOT	would you like some sugar in there 
CHI	yes 
MOT	kay put them in there 
MOT	do you wanna mix it up for me 
MOT	here you mix it up 
MOT	I'm gonna have some sugar in mine too and I'll mix it up 
MOT	you wanna take a sip  
CHI	what take  
MOT	oh she's too busy  having her bottle 
MOT	you want me to hold the baby for you while you take  your tea 
CHI	no 
MOT	no you're gonna hold her 
CHI	yes 
MOT	okay 
CHI	she loves milk 
MOT	she loves milk okay  
MOT	alright let's see what else we got here 
CHI	she wants  to play her toys  
MOT	do you wanna put her  back in there for now and then we can
CHI	no 
MOT	no what else do you wanna play with 
CHI	I needta  
CHI	I wanna I don't wanna play with this anymore 
MOT	you don't wanna play with the teaset 
MOT	should we put it back in the box 
CHI	 
MOT	alright 
MOT	can you help me put it back in the box please 
CHI	yes 
MOT	alright I'm gonna call you 
MOT	you wanna take your cellphone 
CHI	no  
MOT	 grandma's on the phone 
CHI	I don't want phone 
MOT	no 
MOT	you just wanna  you wanna play with your baby eh 
MOT	well I'm gonna get a baby too 
MOT	I'm gonna brush her her hair  
MOT	oh sorry I'm brushing your hair 
MOT	I got confused 
CHI	don't brush my hair 
MOT	oh just the baby's hair 
CHI	yes 
MOT	alright I'll brush her hair 
CHI	she loves this 
MOT	she does eh 
CHI	she loves to take her hat off 
MOT	oh does she 
CHI	I don't want her hat 
MOT	okay well then you don't hafta put it on 
MOT	does her head get hot 
MOT	is that why she takes her hat off 
CHI	yes 
MOT	yeh 
CHI	that's why he just she just gets a little  rest by this 
MOT	okay 
MOT	that's a lot of milk you're giving her 
MOT	I'm gonna check out the blocks 
CHI	you get to build a tower 
MOT	I'm gonna build something 
CHI	what are you get to build 
MOT	I dunno 
MOT	do you wanna help me 
CHI	no thank_you 
MOT	no 
CHI	I'm okay 
MOT	you're okay alright well I'm gonna build something 
CHI	I  
MOT	aw what do you think I  I think I'll put the blue ones on the
CHI	and you put the yellow ones 
MOT	next 
CHI	yes 
MOT	do you think this is good 
MOT	so what should I do next 
CHI	you put the orange ones on the top 
MOT	okay 
MOT	what do you think of that 
CHI	what's that 
MOT	do you like that 
CHI	yes 
CHI	what's that could be 
MOT	it's a  it's a tea tower 
MOT	how's that 
MOT	kay it's in her mouth sweetie 
MOT	she's fine  
MOT	now listen 
MOT	do you wanna try putting these blocks oh  oh I forgot a block 
MOT	where should we put this guy 
CHI	 that fit here 
MOT	here 
MOT	alright 
MOT	I'm gonna try doing something different with these 
MOT	do you wanna help me 
CHI	yes no  
MOT	kay 
CHI	the baby wants to help too 
MOT	oh she does 
MOT	okay well what does  what does the baby want me to do 
CHI	no I wanna hold her 
MOT	you can hold her 
CHI	here you go 
MOT	thank_you 
MOT	okay you can hold her but now that you have a free hand you can
CHI	  
MOT	oh she's  
CHI	that tickles 
MOT	that tickles 
CHI	 I  drink
CHI	she's really  thirsty 
MOT	she is eh what's her name 
CHI	Hoonst 
MOT	Hoonst is her name  
CHI	 
MOT	that's a  interesting name 
MOT	 how old is she 
CHI	she's three 
MOT	she's three just like you 
MOT	you don't drink from a bottle and you're three 
MOT	maybe she's younger than three 
CHI	she's  very three 
MOT	she's very three 
MOT	what color's her outfit 
CHI	purple 
MOT	that's right 
CHI	she loves the color purple 
MOT	yeh 
MOT	do you like the color purple 
CHI	yes 
MOT	yeh 
MOT	do you have purple do you have purple on your jacket 
CHI	no 
MOT	 
MOT	do you think it's time for her to go to bed soon 
MOT	take a nap 
CHI	no 
MOT	no eh 
CHI	she doesn't wanna go for a nap 
CHI	soon she wants to eat 
MOT	 she's really hungry 
CHI	and drink too 
MOT	yeah I can see  well do you wanna give her some food 
MOT	you should give her some food with a spoon on the plate 
MOT	you said she wanted to eat 
MOT	oh that's a good idea 
CHI	maybe she wants a banana 
