participant	content
MOT	Ginny 
MOT	Look at the baby 
MOT	let's feed the baby Ginny 
MOT	can you feed the baby 
MOT	can we feed the baby 
MOT	let's feed the baby 
MOT	open your mouth baby 
CHI	 
MOT	 
MOT	open your mouth baby 
MOT	mm 
MOT	do you wanna feed the baby Ginny 
MOT	oh you're feeding your baby 
CHI	 
MOT	you feed your baby Ginny 
CHI	 
MOT	feed your baby Ginny 
CHI	 
MOT	here feed your baby look 
MOT	I feed this  you feed that baby 
CHI	  
MOT	say open up 
CHI	   
MOT	say open up 
MOT	say eat 
CHI	  
MOT	say eat the food 
MOT	eat up 
MOT	eat up 
MOT	it's delicious you want some to eat too 
CHI	 
MOT	no it's for the baby 
MOT	eat baby 
MOT	eat baby 
MOT	that's a good baby 
CHI	 
MOT	you gotta burp the baby now 
CHI	 
MOT	look Ginny  
MOT	look we can burp the baby now 
MOT	you gonna burp the baby 
MOT	you wanna burp the baby 
CHI	 
MOT	you wanna burp the baby 
MOT	I'm burping the the baby 
CHI	mm 
MOT	you wanna burp the baby 
MOT	no 
MOT	okay 
MOT	yeh burp the baby like this 
MOT	burp the baby 
MOT	yeh 
CHI	    
MOT	yes a baby burp baby 
MOT	 the baby burped 
MOT	she burped 
CHI	 
MOT	oh that's a give me some tea please Ginny pour some tea in here
CHI	   
MOT	pour some tea no Ginny you gotta pour the tea inside 
MOT	give me some tea 
MOT	thank_you 
MOT	drink this tea 
MOT	drink 
CHI	    
MOT	drink   
CHI	ah 
MOT	ah 
MOT	  ah 
MOT	drink more tea 
CHI	 
MOT	  ah 
CHI	 
MOT	she's finished 
MOT	how about the car 
MOT	can the baby go in the  
CHI	no 
MOT	no 
CHI	no 
MOT	you don't want baby to go in the car 
MOT	what do you want baby to  
MOT	 the baby can drink the milk  
MOT	 oh your baby wants to drink it 
CHI	no 
MOT	yeh let your baby drink the milk 
CHI	 
MOT	ah look at the baby drink the milk 
CHI	  
MOT	oh that's good 
CHI	 
MOT	hi baby 
MOT	you're drinking the milk 
CHI	 
MOT	hi Ginny 
MOT	we're playing together 
CHI	you 
MOT	hi baby 
CHI	I'm  
MOT	hi give me a big hug baby 
CHI	 
MOT	aw hug 
MOT	you wanna play with me 
CHI	 play 
MOT	let's run  
CHI	Mom 
MOT	let's run  
CHI	 
MOT	 let's go in the car 
CHI	 
MOT	put baby in the car Ginny 
CHI	 
MOT	put baby in the car 
CHI	 
MOT	yeh 
MOT	put baby in the car Ginny 
CHI	 
MOT	yeh 
MOT	put baby in the car 
MOT	you see baby 
MOT	put baby in the car Ginny 
MOT	put baby in the car 
MOT	put her in the car 
MOT	you wanna put the baby in the car 
MOT	look this baby's gonna go in the car 
MOT	see 
CHI	no  
MOT	no oh 
MOT	okay maybe we'll watch you 
CHI	you can  
MOT	oh here's a phone anyway 
MOT	hello 
MOT	hi 
MOT	talk to Ginny 
MOT	here Ginny wants say hi to you 
CHI	 
MOT	say hi 
MOT	say hi 
CHI	hi 
MOT	say how you doin 
MOT	say how you doing 
MOT	say hi 
MOT	say hi 
MOT	you say hi Ginny 
CHI	no 
MOT	no hi 
MOT	okay no hi 
MOT	we're gonna play with these now 
MOT	and I'm gonna stack them up 
MOT	can you help me 
MOT	help me 
MOT	right 
CHI	 
MOT	do this one now 
MOT	oh they fell down 
MOT	we try again 
MOT	see we make two  them 
MOT	and that way they'll stay 
MOT	see 
MOT	that's nice 
MOT	oh fall down 
MOT	let's try again 
MOT	we could do it this way Ginny 
MOT	like this 
MOT	and then this 
MOT	and look and this 
CHI	  
MOT	 
CHI	  
MOT	she's  oh she's drinking 
MOT	I want some milk too 
CHI	 
MOT	I want some milk Ginny give me milk 
MOT	give me milk 
MOT	I want milk 
MOT	oh 
MOT	yeh give me some more I want some more too 
MOT	drink this up 
MOT	drink it  ah 
CHI	    ah 
CHI	    
MOT	delicious 
MOT	  ah 
CHI	 
CHI	 
MOT	delicious eh 
MOT	it's nice 
CHI	  
MOT	does the baby wanna dance 
MOT	does she wanna dance 
MOT	 
CHI	mm 
MOT	oh she's eating 
MOT	feed me too 
MOT	I want some food too 
MOT	feed me too 
MOT	feed me too 
MOT	can you feed me 
MOT	I want some 
MOT	I want some too give me some food 
MOT	Ginny give me some food too 
MOT	I want some food 
CHI	I want some 
MOT	give me some  give her some food too 
MOT	she wants to eat too 
CHI	 
MOT	 
MOT	she eats with her spoon  she has her spoon 
MOT	two differences you're smart girl 
CHI	 
MOT	you can eat now look  ah 
CHI	 
MOT	 
CHI	 
MOT	delicious eh  
CHI	 
MOT	that was good 
MOT	I'm thirsty can I drink from my bottle 
MOT	 
CHI	 to me 
MOT	oh 
CHI	give me 
MOT	 oh the baby's gonna cry now 
MOT	aw she's crying you dragged away the bottle why you do that Ginny 
CHI	  
MOT	you're sorry 
MOT	tell her you're  give her a kiss tell her you're sorry 
CHI	 
MOT	you're sorry 
MOT	tell her you're sorry 
CHI	I sorry I  
MOT	okay I give you kiss 
MOT	 
CHI	 
MOT	we're best friends again 
CHI	 again 
MOT	best friends again 
MOT	let's dance 
MOT	dance with me 
CHI	 
MOT	 
CHI	   
MOT	 dance with me 
CHI	 
MOT	I want you to dance with me 
MOT	dance with me baby 
CHI	 
MOT	oh you wanna drink 
CHI	  
MOT	you wanna drink 
MOT	say drink 
MOT	you wanna drink 
MOT	ah drink it baby 
MOT	  ah 
CHI	  ah 
MOT	ah 
MOT	  ah 
MOT	put it back 
CHI	 
MOT	what do we do now 
MOT	my baby wants a bottle 
MOT	 oh 
MOT	your baby wants a bottle 
MOT	I see cause that's a real baby 
CHI	 
MOT	this is  this is a big girl that's a little baby 
MOT	you're right the baby gets the bottle she's you're too big for the
CHI	  ah 
MOT	that's right 
MOT	the bottle is for the baby 
MOT	oh you're putting more juice inside of it 
MOT	put more juice in there 
MOT	good  gonna drink this now 
MOT	  ah 
CHI	 
MOT	and  put back 
CHI	   ah 
MOT	ah you're drinking 
MOT	hi can you play with me 
MOT	can you play with me 
MOT	can you play with me 
CHI	hm 
MOT	hi  
CHI	  
MOT	hi can you play with me 
MOT	can you play with me 
MOT	oh 
CHI	  sit down 
MOT	sit down 
MOT	yes sit down 
MOT	sit down 
CHI	sit down 
MOT	sit down 
MOT	now you have one 
MOT	and the baby has another one 
MOT	oh and now we're gonna feed the babies 
MOT	here 
MOT	feed the baby 
MOT	feed the baby 
MOT	open  your mouth 
MOT	open your mouth and eat 
MOT	open your mouth and eat 
MOT	good baby 
MOT	good girl 
MOT	did your baby eat too Ginny 
MOT	can I feed your baby 
CHI	 
MOT	can I feed your baby 
MOT	look 
CHI	no 
MOT	I can't feed your baby 
MOT	you can feed my baby 
MOT	feed my baby 
MOT	give my baby some food 
MOT	okay I'm gonna  oh 
MOT	but I  I'm gonna feed your baby 
MOT	ah 
MOT	we're feeding her together 
MOT	but Ginny this baby's not eating anything 
MOT	Ginny this baby hasta eat too 
MOT	this wait Ginny this baby's not eating anything Ginny 
MOT	if I'm feeding this baby 
MOT	who's gonna feed this baby 
MOT	can you feed this baby 
MOT	Ginny feed this baby 
CHI	 
MOT	this baby's not eating 
CHI	me first 
MOT	 feed the baby 
CHI	I  
MOT	feed the baby 
MOT	Ginny is gonna say bye to babies now 
MOT	 
MOT	it's time to clean up 
MOT	clean up clean up 
CHI	no  
MOT	everybody everywhere 
MOT	clean up clean up everybody do their share 
CHI	 
MOT	Ginny 
MOT	put in the box 
MOT	put the box  Mommy 
MOT	clean up clean up everybody everywhere 
MOT	clean up clean up everybody do their share 
MOT	yay  
CHI	no 
CHI	no more  
MOT	no you gotta cover it 
MOT	no  gotta cover it Ginny 
MOT	Ginny look the box hasta cover 
MOT	the box hasta cover up 
CHI	 
MOT	cover the box Ginny 
CHI	 
