participant	content
CHI	I oops like I draw for right  
CHI	well I yucky  
CHI	white 
CHI	bread 
BRI	yeah 
CHI	well he done 
CHI	well is it 
BRI	the nose 
CHI	house 
CHI	ooh wow 
CHI	oh 
CHI	where's e dog 
BRI	ooh good throw Rebecca 
CHI	let's try again 
CHI	why  you wan hey hey hey 
CHI	there ooh 
CHI	whoa 
CHI	 here's a  
CHI	ai  bee 
CHI	thank thank you ooh 
BRI	what's that 
CHI	hey please please please 
CHI	ooh 
BRI	yeah 
CHI	scret  
CHI	 
BRI	Becca 
CHI	I  can draw black 
CHI	Becca 
CHI	purple 
CHI	ai 
CHI	cover ears please 
BRI	that's a pretty balloon 
CHI	 it 
CHI	a stair 
CHI	the star will be in built  a brick I build with bricks 
CHI	it is for my  pretty big nose 
BRI	what's that 
CHI	well ah ah 
CHI	yes 
BRI	what's in there 
CHI	whoops sorry 
BRI	it's changing color 
CHI	ooh mans are 
CHI	doggie is bigger 
BRI	who taught you to make a nose like that 
CHI	a house 
CHI	a stair 
CHI	swipi  she live in the garden 
CHI	ooh look ooh what's that 
IME	have fun you guys 
BRI	you 
BRI	what color are they 
BRI	is that your balloon 
BRI	that's pretty hair Rebecca 
CHI	a fɨl  
CHI	is it cute 
CHI	brown 
CHI	ooh for fun the fly is cute 
BRI	oh ‡ good job 
CHI	 
CHI	neakers 
CHI	whee 
CHI	well please 
CHI	yes 
CHI	ai 
CHI	before it's just a story happy 
BRI	yeah 
BRI	bzz 
BRI	there's another dog 
CHI	oh ‡ I gotta get here 
BRI	is that where he lives 
BRI	what are you doin Rebecca 
CHI	yucky 
CHI	yes 
CHI	bɤæ  byebye Becca 
CHI	doggie come in 
BRI	whoop 
CHI	let's see 
CHI	pretty balloon is it 
BRI	what's that 
CHI	where are the  
CHI	look 
BRI	where'd you get that balloon Rebecca 
BRI	what color are you gonna make the hair 
CHI	I can draw 
CHI	ooh 
BRI	you like your balloon Rebecca 
CHI	doggie 
CHI	this is schoolbus 
CHI	oh I gotta get the nose 
CHI	well well I did I   
CHI	fru  
CHI	I gotta get this gwæs  
CHI	let's turn it over 
BRI	it's very cute 
CHI	yes 
CHI	pink pink telephone  wɨki  
BRI	Rebecca 
BRI	bread 
CHI	wanna go autsaidi  
CHI	you draw the lai  
CHI	well  ooh 
BRI	white 
BRI	can you throw me the ball 
CHI	what happened 
BRI	mhm 
BRI	wow that's pretty green hair 
CHI	lookit the beautiful they are shape 
CHI	there 
BRI	what's at 
BRI	what color are your shoes 
BRI	which marker are you gonna use 
CHI	oh fine 
BRI	that's you 
CHI	oh hi mwa  
CHI	sorry 
CHI	yes see  
BRI	what's that 
CHI	please I won't be a 
CHI	ooh tha's like me 
BRI	lookit  lookit the dog 
BRI	good job 
BRI	what's that 
BRI	is that where the dogs live too 
IME	I left the balloon in there 
BRI	purple 
CHI	they  shapes 
CHI	fly fly away 
CHI	oh ‡ ah 
BRI	do you wanna draw your balloon in the picture 
CHI	ooh 
BRI	can you make  can you draw a picture for me Rebecca 
CHI	bitwi I wuh 
CHI	and now what can you make 
CHI	ooh that's pretty hair 
CHI	Becca sIzɨt  
BRI	yes 
BRI	what color marker are you gonna use 
CHI	gosh 
CHI	throw 
BRI	that's a nice balloon 
CHI	toys for toys 
CHI	that's nir 
CHI	bɤflbi  
CHI	whoa 
CHI	aw 
BRI	yeah 
CHI	it a beautiful pretty hair 
CHI	 
CHI	a hævi  
CHI	oh yes 
CHI	we'll get the papers there plus ul 
CHI	me 
BRI	now watch this Rebecca 
CHI	this is my hat for the tools 
CHI	stop it Brian ouch ouch 
CHI	there 
CHI	i that me 
BRI	yeah 
CHI	yeah 
CHI	yes 
BRI	you're a good thrower 
CHI	ooh truck truck 
CHI	 
CHI	well is it cute 
CHI	but 
CHI	bɤbɤterfwai  
CHI	oops 
CHI	Becca 
BRI	where'd you get that balloon 
CHI	yes 
CHI	ai u 
BRI	watch this 
CHI	 
CHI	changing color sorry machine sorry   back in space 
BRI	what a cute nose 
CHI	here's a horse 
CHI	oops 
CHI	a dog 
BRI	ooh what's that 
BRI	whoa good throw gonna put the ball over there 
CHI	I can draw 
CHI	there cute shapes 
CHI	wow 
CHI	ooh bust  like me 
CHI	I like this 
BRI	no ‡ you make one 
CHI	well yeah 
BRI	are you gonna have green hair 
CHI	ooh truck 
CHI	 bee 
BRI	bzz 
CHI	ooh ah 
BRI	is that a blue mouth 
BRI	gonna draw another picture of Becca 
CHI	thank you 
CHI	well 
BRI	yeah what are you gonna draw me 
