participant	content
BTY	lemme see this 
MOT	Brittany 
BTY	I said lemme see this book 
BTY	what this say 
BTY	what that say 
CHI	a black chair  
BRI	that says "
BRI	" an elephant makes a big poop a mouse makes a tiny poop 
CHI	oh ‡ he made a poopy 
BTY	watch is 
BTY	what that say 
BRI	" a one hump camel makes a one hump poop 
BTY	 poop 
BRI	" a two hump camel makes a two hump poop 
BTY	you read it before 
BRI	yeah 
CHI	you bei  
MOT	why dontchu  play Devon 
MOT	lookit the toys 
MOT	he was just out there playing with the toys 
MOT	 
CHI	hu 
BTY	huhuhu a fireman Devon 
MOT	Brittany stay here sit down stop playing 
CHI	huhu  de  
CHI	 de  
CHI	out of here 
BRI	what's at 
CHI	what 
BTY	a fish 
BRI	a fish 
CHI	butty 
BTY	a butterfly 
CHI	wha 
CHI	wha 
BTY	a medicine somethin 
CHI	I'll play wi dis  
CHI	I'll play wi dis  
BRI	what's at 
CHI	ɤder 
BRI	a butterfly 
CHI	ɤder 
BTY	lookit my baby 
BRI	oh ‡ that's a cute baby 
BTY	you hold 
BRI	okay ‡ I'll put it in here 
BTY	you have surtifai  
BTY	this her house right here 
BRI	  
BTY	why she lay down there 
CHI	lookit all dis  
MOT	lookit all dat  
BTY	Mom what is this 
BRI	that's a file 
BTY	for what 
BRI	for nails 
BRI	when they build a house they file nails with it 
CHI	and this 
BRI	 I don't know what that is 
BTY	you know what this is 
BRI	what 
BTY	what is it 
BRI	I think it's a horse 
BTY	no 
BRI	no 
BTY	watch I get on it 
CHI	choo choo 
BRI	yep 
BTY	look I got on it 
BTY	lookit 
BRI	yeah 
CHI	ee ee 
BTY	 
CHI	choo choo 
CHI	got my  
BTY	you know what this is 
BRI	what 
BTY	a trailer 
BRI	yep 
BTY	oh ‡ I gotta get another one 
BRI	what's that what is that 
BTY	the  give me a shot 
BRI	yeah 
BTY	I don't want a baby 
BTY	I gonna get a baby named Ariel 
CHI	nuhuh 
CHI	why gotta name 
BTY	ow 
MOT	shh 
CHI	what is it 
BRI	a saw to cut things 
CHI	what is dis 
BRI	a hammer 
CHI	what is dis 
BRI	a pot to cook things in 
CHI	what is dis 
BRI	you know what that is 
BTY	a car 
BRI	yeah 
CHI	what  is dis 
BTY	a boat 
CHI	what is dis 
BTY	you go like  you know what this is 
BRI	what 
BTY	you know what this is 
BRI	yeah  a saw 
BTY	 
BRI	yeah 
CHI	what i dis de  iron 
CHI	eee 
BTY	what's your name 
BRI	Brian 
BTY	Brian 
BTY	that's  uncle 
BRI	yeah 
CHI	i hot 
BRI	is it hot yeah 
CHI	I wa make a klo  
BRI	okay 
BTY	why you play 
BRI	what 
BTY	why you play 
BRI	 
CHI	take  a 
BRI	you know what is this 
BTY	a duck 
BRI	how's a duck go 
BTY	twirl in the water 
BRI	what kind of noise does a duck make 
BTY	quack quack 
BTY	Mom I wanna leave too 
MOT	no you're not 
BTY	lookit my butterfly 
BTY	 
BRI	maybe in there yeah 
BTY	I put it in there 
BTY	look look at my bunny  bunnyrabbit Easter bunny 
BRI	yeah it's cute 
BRI	did your mom pick that out for you 
BRI	yeah 
BTY	would you read this 
CHI	where lemme  
BRI	yeah Garfield_The_Pirate 
MOT	no 
CHI	it locked 
CHI	the door 
MOT	no ‡ I'm sitting right here 
MOT	gotta clean up your mess 
BRI	 
CHI	stop ooh look 
CHI	imme 
BTY	here throw them away 
BTY	throw it throw it come on 
BTY	throw it throw it 
CHI	tow  
BTY	got me a gɤ 
CHI	kin  it up kin
BTY	hi this is Mister Bee bzz 
BTY	now you turn do it 
BRI	okay 
BRI	bzz 
BRI	bzz 
BTY	Devon help me clean up won't you 
BTY	here mom here Pokemon 
BTY	 
BTY	I wa clean up 
BTY	 
BRI	it's a bunny like your bunny 
BTY	hello this is Mister Bunny do you wanna talk to me 
BTY	Brian 
BRI	how you doin 
CHI	do me 
CHI	lemme hold it 
BTY	let me hold it 
CHI	who 
BTY	this 
BTY	how you open this 
BRI	I don't know 
CHI	everybody kin  up 
BTY	ow stupid stuff 
BTY	I sis  the school 
BRI	I think they're from the dumptruck 
BTY	hello this is Mister Brian do you wan talk to me 
BTY	yes yes  truck  
BTY	now Devon you clean up the rest and I wan go to the bathroom 
MOT	didn't you just go to the bathroom 
BTY	uhuh 
MOT	yes ‡ you did 
MOT	it was downstairs 
MOT	sit down and stop playin with me 
BTY	Mom can I open the door 
MOT	no ‡ you stay in here and play with Devon 
BTY	no ‡ I'm not playin with him 
MOT	sit down and start playin with the toys 
MOT	quit get your hand outta your pants 
CHI	why you said no 
MOT	lookit the walkietalkie 
MOT	someone on the phone 
MOT	Daddy on the phone go talk to your dad 
CHI	hello 
CHI	yeah I gon kill you  
MOT	don't  don't use them words 
CHI	 
MOT	Devon 
CHI	you  open 
MOT	cut it out 
CHI	Daddy 
CHI	daddy don't want you 
MOT	what is you sayin 
MOT	don't  
CHI	Daddy I go over you house 
CHI	get  
BRI	yeah goin over to your house 
CHI	mhm 
BRI	yeah 
CHI	Daddy 
BTY	lemme talk to him 
CHI	he got in  
CHI	he got in  
CHI	Daddy pipping  
BTY	I don't got no old truck 
BTY	I see Devon 
BTY	I see  
MOT	that's not funny 
MOT	not at all 
MOT	that is not funny 
MOT	Devon you sit still 
CHI	I put  away 
CHI	 
BTY	hear Raekwon 
MOT	I hear Raekwon cutting up 
BTY	wah 
CHI	open it 
MOT	Devon get off the door 
CHI	 play 
BRI	did you see this cool train 
CHI	no 
CHI	come in 
CHI	I wanna 
MOT	no ‡ leave it locked no no stay right here 
BTY	Raekwon 
MOT	no ‡ no 
MOT	get get off the door 
MOT	play with the bumblebee bzz 
IME	let's see what your mom's doing 
IME	what's your mom doing 
MOT	you need to cut that out yall is too busy 
CHI	can I do dat 
IME	nope I'm still workin with Raekwon 
IME	I'm still working with him 
IME	okay ‡ now you see what they're doing 
IME	you want a tissue for your nose wipe your nose off 
IME	here's an extra 
BRI	thanks 
IME	okay ‡ now we're gonna go back to work cause Raekwon and I are
MOT	go on get in here 
BRI	Brittany wanna come in here 
CHI	Mommy 
BTY	what she leave that daipey  for 
BRI	what 
BTY	what she leave that daipey  for 
BRI	what 
BTY	that daipey  
BRI	in case Devon needs it later 
BTY	why is there  
BTY	where is it 
BTY	what is it 
BRI	my hair 
BRI	 
CHI	no I wan get out 
CHI	open door 
BRI	we're gonna stay in here Brittany because you know what 
BRI	Raekwon has to do a lot of work in there with Inge_Marie 
BRI	so we shouldn't bother them okay 
CHI	get up off truck 
BRI	be careful 
BTY	watch this 
BTY	watch this 
BRI	be careful 
BTY	I got the top to it 
BTY	the top to the box 
BRI	goes to that one 
CHI	 got police  
BRI	huh 
CHI	 got police  
BRI	the police 
BTY	you go to school 
BRI	yeah 
BTY	what school you go to 
BRI	this school 
BTY	this school 
BRI	yep 
BTY	this a school 
BRI	yep 
BTY	uhuh 
BRI	it's a big school 
BTY	oh you guys got chips up there those juices 
CHI	I want those  dat juices 
BRI	you might get it later okay 
BTY	are those chips 
BTY	in a bit 
BTY	 ass 
CHI	ooh 
BRI	you're gonna stay in here Brittany okay cause Raekwon has a
BTY	he got do all that 
BRI	yeah he has a lot of work to do 
BTY	what he gotta do 
BRI	he has to do all kinds of puzzles with Inge_Marie out there 
CHI	open this 
BRI	no ‡ Devon we're gonna stay in here okay 
CHI	he got shut up 
CHI	 bitch 
BTY	oh 
BRI	is that nice 
CHI	no 
BRI	no 
BTY	watch 
BRI	be careful it's heavy leave it because I don't want you to fall 
BRI	no ‡ leave that because it's a heavy chair 
CHI	look 
BTY	why 
BRI	in case your momma comes back in she'll have to sit there 
BTY	uhuh 
BRI	and if it's tipped over she won't be able to sit in it 
BRI	so I think we better leave it like it is 
BTY	no 
BRI	yeah 
BTY	this one right here 
CHI	ooh dadebɤ 
CHI	ooh 
BRI	ooh you okay 
BTY	bzz 
BRI	ooh be careful 
BTY	 
BRI	we're gonna stay in here Brittany 
BRI	Devon wait can you call Devon in 
BTY	Devon Devon come on 
BTY	I got me a ball 
CHI	 
BRI	what's wrong Devon what's wrong 
BTY	 
BTY	ooh a iron 
