participant	content
CHI:	he fall [^ elexical] [^ ev] all the water on his hands
INV:	what is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	xxx falling down .
INV:	tell me one more thing about the picture .
CHI:	the juice fall [^ ev] down [^ eu] .
CHI:	he put the water on her arms .
CHI:	<he> [/?] he put the water on his hands
CHI:	they take their hat [* m:0s] [^ emorph] off [^ eu] .
CHI:	she's [^ ew:he] [^ epronoun] gon(na) put it on her plate [^ eu] .
INV:	and what's going to happen next ?
CHI:	she's gonna give a donut [^ ns] .
INV:	the man's taking his hat off .
INV:	tell me one more thing about the picture .
CHI:	I need 0a tissue [^ ns] .
INV:	tell me what else you see in the picture .
INV:	so we have a little boy .
CHI:	she's crying [^ ns] .
INV:	so we have a man .
INV:	and then what else would happen in the story ?
CHI:	I need 0a tissue [^ ns] .
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	he's getting bread out of the toaster .
CHI:	water [^ ns] .
INV:	what's happening in the picture ?
CHI:	the cake to falling [^ other] down [^ eu] .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	she want [* m:03s] the bucket [^ ns] .
CHI:	he's brushing to the water on her arms [^ other] [^ eu] .
INV:	so the cake's gonna fall down .
CHI:	big snowman [^ frag] [^ eu] .
INV:	and what else would happen in the story ?
CHI:	she's crying .
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
CHI:	she's going on the road .
CHI:	I need 0a tissue [^ ns] .
INV:	what will happen in just a little while ?
CHI:	he's eating .
INV:	what else is happening in this picture ?
CHI:	the cake is gonna get a mess [^ ns] .
INV:	and there's a puppy barking .
CHI:	[^ earg] is 0a [^ emorph] cat on 0the [^ emorph] tree [^ eu] .
INV:	tell me what you see in the picture .
CHI:	she's gonna put the arm on top of 0the [^ emorph] snowman [^ eu] .
INV:	tell me about what else you see in the picture .
CHI:	it's raining .
INV:	what else is happening in this picture ?
CHI:	a tree [^ ns] .
CHI:	she want [* m:03s] the bucket [^ ns] .
INV:	and what's going to happen next ?
CHI:	it's gonna fall down .
CHI:	she's giving [^ earg] 0a [^ emorph] donut [^ eu] .
CHI:	he's running .
INV:	tell me one more thing about the picture .
