participant	content
INV	now I'll start the start the story 
CHI	 
CHI	 thy they  he had a wagon 
INV	the boys are fighting 
INV	what is happening in the picture 
INV	very good 
INV	and you finish it 
INV	and you finish it 
INV	there was one red toy wagon with what 
CHI	his  
INV	and tell me one more thing about the story 
CHI	and  he's making a  
INV	and what else is happening in the picture 
CHI	the little boy was looking at the little girl 
INV	very good 
INV	the daddy is hiding a doll behind his back 
INV	okay good 
INV	and you finish it 
CHI	yeah  
INV	he can't get down very good 
CHI	 
INV	now I'll start the start the story 
INV	and you finish it 
CHI	  this girl's standing up 
CHI	 the dog's running on  
CHI	 the girl is opening his  
CHI	the water is  the
CHI	he the    he has scissors
INV	the children see the cat 
INV	what else is happening in the picture 
CHI	 the boy was holding his   orange bucket 
INV	alright very good 
INV	okay 
CHI	and he  
INV	and you finish it 
INV	and you finish it 
INV	a wagon 
INV	the girl is catching the dad 
CHI	yeah  
INV	he got his pajamas on good job 
INV	and you finish it 
INV	and you finish it 
INV	what is happening in the picture 
CHI	 that girl  
INV	yellow wheels 
INV	he what 
INV	what's happening in the picture 
CHI	he was mad 
INV	very good 
CHI	he got his pajamas on 
INV	okay good 
INV	what is this 
CHI	 
INV	very good job 
INV	can you tell me one more thing about the story 
INV	what else is happening in the picture 
INV	and then  
INV	okay good 
INV	and then  
INV	holding his orange bucket very good 
CHI	daddy is  
INV	what is happening in the picture 
INV	and then  
INV	what else is happening in this picture 
CHI	 the  a
CHI	they  sit in it 
CHI	he's running  
CHI	he got that  
INV	what is happening in the picture 
INV	and tell me one more thing about the story 
INV	tell me one more thing about the story 
INV	what the scissors 
CHI	the cat's on the tree 
INV	what else is happening in this picture 
INV	now I'll start the start the story 
INV	and tell me one more thing about the story 
INV	now I'll start the start the story 
INV	oh_no the dog ate some of the cake and then  
CHI	his daddy is back  
INV	they raked the leaves into a big pile 
INV	the dog is in front of the bus 
INV	the doggy is gonna be wet 
CHI	 
CHI	catched them  
INV	good job 
CHI	  
INV	he has something on his mouth 
INV	now I'll start the start the story 
INV	and then  
INV	okay good job 
CHI	yeah  
INV	okay 
CHI	he ran away 
CHI	   
INV	alright very good 
INV	very good 
CHI	then he's   he has something on his mouth 
INV	what 
INV	what else is happening in the picture 
INV	the schoolbus can't move very good 
CHI	it fell 
INV	now I'll start the start the story 
INV	a dog's in there very good 
INV	having the scissors 
INV	now I'll start the start the story 
INV	messing the cake 
INV	and tell me one more thing about the story 
INV	and then  
INV	what's happening in the picture 
INV	what is happening in the picture 
INV	what did you say 
INV	what 
CHI	 the
INV	and tell me one more thing about the story 
CHI	has something on his mouth  
INV	tell me one more thing about the story 
INV	he got that 
INV	he was mad 
INV	the mom says stop 
INV	very good 
INV	what else is happening in the picture 
INV	what else is happening in this picture 
INV	okay good 
INV	okay 
CHI	  
CHI	and he's  opening his eyes 
CHI	they eat it 
INV	what 
CHI	the girl is getting wet 
INV	what is happening in the picture 
INV	okay the girl has daddy's shoes 
CHI	opening his eyes  
INV	now I'll start the start the story 
INV	and you finish it 
INV	the children are trying to wash the dog 
INV	tell me one more thing about the story 
INV	what about the cereal 
INV	now I'll start the start the story 
INV	he's what 
INV	and then  
INV	tell me one more thing about the story 
INV	the little girl is still in her pajamas 
INV	they sit in it 
INV	okay good 
INV	and then  
INV	the boys are fighting 
INV	and tell me one more thing about the story 
CHI	having the scissors  
INV	what else is happening in the picture 
INV	the boys are throwing snowballs 
INV	very good 
CHI	 the cat is mad 
CHI	 
INV	and what else is happening in the picture 
INV	what is happening in the picture 
INV	his daddy is back very good 
CHI	yellow wheels 
INV	the boy is taking his grandma's scissors 
INV	okay good 
CHI	a girls  ons
INV	very good 
CHI	 the dog bark  
INV	the little boy was looking at the little girl very good 
INV	the girl is what 
INV	what else is happening in the picture 
CHI	  
CHI	yeah  
INV	what else is happening in this picture 
INV	now I'll start the start the story 
INV	now I'll start the start the story 
CHI	yeah  
INV	they what 
CHI	falling  
INV	the dog and the girl have the daddy's shoes 
INV	now I'll start the start the story 
INV	and what else is happening in this picture 
INV	this girl is  what's she doing 
INV	very good 
CHI	milk  
INV	what else is happening in the picture 
INV	he had a wagon okay 
CHI	he's closing his eyes 
INV	and the bus can't move 
INV	very good 
INV	he ran away and oop   
CHI	standing up  
INV	and you finish it 
INV	now I'll start the start the story 
INV	it's gonna hit on the boys arm 
INV	very good 
INV	the grandma also has scissors good 
INV	good job 
CHI	 the mommy is  and stopped
CHI	the schoolbus can't move 
INV	very good 
CHI	the doggy is gon be wet  
INV	watch out the dog 
CHI	the doggy was trying 
INV	opening his eyes 
CHI	the boys are fighting 
INV	okay good 
INV	now I'll start the start the story 
CHI	he can't get down 
INV	there's milk 
CHI	it is  
INV	the girl is getting wet 
INV	and you finish it 
INV	okay 
INV	what else is happening in the picture 
INV	what is happening in the picture 
INV	and then  
CHI	 the daddy was in there 
INV	and you finish it 
INV	and tell me one more thing about the story 
CHI	he is  
INV	they eat it 
INV	now I'll start the start the story 
CHI	 
INV	the cat is mad 
INV	what is happening in the picture 
INV	okay good 
INV	and then  
INV	the boy is trying the get the cookies 
INV	what is happening in the picture 
CHI	he's getting a  orange 
INV	good job 
INV	yeah 
INV	the children are taking the donuts from the bag 
INV	okay good 
INV	you okay 
CHI	 a dog  a dog's in there 
CHI	he  closing his eyes 
INV	okay good job 
INV	the cat is stuck up in the tree 
CHI	the momma was driving the car 
CHI	holding   
INV	the boy knocked the boxes off the shelf 
CHI	 the mom says stop 
INV	the mom was driving the car 
INV	the boy was what 
INV	raking the leaves good job 
INV	what is happening in the picture 
CHI	the girl is  
INV	he's cutting the grandma's toys oh_no 
INV	mess good job 
INV	okay good job 
CHI	 the daddy has his shoes the dad has his   the girl has
CHI	closing his eyes  
CHI	he  his
INV	oh_no the bubbles spilled 
INV	that's right 
INV	okay good 
INV	stop the doggy 
INV	and tell me one more thing about the story 
INV	and then  
CHI	   there was a one the wagon  one toy wagon with
INV	the cat's on the tree 
INV	what is happening in the picture 
INV	it's falling 
INV	okay good 
INV	and then  
INV	okay very good and tell me one more thing about the story 
INV	and you finish it 
CHI	we are  
CHI	he got them 
CHI	yep  
CHI	yeah  
CHI	  
INV	that girl 
CHI	  
INV	and you finish it 
INV	and tell me one more thing about the story 
INV	what is happening in the picture 
INV	okay good 
INV	and then  
CHI	a wagon  
INV	okay good 
CHI	they are  milk  this 
INV	and here comes the mom 
INV	and what about that girl 
INV	the dog barked 
INV	okay 
INV	and then  
CHI	sitting down  
INV	and then  
INV	and you finish it 
INV	good job 
CHI	 he trying he opened  the chair's falling 
CHI	they catched  
