participant	content
INV	the cake fell okay 
CHI	they are  
INV	and you finish it 
INV	and you finish it 
CHI	he got  a birthday 
INV	you tell me 
CHI	 
CHI	what he's doing  
INV	the man put what 
INV	and tell me one more thing about the story 
INV	just tell me anything else about the picture 
INV	just tell me anything else about the story 
INV	she can't blow bubbles 
INV	and what else is happening in this picture 
CHI	she is  
CHI	and she is  
CHI	 
CHI	and she fell  
CHI	the water is out  
INV	tell me one more thing about the story 
INV	tell me one more thing about the story 
CHI	she is  
CHI	 
CHI	he's crying 
INV	what's happening in the picture 
CHI	what he's doing  
CHI	and then  where  
CHI	touch tie  
CHI	who's that  
INV	tell me anything else about the picture 
CHI	what  
INV	what else is happening in the picture 
INV	tell me 
CHI	why   
INV	touching 
INV	what else is happening in the picture 
INV	just tell me anything else about the picture 
INV	the children are taking the donuts from the bag and then  
INV	what else is happening in the picture 
CHI	he's  
CHI	and  
CHI	why he  why he's  
CHI	what he's   
INV	they're playing with snowman 
INV	what's happening in the picture 
CHI	and then and she fell 
INV	you tell me 
INV	what's happening in the picture 
INV	the dog and the girl have the daddy's shoes and then  
CHI	she is  
CHI	who's  
CHI	 
INV	the water is spilling all over the floor and then  
INV	you tell me 
INV	the boys are throwing snowballs and then  
CHI	where  
INV	now I'll start the start the story 
CHI	is this the   
INV	what's happening in the picture 
INV	what else is happening in the picture 
INV	she crying 
CHI	why  
INV	he's sweeping the snow 
INV	the children see the cat 
CHI	and she's drinking 
CHI	 
INV	what's happening in the picture 
INV	and then what happens 
INV	and you finish it 
INV	tell me one more thing about the story 
INV	what else is happening in this picture 
INV	dog's in it 
CHI	bus can't move  
INV	now tell me one more thing about the story 
CHI	what  
INV	he's crying okay 
CHI	he's wearing a hat 
CHI	he's pulling out the  the food 
CHI	and then the snow is right here 
INV	what's happening in the picture 
CHI	whose hand is that  
INV	the boy is taking his grandma's scissors and then  
INV	you tell me 
INV	the daddy is hiding a doll behind his back and then  
INV	the children are trying to wash the dog 
INV	now I'll start the story 
CHI	 the man   the 
INV	what else is happening in the picture 
CHI	he's gonna go on this 
CHI	what is this  
INV	what's happening in the picture 
INV	tell me one more thing about the story 
INV	the cat is stuck up in the tree and then  
CHI	it's a house 
INV	and what else is happening in this picture 
INV	oh_no the dog ate some of the cake and then  
CHI	she run  
INV	you tell me 
INV	tell me 
CHI	she can't blow bubble  
CHI	 
CHI	a  
INV	and what else is happening in this picture 
INV	and you finish it 
CHI	and then she falls 
INV	tell something about the picture 
CHI	and then  
CHI	daddy   tie
INV	tell me something else about the picture 
CHI	and he fell 
CHI	look  
INV	okay now I'll start the story 
INV	and what else is happening in the picture 
CHI	why he's  
INV	tell me one more thing about the story 
CHI	the firetruck is  
CHI	he's doing  
INV	what 
CHI	they're running 
CHI	 
INV	now I'll start the start the story 
INV	tell me 
INV	and you finish it 
INV	and the bus can't move and then  
INV	what else is happening in the picture 
CHI	and the  up
INV	just tell me anything else about the picture 
INV	the boys are fighting 
CHI	what is that  
CHI	 
INV	and you finish it 
INV	you tell me 
CHI	what  
INV	and you finish it 
CHI	she colored 
INV	and you finish it 
CHI	what she's doing  
INV	and you finish 
INV	and you finish 
INV	what else is happening in this picture 
INV	tell me one more thing about the story 
CHI	 
INV	the dog  
CHI	and he put his mouth here on  
INV	and you finish it 
INV	just tell me anything else about the picture 
INV	what's happening in the picture 
CHI	and then  the bus can't move  
INV	what else is happening in this picture 
INV	now I'll start the start the story 
CHI	and he  he sip  
CHI	and a car come  
INV	we're almost done 
CHI	this  
INV	and the dog ran away and then  
INV	now I'll start the start the story 
INV	he's falling 
INV	the kid fell 
CHI	what he do  
CHI	he fell 
INV	okay good job 
CHI	and the  
INV	the water come okay 
CHI	and then  and then mom cleaned it 
INV	what's happening in the picture 
INV	we have only one more story 
INV	look at the picture 
CHI	and she fell in the snow 
INV	what 
INV	the dog and the girl have the daddy's shoes and then  
CHI	 
INV	what's happening in the picture 
INV	he eats the shoe okay 
INV	what's happening in the picture 
CHI	the cake  
CHI	and she falls 
CHI	he fall  
INV	and tell me one more thing about the story 
INV	tell me one more thing about the story 
CHI	the cake fell 
CHI	touching the tie  
CHI	yeah  
INV	just tell me anything else about the picture [] 
CHI	and she's watching it 
INV	he's putting the what away 
CHI	where's the snowman  
INV	bus can't move 
CHI	 
INV	just tell me anything else about the story 
CHI	look she's  
INV	what's happening in the picture 
INV	now I'll start the story 
INV	now I'll start the story 
INV	she falls 
INV	and tell me one more thing about the story 
INV	dog what 
CHI	and he eat  
CHI	and then he cries 
INV	now I'll start the story 
INV	they rake the leaves into a big pile and then  
INV	what's happening in the picture 
INV	she colored 
INV	what were you going to say 
CHI	but he's falling 
CHI	he went  
INV	and what else is happening in this picture 
INV	now I'll start the story 
CHI	 
INV	and tell me one more thing about the story 
CHI	what  
INV	the children are taking the donuts from the bag 
INV	what's happening in the picture 
INV	and tell me one more thing about the story 
CHI	dog's in it  
CHI	he's  he's sweeping the snow 
INV	just tell me anything else about the picture 
INV	what else is happening in this picture 
CHI	and then  she fell 
CHI	where  
CHI	   
CHI	 
CHI	the dog go  
INV	and you finish it 
CHI	 
CHI	and the and the  on the
INV	okay I'll start the story 
INV	the boy knocked the boxes off the shelf and then []  
INV	tell me something else about the picture 
INV	now I'll start the story 
INV	and you finish it 
INV	just tell me what else is happening in the picture 
INV	what else is happening in the picture 
INV	he's putting some over there 
CHI	 
CHI	what he's doing  
INV	tell me 
INV	he's what tie 
INV	and you finish it 
INV	now I'll start the start the story 
INV	you tell me 
INV	the little girl is still in her pajamas and then  
INV	tell me one more thing about the story 
CHI	 the mom fells  
INV	and then we're all done 
CHI	and then where he's cleaned it  
INV	now I'll start  
INV	now I'll start the start the story 
INV	now I'll start the story and you finish it 
CHI	they're playing with the  
INV	and tell me one more thing about the story 
CHI	and the man   on here 
INV	what's happening in the picture 
INV	the dog is in front of the bus 
INV	and here comes the mom and then  
CHI	 
INV	oh no the bubbles spilled and then  
INV	what's happening in the picture 
CHI	 he's  she's putting the salt away 
INV	and tell me one more thing about the story 
CHI	  she going
