participant	content
INV:	what's happening in the picture ?
CHI:	they are fighting .
INV:	they are fighting .
INV:	what else is happening in this picture ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] saying stop [^ eu] .
INV:	her saying stop .
INV:	the boys are fighting .
INV:	and here comes their mom .
INV:	what's going to happen next ?
CHI:	they 0are [^ ev] gonna get hurt [^ eu] .
INV:	what ?
INV:	say that again .
CHI:	they 0are gonna get hurt [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	[^ earg] running [^ eu] .
INV:	just tell me anything you see in the picture .
CHI:	running [^ ns] .
INV:	what's happening in the picture ?
CHI:	they're do [^ ev] fighting [^ eu] .
INV:	say that again .
CHI:	they are fighting [^ ns] .
INV:	what else is happening in this picture ?
CHI:	a fire dog [^ frag] [^ eu] .
INV:	the dog is in front of the bus .
INV:	and the bus can't move .
INV:	what's going to happen next ?
CHI:	a doggy 0is [^ ev] gonna get hurt [^ eu] .
CHI:	and he's xxx one .
INV:	tell me one more thing about the picture .
CHI:	a little boy [^ frag] [^ eu] .
INV:	just tell me anything else about the picture .
CHI:	he is driving .
INV:	what's happening in the picture ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] putting leafs in the garbage
INV:	say that again .
INV:	her what ?
CHI:	<they> [/?] her [^ ew:she] 0is putting leafs in the garbage [^ ns]
INV:	what else is happening in this picture ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] sliding in them [^ eu] .
INV:	they raked the leaves into a big pile .
INV:	and what's going to happen next ?
CHI:	0 .
INV:	what will happen in just a little bit while ?
INV:	tell me one more thing about the picture .
CHI:	[^ earg] [^ nosubj] waves hello [^ eu] .
INV:	just tell me anything else about the picture .
CHI:	a car [^ ns] .
INV:	what's happening in the picture ?
CHI:	a [^ ew:the] [^ emorph] water is try [* MOT:0ing] [^ emorph] 0to
CHI:	and it's try [* MOT:0ing] [^ emorph] 0to [^ emorph] get 0the
INV:	say that again .
CHI:	it's try [* MOT:0ing] 0to get 0the dog [^ ns] .
INV:	what else is happening in this picture ?
CHI:	a [^ ew:the] [^ emorph] water <is> [/?] is coming out [^ eu] .
INV:	the children are trying to wash the dog .
INV:	and what's going to happen next ?
CHI:	<it's> [/?] it's running .
INV:	tell me one more thing about the picture .
CHI:	<a &g> [/?] a little girl [^ frag] [^ eu] .
INV:	what's happening in the picture ?
CHI:	<a a> [/?] a cat 0is [^ ev] in trouble [^ eu] .
INV:	a cat in what ?
CHI:	in trouble [^ ns] .
INV:	a cat in trouble, okay .
INV:	what else is happening in this picture ?
CHI:	<they try they &uh> [/?] they xxx .
INV:	say it again .
INV:	they try xxx +...
INV:	say that again .
INV:	they try what ?
CHI:	to get them [^ ns] .
INV:	the children see the cat .
INV:	the cat is stuck up in a tree .
INV:	and what's going to happen next ?
CHI:	a firefighter 0is [^ ev] gonna come [^ eu] .
INV:	what ?
CHI:	a firefighter 0is gonna come [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	<it's> [/?] it's scared .
INV:	it's what ?
CHI:	scared [^ ns] .
INV:	what's happening in the picture ?
CHI:	they are crawling .
INV:	what else is happening in this picture ?
CHI:	<they got> [/?] he's got scissors .
INV:	the boy is taking the grandma's scissors .
INV:	and what's going to happen next ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] happy [^ eu] .
INV:	her happy .
INV:	tell me one more thing about the picture .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] doing this [^ eu] .
INV:	what ?
CHI:	her [^ ew:she] 0is doing this [^ ns] .
INV:	just tell me anything you see in the picture .
