participant	content
INV:	what is happening in the picture ?
CHI:	&um [^ earg] messing the cake [^ eu] .
INV:	messing the cake ?
INV:	okay .
INV:	what else is happening in this picture ?
CHI:	&um the dog's running on [^ ew:under] [^ emorph] the couch [^ eu] .
INV:	very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	oh_no, the dog ate some of the cake and then xxx +...
CHI:	[^ earg] is a mess [^ eu] .
INV:	mess, good job .
INV:	tell me one more thing about the story .
CHI:	<&um the> [/?] the mommy <was> [/?] have [^ ew:has] [^ ev] 0a
CHI:	and he [^ ew:she] [^ epronoun] was mad [^ eu] .
INV:	very good .
INV:	what's happening in the picture ?
CHI:	&um the daddy has his shoes the dad has his &sho &um the girl has
INV:	okay, the girl has daddy's shoes .
INV:	and what else is happening in the picture ?
CHI:	<&um a dog> [/?] a dog's in there .
INV:	a dog's in there, very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the dog and the girl have the daddy's shoes .
INV:	and then xxx +...
CHI:	&um the dog bark [* m:0ed] [^ ev] [^ eu] .
INV:	the dog barked ?
INV:	okay very good, and tell me one more thing about the story .
CHI:	&uh the daddy was in there .
INV:	very good .
INV:	what's happening in the picture ?
CHI:	the boys are fighting .
INV:	the boys are fighting .
INV:	and what else is happening in the picture ?
CHI:	&uh the mommy <is> [/?] is running <and faced> [/?] and stopped
INV:	very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boys are fighting .
INV:	and here comes the mom .
INV:	and then xxx +...
CHI:	&uh the mom says stop .
INV:	the mom says stop .
INV:	and tell me one more thing about the story .
CHI:	&um &uh &um there was <a one the wagon> [/?] one toy wagon with
INV:	there was one red toy wagon with what ?
CHI:	yellow wheels .
INV:	yellow wheels .
INV:	okay good job .
INV:	what is happening in the picture ?
CHI:	daddy 0is [^ ev] closing <in &um them> [/?] his eyes [^ eu] .
CHI:	and &um he's making a [^ ew:the] [^ emorph] toast [^ eu] .
INV:	very good .
INV:	what else is happening in the picture ?
CHI:	he got his pajamas on .
INV:	he got his pajamas on, good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the little girl is still in her pajamas .
INV:	and then xxx +...
CHI:	<he> [/?] he's [* s:r:gc] closing his eyes .
CHI:	and he's [* s:r:gc] opening his eyes .
INV:	very good .
INV:	tell me one more thing about the story .
CHI:	&um the girl is opening his [* s:r:gc] eyes [^ eu] .
INV:	the girl is what ?
CHI:	opening his eyes [^ ns] .
INV:	opening his eyes ?
INV:	good job .
INV:	what is happening in the picture ?
CHI:	&um [^ earg] raking the leafs [^ eu] .
INV:	raking the leaves, good job .
INV:	what else is happening in the picture ?
CHI:	&uh [^ earg] raking a big pile [^ eu] .
INV:	good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	they raked the leaves into a big pile .
INV:	and then xxx +...
CHI:	they &uh sit in it .
INV:	they sit in it .
INV:	tell me one more thing about the story .
CHI:	the little boy was looking at the little girl .
INV:	the little boy was looking at the little girl, very good .
INV:	what is happening in the picture ?
CHI:	<the doggy was trying> [/?] the mommy and daddy was [^ ew:were]
INV:	very good .
INV:	what else is happening in this picture ?
CHI:	[^ earg] watch out 0for [^ emorph] the dog [^ eu] .
INV:	watch out the dog ?
INV:	good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the dog is in front of the bus .
INV:	and the bus can't move .
INV:	and then xxx +...
CHI:	&um [^ earg] stop the doggy [^ eu] .
INV:	stop the doggy ?
INV:	yeah ?
INV:	can you tell me one more thing about the story ?
CHI:	the schoolbus can't move .
INV:	the schoolbus can't move, very good .
INV:	what is happening in the picture ?
CHI:	the cat's on the tree .
INV:	the cat's on the tree .
INV:	and what else is happening in this picture ?
CHI:	&um the cat is mad .
INV:	the cat is mad ?
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children see the cat .
INV:	the cat is stuck up in the tree .
INV:	and then xxx +...
CHI:	he was mad .
INV:	he was mad ?
INV:	good job .
INV:	and tell me one more thing about the story .
CHI:	he can't get down .
INV:	he can't get down, very good .
INV:	what is happening in the picture ?
CHI:	the doggy is gon(na) be wet [^ eu] .
INV:	the doggy is gonna be wet ?
INV:	very good .
INV:	what else is happening in the picture ?
CHI:	the girl is getting wet .
INV:	the girl is getting wet ?
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children are trying to wash the dog .
INV:	and then xxx +...
CHI:	he ran away .
INV:	he ran away and oop [% CHI fell off the chair] xxx +/.
INV:	you okay ?
CHI:	yep [^ ns] .
INV:	and tell me one more thing about the story .
CHI:	&um the boy was holding his <&b> [/?] orange bucket .
INV:	the boy was what ?
CHI:	<holding &uh> [/?] holding his orange bucket [^ ns] .
INV:	holding his orange bucket, very good .
INV:	what is happening in the picture ?
