participant	content
INV:	what's happening in the picture ?
CHI:	the cat's stuck .
INV:	the cat's stuck .
INV:	that's right .
INV:	what else is happening in this picture ?
INV:	what else is happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	just tell me something else you see .
CHI:	I don't know [^ ns] .
INV:	okay, what about if I start the story .
INV:	and you finish it ?
CHI:	okay [^ ns] .
INV:	the kids see the cat .
INV:	the cat is stuck up in the tree and then xxx +...
CHI:	girl [^ frag] [^ eu] .
INV:	what ?
CHI:	girl [^ ns] .
INV:	girl ?
CHI:	yeah, this one [^ ns] .
INV:	that girl ?
CHI:	yeah [^ ns] .
INV:	what about her ?
CHI:	I don't know [^ ns] .
INV:	oh_no, that's right .
INV:	can you yell me one more thing about the story ?
CHI:	I don't know [^ ns] .
INV:	tell me anything else about the picture .
CHI:	I don't know [^ ns] .
INV:	what is happening in the picture ?
CHI:	she don't [^ ew:doesn't] [^ ev] wanna sit [^ eu] .
CHI:	he threw it .
INV:	what ?
CHI:	look [^ ns] .
INV:	look at what ?
CHI:	no, the girl [^ ns] .
INV:	at the girl ?
CHI:	yeah [^ ns] .
INV:	okay .
INV:	what's happening in the picture ?
CHI:	he's sleeping .
INV:	he's sleeping .
INV:	that's right .
INV:	what else is happening in the picture ?
CHI:	he fell sleep [^ ew:asleep] [^ elexical] [^ eu] .
CHI:	and mommy's [^ ev] fell [^ ew:fallen] [^ emorph] asleep [^ eu] .
INV:	that's right .
INV:	<good job> [>] .
CHI:	<xxx sleep> [<] .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the little girl is still in her pajamas and then xxx +...
CHI:	daddy's pajamas and mommy's pajamas [^ frag] [^ eu] .
CHI:	and 0the [^ emorph] girl's awake [^ eu] .
INV:	okay good job .
CHI:	awake awake [^ ns] .
INV:	tell me one more thing about the story .
CHI:	the mom's sleeping .
INV:	okay very good .
INV:	what's happening in the picture ?
CHI:	[^ earg] barking [^ eu] .
INV:	barking ?
CHI:	no, splash [^ ns] .
CHI:	I say bark [^ ns] .
INV:	okay .
CHI:	a big splash [^ ns] .
INV:	alright good .
INV:	what else is happening in the picture ?
CHI:	in <water> [/?] the water [^ frag] [^ eu] .
INV:	okay good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children are trying to wash the dog and then xxx +...
INV:	listen again .
INV:	the children are trying to wash the dog .
INV:	and then xxx +...
CHI:	just thinking [^ ns] .
INV:	you're thinking ?
CHI:	yeah [^ ns] .
INV:	okay .
INV:	the children are trying to wash the dog and then what happens ?
CHI:	I don't know [^ ns] .
INV:	you don't know ?
INV:	okay .
INV:	tell me one more thing about the story .
CHI:	I don't know [^ ns] .
INV:	tell me anything else about the picture .
INV:	anything that you see .
INV:	you wanna look at a different picture ?
CHI:	I don't <like> [/?] wanna think [^ ns] .
CHI:	is this a towel [^ ns] ?
INV:	that is a towel .
CHI:	and that's water .
INV:	that's right .
INV:	okay good job .
INV:	what's happening in this picture ?
CHI:	this is a mess .
INV:	this is a mess ?
CHI:	yeah [^ ns] .
INV:	that's right .
