participant	content
INV	now I'll start the start the story 
INV	tell me one more thing about the story 
INV	she what 
INV	her kitty cat sad 
INV	now I'll start the story 
CHI	  him  stop
INV	what else is happening in this picture 
INV	the children see the cat 
CHI	 them  
INV	okay he says ssh 
CHI	   steal the doggy
INV	picking 
INV	what else is happening in the picture 
CHI	the mommy's driving  
CHI	 the mommy and daddy's  trying to get the doggy
INV	now I'll start the start the story 
INV	him's dead 
INV	okay 
INV	what's happening in the picture 
INV	the water is  
INV	and the bus can't move and then  
INV	what else is happening in this picture 
INV	and you finish it 
INV	okay what else is happening in this picture 
INV	and here comes the mom and then  
CHI	no    
INV	and you finish it 
INV	she lifted 
INV	and you finish it 
CHI	them take him up   taked
CHI	 I don't  
CHI	no wagon  
CHI	rollerskating  
INV	and you finish it 
INV	what's happening in the picture 
CHI	  
CHI	she wants to get down 
CHI	  the boys are  they're picking a donut 
INV	tell me one more thing about the story 
INV	and you finish it 
CHI	and his sister's crawling too 
CHI	 the boy is crawling 
INV	rollerskating 
INV	and you finish it 
CHI	the daddy     grandpa says ssh 
INV	tell me anything else about the picture 
INV	what's happening in the picture 
INV	and you finish it 
INV	what's happening in the picture 
INV	and you finish it 
INV	okay so I'll start the start the story 
CHI	the mom is  
CHI	them  
CHI	she needta   
CHI	and the bus can't move 
INV	tell me one more thing about the story 
INV	and you finish it 
CHI	and his sister didn't want him to fall 
CHI	no driving  
CHI	yeah  
CHI	scared  
INV	stared 
CHI	 him 
INV	what else is happening in the picture 
INV	the daddy is hiding a doll behind his back and then  
INV	the mom what 
INV	the boys are throwing snowballs and then  
INV	tell me one more thing about the story 
INV	what's happening in the picture 
INV	what else is happening in this picture 
CHI	runned  
INV	now I'll start the start the story 
INV	wanna put water in there okay 
INV	what else is happening in this picture 
CHI	the boys wanna go and hit  
CHI	the boy want  
INV	what's happening in the picture 
CHI	  
INV	the water is spilling  
CHI	she didn't want it to spill 
INV	what's happening in the picture 
CHI	 the dog is playing with the dad's shoes 
CHI	his sister's trying   him
INV	what's happening in the picture 
CHI	 the  want
INV	the boys are  
INV	okay 
CHI	 stop  “stop fighting” 
CHI	no picking a donut  
CHI	 them  
INV	what's happening in the picture 
INV	what's happening in the picture 
CHI	 him  
INV	out of his dress 
INV	tell me one more thing about the story 
CHI	 she didn't want it to spill  
INV	they wanna what 
INV	now I'll start the start the story 
CHI	yeah  
INV	what else is happening in this picture 
CHI	her dog barks 
CHI	yeah  
INV	what else is happening in this picture 
CHI	him  
CHI	 she needs to  clean it up 
CHI	yeah  
INV	oh driving okay 
INV	them are buying food 
INV	tell me one more thing about the story 
INV	her dog 
INV	now I'll start the start the story 
CHI	yeah  
INV	the water is spilling all over the floor and then  
CHI	the boy almost fall  
INV	now I'll start the start the story 
CHI	 the boy wants to give him 
INV	the dog is in front of the bus 
INV	the boy is taking his grandma's scissors and then  
INV	the boy knocked the boxes off the shelf and then  
INV	tell me one more thing about the story 
INV	and you finish it 
INV	now I'll start the start the story 
INV	what's happening in the picture 
INV	what else is happening in this picture 
CHI	the dog is going out of the grass 
INV	the cat is stuck up in the tree and then  
INV	the dog and the girl have the daddy's shoes and then  
CHI	the mom's  
CHI	  
INV	grass 
INV	the children are trying to wash the dog and then  
CHI	him  
CHI	 them  
CHI	yeah  
INV	now I'll start the start the story 
INV	what else is happening in this picture 
CHI	the  needs to  the sister needs to go to bed 
CHI	no her wagon  
INV	what else is happening in this picture 
INV	okay 
INV	they rake the leaves into a big pile and then  
INV	him eat the cake okay 
INV	oh_no the dog ate some of the cake and then  
CHI	the kitty cat is  
CHI	 she    
INV	what else is happening in this picture 
CHI	no dead  
INV	tell me one more thing about the story 
CHI	she really wants to get down  
INV	what's happening in the picture 
CHI	 the dog wants to eat it 
CHI	him  
CHI	she lifted him  
CHI	she gets dressed 
INV	what else is happening in this picture 
CHI	yeah  
INV	what else is happening in this picture 
INV	and you finish it 
INV	there 
INV	she lifted her 
INV	tell me one more thing about the story 
CHI	 his his  
CHI	she lifted her  
CHI	him 
CHI	 him  away 
INV	now I'll start the start the story 
CHI	 the dog is  eating his shoe 
CHI	  she's on the tree 
INV	tell me one more thing about the story 
CHI	play with the sandbox  
INV	now I'll start the start the story 
INV	and you finish it 
CHI	the boy is washing    the dog 
INV	and you finish it 
INV	what's happening in the picture 
CHI	 him  
INV	the boys are fighting 
INV	what's happening in the picture 
CHI	eh   pushing the
INV	now I'll start the start the story 
CHI	no she lifted her  
CHI	 his   
INV	tell me one more thing about the story 
CHI	she want  
CHI	the dog the  the dog is scared 
INV	oh_no the bubbles spilled and then  
CHI	the boys  the boys are eating a donut 
INV	now I'll start the start the story 
CHI	the boy's cleaning 
INV	the mom's trying to steal the doggy 
INV	she wants to get down okay 
INV	tell me one more thing about the story 
INV	the dog is what 
CHI	 she lifted her  to the daddy
CHI	them  
INV	the little girl is still in her pajamas and then  
INV	running 
INV	she runs okay 
INV	what's happening in the picture 
INV	what else is happening in this picture 
CHI	 him is scared  
INV	she gets dressed 
INV	walk 
INV	him what 
CHI	 the mommy's driving 
INV	tell me one more thing about the story 
CHI	 him  the mommy spilled water 
CHI	  
INV	now I'll start the start the story 
INV	to read 
INV	they're putting the donut 
INV	she really wants to get down okay 
INV	and you finish it 
INV	and you finish it okay 
CHI	 
INV	throwing 
INV	now I'll start the start the story 
INV	and you finish it 
INV	tell me one more thing about the story 
INV	the children are taking the donuts from the bag and then  
INV	him mommy picked it up 
INV	the doll's 
