participant	content
CHI	I don't know  
INV	the cat is stuck up in the tree 
INV	the daddy's pulling her very good 
INV	what's happening in the picture 
INV	and then what happens in the story 
CHI	I don't know  
INV	now I'll start the start the story 
INV	tell me one more thing 
CHI	I don't know  
INV	momma's making dinner good job 
INV	just tell me anything else about the picture 
INV	what's happening in the picture 
CHI	I don't know  
INV	tell me one more thing about the story 
INV	the dog ate some of the cake 
INV	and tell me one more thing about the story 
CHI	 she is  
INV	she's telling her mommy very good 
INV	what else is happening in the picture 
INV	he's holding that good job 
INV	and you finish it 
INV	good job 
CHI	 they're standing 
CHI	I she's   he's tired 
INV	the dad's putting on the snowman very good 
CHI	I don't wanna  
CHI	I don't know  
INV	he spilled that very good 
INV	pulling her leg up very good 
CHI	he  they fall down 
INV	and you finish it 
INV	now I'll start the start the story 
CHI	I don't know  
INV	the dog and the girl have the daddy's shoes and then  
CHI	the dad's putting  
INV	oh_no the dog ate some of the cake and then  
CHI	and he  and he got a cookie 
INV	her sister blowing bubbles very good 
CHI	there's a  
INV	and tell me one more thing about the story 
INV	he's tired 
CHI	 her  
INV	look at the picture 
INV	he's not letting her do it 
INV	what else is happening in the picture 
INV	what's happening in the picture 
INV	now I'll start the start the story 
INV	and you finish it 
CHI	but I don't know  
INV	what else is happening in the picture 
CHI	their shovels are down 
INV	and you finish it 
INV	and you finish it 
CHI	momma's making dinner 
INV	look the water is spilling all over the floor 
CHI	the daddy is  
INV	the daddy eating good job 
INV	what else is happening in the picture 
INV	and tell me one more thing about the story 
CHI	 there's black 
CHI	they're throwing  throwing  balls 
CHI	he's raking  
CHI	I don't  they  they're playing with the bucket 
CHI	he's cutting that 
CHI	they're crawling 
INV	good job 
CHI	he's barking 
CHI	  
CHI	I don't know  
CHI	I don't know  
INV	good job 
INV	the cat is stuck up in the tree and then  
INV	they're pulling that good job 
INV	the boy knocked the boxes off the shelf and then  
INV	what's happening in the picture 
INV	they're crawling very good 
INV	they're [] throwing balls 
INV	now I'll start the start the story 
INV	and you finish it 
INV	what else is happening in the picture 
INV	he's sitting there very good 
INV	the children are trying to wash the dog 
INV	and here comes the mom and then  
INV	what's happening in the picture 
INV	tell me one more thing about the story 
INV	okay can you tell me one more thing about the story 
INV	what's happening in the picture 
CHI	they're running 
CHI	 I don't know  
CHI	 they're  he's sitting there 
INV	her mommy's running very good 
CHI	the girl is her  pulling her leg up 
INV	here look just tell me anything else about the picture 
CHI	they're coming in 
INV	their shovels are down good job 
INV	what else is happening in this picture 
INV	there's birthday cake good job 
INV	the children see the cat 
INV	and he what the shoes 
INV	tell me one more thing about the story 
INV	now I'll start the start the story 
INV	now I'll start the start the story 
CHI	 he  
CHI	I don't know  
INV	tell me one more thing about the story 
CHI	 the daddy got  
INV	and then what happens 
CHI	there's mud 
INV	now I'll start the start the story 
CHI	he's holding that 
INV	I wanna hear what happens at the end of the story 
INV	what else is happening in this picture 
CHI	 she's the  he's not letting her do it 
CHI	I don't know  
CHI	I wanna go home  
INV	what else is happening in this picture 
CHI	I don't know  
INV	the light is on 
INV	what else is happening in the picture 
INV	he's cutting that very good 
CHI	the mommy's pulling that 
INV	what's happening in the picture 
INV	there's mud good job 
INV	look the daddy's holding a doll behind his back 
CHI	her sister is  
INV	he's driving good job 
INV	tell me one more thing about the story 
MOT	 what happens  the daddy 
INV	he's eating good job 
INV	good job 
CHI	I don't know  
INV	and you finish it 
INV	just tell me anything else about the picture 
INV	now I'll start the start the story 
INV	what's happening in the picture 
CHI	she is  v the shoes
INV	what else is happening in this picture 
CHI	her mommy's running 
INV	the boys are fighting 
INV	he's falling 
INV	what else is happening in this picture 
CHI	I don't know  
INV	just tell something about the picture 
INV	and you finish it 
INV	what's happening in the picture 
INV	she falling very good 
CHI	 the mommy's  the mommy's mad 
INV	the water's spilling all over the floor and then  
INV	now I'll start the start the story 
INV	the daddy is hiding a doll behind his back and then  
INV	it's the last one 
INV	and you finish it 
CHI	the light is on 
INV	they're coming in good job 
INV	the children are trying to wash the dog and then  
INV	what's happening in the picture 
INV	what's happening in the picture 
CHI	I don't know  
INV	okay can you tell me one more thing about the story 
CHI	she she's   he's eating 
INV	and the bus can't move and then  
INV	she has the shoes good job 
INV	they're running very good 
CHI	 they're making a  
INV	they're standing good job 
CHI	 her mommy's washing the dishes 
INV	they fall down very good 
INV	and you finish it 
INV	what's happening in the picture 
INV	the mommy's mad very good 
INV	she's pushing very good 
INV	the boy is taking his grandma's scissors 
INV	the boys are throwing snowballs and then  
INV	now I'll start the start the story 
INV	and you finish it 
INV	what else is happening in the picture 
CHI	he's falling 
INV	what else is happening in the picture 
INV	her daddy holding her present very good 
INV	they're cleaning up good job 
INV	and then what happens in the story 
CHI	there's snow 
INV	and you finish it 
INV	and then we're done 
INV	and you finish it 
CHI	she's laughing 
INV	she's running very good 
CHI	the kitty cat's stuck 
INV	now I'll start the start the story 
CHI	she's her  their mommy stepped on it 
CHI	they jump 
CHI	she's  
INV	tell me one more thing about the story 
INV	what else is happening in this picture 
INV	tell me one more thing about the story 
INV	tell me one more thing about the story 
INV	the kitty cat's stuck 
INV	now I'll start the start the story 
CHI	he's sitting there 
INV	her mommy's washing the dishes very good 
INV	tell me anything else about the picture 
INV	and you finish it 
INV	they raked the leaves into a big pile and then  
CHI	I don't know  
INV	what's happening in the picture 
CHI	she's picking one 
INV	the dog and the girl have the daddy's shoes 
INV	and then what happens in the story 
CHI	 the mom  the daddy's pulling her 
CHI	I don't know  
INV	and you finish it 
CHI	she's going  she's jumping over here 
INV	okay 
INV	good job 
