participant	content
INV:	what else is happening in this picture ?
INV:	alright good .
INV:	what else is happening in this picture ?
INV:	I don't know .
CHI:	I don't know [^ ns] .
INV:	what ?
CHI:	break it [^ ns] .
MOT:	you tell me .
INV:	and you finish it .
CHI:	<they're> [<] footprints .
INV:	the boys are fighting .
INV:	and tell me one more thing about the story .
INV:	and tell me one more thing about the story .
INV:	the boy spilled it ?
INV:	that's right .
CHI:	she 0is [^ ev] going to bed [^ eu] .
INV:	oh okay .
INV:	and you finish it .
INV:	okay, good job .
CHI:	his dad got mad [^ ns] .
CHI:	tell me [^ ns] .
CHI:	and the boy [^ ns] !
INV:	aw, poor kitty .
INV:	he put it on what ?
INV:	now I'll start the start the story .
CHI:	they're trying to break it .
MOT:	what happens next ?
INV:	and tell me one more thing about the story .
INV:	good .
INV:	what is happening in the picture ?
INV:	okay good job .
INV:	what else is happening in the picture ?
MOT:	what happens next ?
CHI:	it spill [^ ns] .
INV:	what else is happening in this picture ?
INV:	and you finish it .
INV:	what is happening in the picture ?
INV:	they couldn't get him down .
INV:	what is happening in the picture ?
INV:	okay good job .
INV:	tell me something else about the picture .
INV:	now I'll start the start the story .
CHI:	the mom said “byebye” .
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
CHI:	she got scared .
CHI:	the dad was doing that .
CHI:	he's scared .
CHI:	yeah [^ ns] .
CHI:	he try xxx .
MOT:	there's a lot going on in that picture .
CHI:	<she> [/?] she got her hands all wet .
INV:	they got all snowy .
INV:	okay .
INV:	okay good .
CHI:	they gave it back .
INV:	she took the d_v_d ?
INV:	okay, good .
CHI:	yeah [^ ns] .
CHI:	<he leave> [/?] he's almost leaved [^ ew:left] [^ emorph] [^ eu] .
INV:	you don't know ?
INV:	that's right .
CHI:	this got ripped [^ ns] .
INV:	okay good .
CHI:	<wha> [/?] what another one [^ ns] ?
INV:	and you finish it .
INV:	the little girl is still in her pajamas and then xxx +...
INV:	okay .
CHI:	I don't know [^ ns] .
CHI:	tell me [^ ns] .
INV:	the mom slipped ?
INV:	maybe she doesn't want them to take the d_v_d .
INV:	tell me one more thing about the story .
INV:	now I'll start the start the story .
INV:	what is happening in the picture ?
CHI:	he had a tie .
CHI:	tell me [^ ns] .
INV:	yes, he did .
CHI:	yeah [^ ns] .
INV:	alright good .
INV:	the bubbles spilled and then xxx +...
INV:	good .
CHI:	<this> [/?] the dog took the shoes .
INV:	that's right .
INV:	good .
INV:	what is happening in the picture ?
CHI:	he put it on his <&h> [/?] hair .
INV:	alright good job .
INV:	what else is happening in the picture ?
INV:	they almost slipped .
INV:	they raked the leaves into a big pile and then xxx +...
CHI:	what [^ ns] ?
INV:	what is happening in the picture ?
INV:	tell me one more thing about the story .
INV:	and tell me one more thing about the story .
INV:	the light and the what ?
INV:	and tell me one more thing about the story .
INV:	I want you to make up the story .
INV:	alright good .
INV:	that's right .
CHI:	the mommy's running .
INV:	you don't know, okay .
INV:	and you finish it .
INV:	good job .
INV:	okay good .
INV:	what else is happening in this picture ?
INV:	the water is spilling all over the floor and then xxx +...
INV:	yes, that's right .
INV:	the dad was doing that .
CHI:	0the [^ emorph] girls didn't do that [^ eu] .
INV:	tell me something else about the picture .
INV:	now I'll start the start the story .
CHI:	0 .
INV:	he took the cookies .
CHI:	why [^ ns] ?
INV:	okay, we'll try another one later .
INV:	and you finish it .
CHI:	he went under the couch .
INV:	no, you tell me .
INV:	she's going to bed .
INV:	that's right .
CHI:	the water spilled .
CHI:	they started to fall .
INV:	what else is happening in this picture ?
CHI:	the dog was there .
INV:	just tell me anything else about the picture .
CHI:	tell me [^ ns] .
CHI:	I don't know [^ ns] .
CHI:	her arm got ripped .
CHI:	the dog, he spilled it .
INV:	and what else is happening in this picture ?
INV:	good .
INV:	what is happening in the picture ?
CHI:	the boy went out <without his chair> [/?] without his fathers
INV:	oh_no, the dog ate some of the cake and then xxx +...
INV:	now I'll start the start the story .
INV:	okay good .
CHI:	can you tell me [^ ns] ?
CHI:	she can't eat .
INV:	what ?
INV:	and tell me one more thing about the story .
INV:	tell me one more thing about the story .
CHI:	I don't know [^ ns] .
INV:	good .
INV:	what ?
INV:	what ?
INV:	he cried ?
CHI:	I don't know [^ ns] .
INV:	good job .
INV:	okay good .
CHI:	he took the cookies .
CHI:	they 0are [^ ev] blowing bubble [* m:0s] [^ emorph] at each child
INV:	what is happening in the picture ?
INV:	he's cutting the toys .
INV:	and you finish it .
INV:	and tell me one more thing about the story .
CHI:	the boy didn't spill it .
INV:	he didn't spill it .
INV:	what is happening in the picture ?
CHI:	she took the d_v_d .
INV:	just tell me anything else about the picture .
INV:	she can't eat ?
INV:	they're footprints ?
CHI:	the boy spilled it .
INV:	what else is happening in this picture ?
INV:	and tell me one more thing about the story .
MOT:	what else is happening in that picture ?
CHI:	yeah [^ ns] .
INV:	now I'll start the start the story .
INV:	and the bus can't move and then xxx +...
INV:	okay good .
INV:	the girl didn't ?
INV:	that's right .
INV:	then that fell .
INV:	he had a tie .
INV:	okay .
INV:	okay .
INV:	okay good .
INV:	the children are taking the d_v_ds .
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
CHI:	<he fell> [/?] he almost fell .
MOT:	I don't know .
INV:	what ?
INV:	alright, good job .
INV:	what ?
INV:	good job .
CHI:	the cat went up there .
INV:	you don't know ?
INV:	alright good .
INV:	the children see the cat .
INV:	the dog and the girl have daddy's shoes and then xxx +...
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
CHI:	they almost slipped .
INV:	and you finish it .
CHI:	didn't spill it [^ ns] .
INV:	alright good job .
INV:	that's right .
INV:	what is happening in the picture ?
CHI:	it got all snowy .
INV:	now I'll start the start the story .
INV:	okay good .
INV:	and then what happens in the story ?
CHI:	they're driving their car .
INV:	that's right, good job .
INV:	and you finish it .
CHI:	the mom slip [^ ew:slipped] [^ ev] [^ eu] .
INV:	her arm got ripped ?
INV:	okay .
INV:	and you finish it .
INV:	and you finish it .
CHI:	yeah [^ ns] .
CHI:	he's cutting his toys .
INV:	now I'll start the start the story .
INV:	good job .
INV:	good job .
INV:	eat ?
CHI:	he <&c> [/?] tries to cut it .
INV:	his dad got mad ?
CHI:	yeah [^ ns] .
INV:	I don't know .
INV:	good .
INV:	and you finish it .
MOT:	there's a cat in the tree .
INV:	tell me one more thing about the story .
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	they break [^ ns] .
INV:	now I'll start the start the story .
INV:	the boy knocked the boxes off the shelf and then xxx +...
CHI:	they couldn't get him down .
INV:	that's right .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	<this> [/?] it spilled .
CHI:	tell me [^ ns] .
INV:	the boy is taking his grandma's scissors and then xxx +...
INV:	okay good .
INV:	okay .
CHI:	<he pushing &hi he> [/?] they're pulling it .
CHI:	he might cut hisself [^ ew:himself] [^ epronoun] [^ eu] .
INV:	the children are taking the d_v_ds from the bag and then what
INV:	and you finish it .
CHI:	the doggy did that .
INV:	what else is happening in the picture ?
INV:	the children are trying to wash the dog and then xxx +...
INV:	what else is happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	it breaks ?
INV:	they're on the street .
CHI:	they stopped him [^ ns] .
INV:	okay good job .
INV:	okay good .
INV:	okay, good .
CHI:	the kids are on the street .
INV:	okay good job .
CHI:	they throw snow at each other .
CHI:	eat [^ ns] .
INV:	the boy what ?
CHI:	<the mom got he> [/?] his <dad> [/?] dad got mad .
INV:	tell me anything else about the picture .
CHI:	they pull [* m:0ed] [^ ev] and stopped him [^ eu] .
INV:	what else is happening in this picture ?
INV:	the cat is stuck up in the tree and then xxx +...
INV:	okay good .
INV:	what ?
INV:	he's scared ?
INV:	and tell me one more thing about the story .
INV:	just tell me anything else about the picture .
CHI:	<they> [/?] they're walking .
CHI:	the light and the boy [^ ns] .
CHI:	they try to jump <on> [/?] in it .
INV:	he may cut himself .
INV:	what is happening in the picture ?
CHI:	<the wagon> [/?] they throw the wagon out .
INV:	what is happening in the picture ?
