participant	content
INV	and you finish it 
INV	and you finish it 
INV	and you finish it 
INV	now I'll start the start the story 
INV	very good and tell me one more thing about the story 
INV	the mom's trying to vroom the car 
CHI	the dad is 
INV	getting in trouble 
CHI	the boy is  get
INV	and what else is happening in this picture 
INV	the food are falling off the shelf 
CHI	the girl take  
INV	and you finish it 
INV	mom what 
INV	and what else is happening in the picture 
CHI	the moms  the water
INV	jumped over the water 
CHI	her  
INV	nobody's eating it 
INV	they throw the wagon out 
INV	and you finish it 
INV	very good 
CHI	girl  from the car  
INV	he jumped out 
INV	and you finish it 
CHI	mom is  and
CHI	a  in
CHI	the girl  
INV	very good 
CHI	the girls are 
INV	the children are taking the donuts from the bag and then  
CHI	the mom is  put
INV	the girl take dad's hat 
INV	the guys are pulling them 
CHI	the mom's  the dishes 
INV	good job 
INV	the what 
CHI	the  a snowman with the girl
INV	the boy knocked the boxes off the shelf and then  
INV	the dog is in front of the bus and then  
CHI	they ran out in the snow  
INV	the other girl's trying to do the tv 
INV	the little girl is still in her pajamas and then  
INV	and then he saw the kitty very good 
INV	very good and tell me one more thing about the story 
INV	and you finish it 
CHI	the girl's  the bubbles 
CHI	the girl put  
INV	no more bubbles 
CHI	he jumped  out 
INV	a lot of people are coming in 
CHI	mom's  it 
CHI	the girl is  away 
INV	very good 
CHI	the boy's  a scissor 
INV	and you finish it 
INV	the dog what the water 
INV	trying to put water what 
INV	the water splashed 
INV	and what else is happening in this picture 
INV	the boy is taking his grandma's scissors and then  
INV	her was not in the clothes 
INV	very good and tell me one more thing about the story 
INV	the cake melt very good 
CHI	her's  them
CHI	but the boy's  in the way 
INV	and tell me one more thing about the story 
CHI	uhhuh  
INV	the schoolbus is trying to vroom 
CHI	the  
INV	what's happening in the picture 
INV	what is happening in the picture 
INV	what else is happening in the picture 
INV	the boy getting some cookies 
INV	the boys are fighting 
INV	he walked 
INV	now I'll start the start the story 
CHI	the girl is  him 
CHI	h  him down
INV	very good 
INV	now I'll start the start the story 
INV	and what else is happening in this picture 
INV	oh_no the bubbles spilled and then  
CHI	they throw  the wagon out 
CHI	the  water splashed  
INV	the girl is helping him very good 
INV	the cat is stuck up in the tree and then  
CHI	their dad was  and
INV	good job and tell me one more thing about the story 
INV	they're going to drive 
CHI	to get through the carts  
INV	very good and what else is happening in the picture 
CHI	the girl's  out of the house 
CHI	 the man is  snowballs 
INV	very good and tell me one more thing about the story 
INV	the girls wanna throw snowballs 
CHI	the boy is 
INV	very good 
INV	very good and tell me one more thing about the story 
INV	very good 
INV	oh_no the dog ate some of the cake and then  
INV	good job 
CHI	the dog is  over the water 
INV	very good and tell me one more thing about the story 
INV	now I'll start the start the story 
CHI	the dad's  the tv 
INV	what's happening in the picture 
CHI	the girl is  front of
CHI	the  put
INV	the girl is driving away 
INV	they what the snow 
INV	the squirrel's climbing down the tree very good 
INV	the boy is trying to get the cookies and then  
INV	now I'll start the start the story 
INV	and what else is happening in this picture 
INV	what is happening in the picture 
INV	went out 
CHI	the girl's  the cart 
INV	are trying to what 
INV	good job 
INV	and you finish it 
INV	what's happening in the picture 
INV	the girl from the car 
INV	the dad is trying to look in the mirror 
INV	the dad's trying to see the tv 
INV	very good 
CHI	the   down the tree
INV	they raked the leaves into a big pile and then  
INV	the dog and the girl have the daddy's shoes and then  
INV	now I'll start the start the story 
INV	now I'll start the start the story 
INV	now I'll start the start the story 
INV	very good and what else is happening in this picture 
INV	the children are trying to wash the dog and then  
INV	and here comes the mom and then  
CHI	there's  
INV	what is happening in the picture 
INV	the cat is trying to go down the tree 
INV	dad's there 
INV	now I'll start the start the story 
