participant	content
INV	what's happening in the picture 
CHI	they are making a snowman 
INV	can you say that nice and loud 
CHI	he's make  
CHI	and the boys wanna throw balls at each other 
INV	what else is happening in this picture 
CHI	he's taking the snow  
INV	now I'll start the start the story 
INV	and you finish it 
INV	the boys are throwing snowballs and then  
CHI	what  
CHI	there is a bruise 
INV	tell me one more thing about the story 
CHI	the windows and the trees not  
INV	what's happening in the picture 
CHI	you start  
INV	just tell something about the picture 
CHI	that boy's crawling and that one 
INV	what else is happening in this picture 
CHI	her  her
INV	now I'll start the start the story 
INV	and you finish it 
INV	the boy is taking the grandma's scissors and then  
CHI	what did he do  
INV	and then what happens in the story 
CHI	you say it  
INV	say that again 
CHI	you say it  
INV	you tell me 
CHI	you tell me  
INV	the boy is taking his grandma's scissors 
INV	and then  
CHI	can you say it again  
INV	the boy is taking his grandma's scissors 
INV	and then what happens 
CHI	can you say what happens  
INV	just tell me one more thing about the story 
CHI	 he cut his hand 
INV	what's happening in the picture 
CHI	the girl's shoe came off 
CHI	and the boy took  the bubbles   
CHI	all the bubblebath spilled 
INV	what else is happening in this picture 
CHI	 her's  
INV	now I'll start the start the story 
INV	and you finish it 
INV	oh_no the bubbles spilled and then  
CHI	her  it dropped
CHI	that one did 
INV	tell me one more thing about the story 
CHI	that one didn't 
INV	what's happening in the picture 
CHI	 you start the picture  
INV	no you're telling me the story 
INV	just tell something about the picture 
CHI	no you finish it  
INV	now tell me something about this picture 
CHI	 
INV	tell me what's happening in the picture 
CHI	 the dolly's behind the daddy 
INV	what else is happening in this picture 
CHI	and the boy wants him back 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the daddy's hiding a doll behind his back and then  
CHI	the boy found it 
INV	tell me one more thing about the picture 
CHI	  it  it away from the
INV	what's happening in the picture 
CHI	 the dog wants to go on the bus 
INV	what else is happening in this picture 
CHI	 they want it in  to not go 
INV	now I'll start the start the story 
INV	and you finish it 
INV	the dog is in front of the bus 
INV	and the bus can't move and then  
CHI	he went over to  
INV	tell me one more thing about the story 
CHI	then they tried to pull him back  [] from the bus 
INV	okay good job [] 
INV	what's happening in the picture 
CHI	they want det donut  
INV	what else is happening in this picture [] 
CHI	that [] one has the donut 
INV	now I'll start the start the story 
INV	and you finish 
INV	the children are taking the donuts from the bag 
INV	and then  
CHI	they eat it 
INV	tell me one more thing about the story 
CHI	 they wanted to eat 
INV	what's happening in the picture 
CHI	 they  on the chair from that  
INV	what else is happening in this picture 
CHI	 they wanna get all the food 
INV	now I'll start the start the story 
INV	and you finish 
INV	they knocked the boxes off the shelf and then  
CHI	they falled  
INV	tell me one more thing about the story 
CHI	I think   them
INV	what's happening in the picture 
CHI	 her  
CHI	and he's gonna fall off the chair 
INV	he's gonna fall of the chair 
INV	and what else is happening in this picture 
CHI	he's gonna get broken  
INV	okay now I'll start the start the story 
INV	and you finish it 
INV	the boy is trying to get the cookies and then  
CHI	he got one 
INV	tell me one more thing about the story 
CHI	 the floor was yellow 
CHI	and the mom spilled the water in the tap because it was too fast 
INV	what's happening in the picture 
CHI	they're fighting over  
INV	say that nice and loud 
CHI	they're fighting over the bucket  
INV	what else is happening in this picture 
CHI	her  
INV	now I'll start the start the story 
INV	and you finish it 
INV	the boys are fighting 
INV	and here comes the mom and then  
CHI	her  
INV	tell me one more thing about the picture 
CHI	they wanted it 
CHI	and then   
INV	nice and loud I can't hear you when you whisper 
CHI	they're they're   
INV	what's happening in the picture 
CHI	 a cake is  
INV	a cake on the floor 
INV	and what else is happening in this picture 
CHI	 the footprints is  on there 
CHI	they came in 
INV	nice and loud 
CHI	they came in  
INV	now I'll start the start the story 
INV	and you finish 
INV	the dog ate the cake and then  
CHI	he stopped 
INV	tell me one more thing about the story 
CHI	he was under the sofa 
INV	what's happening in the picture 
CHI	her like   running out of the bath
INV	what else is happening in this picture 
CHI	he wants the bucket 
CHI	and he wants all the water 
INV	he wants all the water 
INV	now I'll start the start the story 
INV	and you finish 
INV	the children are trying to wash the dog and then  
CHI	they did 
INV	tell me one more thing about the story 
CHI	he run  
INV	what's happening in the picture 
CHI	 the girl has shoes on her hands 
INV	what else is happening in this picture 
CHI	her's  
INV	now I'll start the start the story 
INV	and you finish it 
INV	the dog and the girl have the daddy's shoes and then  
CHI	they  
INV	tell me one more thing about the story 
CHI	the  the boy has a yellow shirt on 
CHI	and  
INV	what's happening in the picture 
CHI	he's putting the leafs in there 
INV	he's putting the leaves in there 
INV	and what else is happening in this picture 
CHI	he's has  
INV	he has one of those too 
INV	now I'll start the start the story 
INV	and you finish it 
INV	they raked the leaves into a big pile and then  
CHI	they messed up it  
INV	tell me one more thing about the story 
CHI	her's  
INV	what's happening in the picture 
CHI	her's  
INV	nice and loud for me okay 
INV	what   
CHI	her's tired  
INV	what else is happening in the picture 
CHI	the dad's making toast 
INV	now I'll start the start the story 
INV	and you finish 
INV	the little girl is still in her pajamas 
INV	and then  
CHI	her  
INV	her what 
CHI	her was tired  
INV	tell me one more thing about the story 
CHI	 he's making toast 
INV	what's happening in the picture 
CHI	 the cat is stuck on the tree 
INV	mhm the   
CHI	he can't get down 
INV	the cat can't get down 
INV	and what else is happening in this picture 
CHI	the boy and the girl looked at him 
INV	now I'll start the start the story 
INV	and you finish 
INV	the children see the cat 
INV	the cat is stuck in the tree and then  
CHI	he came down 
INV	came down 
INV	tell me one more thing about the story 
CHI	then he went away 
