participant	content
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	just tell something about the picture .
CHI:	I don't know [^ ns] .
INV:	look, what's happening ?
CHI:	<she's going> [/?] she's jumping over here .
INV:	what else is happening in the picture ?
CHI:	he's barking .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	they raked the leaves into a big pile and then xxx +...
CHI:	I don't know [^ ns] .
CHI:	they jump .
INV:	tell me one more thing about the story .
CHI:	he's raking [^ earg] [^ eu] .
INV:	what's happening in the picture ?
CHI:	the kitty cat's stuck .
INV:	the kitty cat's stuck ?
INV:	good job .
INV:	what else is happening in the picture ?
CHI:	&uh they're standing .
INV:	they're standing, good job !
INV:	now I'll start the story .
INV:	and you finish it .
INV:	the children see the cat .
INV:	the cat is stuck up in the tree and then xxx +...
CHI:	I don't know [^ ns] .
INV:	the cat is stuck up in the tree .
INV:	and then what happens in the story ?
CHI:	I don't know [^ ns] .
INV:	okay, can you tell me one more thing about the story ?
CHI:	I don't know [^ ns] .
INV:	tell me one more thing .
INV:	tell me anything else about the picture .
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
CHI:	she 0is [^ ev] putting on the hat and he [^ other] 0v the shoes
INV:	and he what the shoes ?
CHI:	<&uh he> [/?] she had the shoes [^ ns] .
INV:	she has the shoes, good job !
INV:	what else is happening in this picture ?
CHI:	<&uh he's> [/?] he's holding that .
INV:	he's holding that, good job !
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the dog and the girl have the daddy's shoes and then xxx +...
CHI:	I don't know [^ ns] .
INV:	the dog and the girl have the daddy's shoes .
INV:	and then what happens on the story ?
CHI:	I don't know [^ ns] .
INV:	okay, can you tell me one more thing about the story ?
CHI:	I don't know [^ ns] .
INV:	just tell me anything else about the picture .
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
CHI:	<she &p> [/?] they're pulling that .
INV:	they're pulling that, good job !
INV:	what else is happening in the picture ?
CHI:	her mommy's running .
INV:	her mommy's running, very good !
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boys are fighting .
INV:	and here comes the mom and then xxx +...
CHI:	<I don't &kn they> [/?] they're playing with the bucket .
INV:	good job !
INV:	and tell me one more thing about the story .
CHI:	I don't know [^ ns] .
INV:	just tell me anything else about the picture .
CHI:	their shovels are down .
INV:	their shovels are down, good job !
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	just tell something about the picture .
CHI:	<she she's &r> [/?] he's eating .
INV:	he's eating, good job !
INV:	what else is happening in this picture ?
CHI:	<I she's &hol> [/?] he's tired .
INV:	he's tired ?
INV:	good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the little girl is still in her pajamas and then xxx +...
CHI:	the daddy 0is [^ ev] eating [^ eu] .
INV:	the daddy eating, good job .
INV:	tell me one more thing about the story .
CHI:	momma's making dinner .
INV:	momma's making dinner, good job .
INV:	what's happening in the picture ?
CHI:	they're coming in .
INV:	they're coming in, good job .
INV:	what else is happening in this picture ?
CHI:	there's 0a [^ emorph] birthday cake [^ eu] .
INV:	there's birthday cake, good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	oh_no, the dog ate some of the cake and then xxx +...
