participant	content
INV:	what's happening in the picture ?
CHI:	<the moms> [/?] the mom spill [* m:0ed] [^ v] [^ ev] the water
INV:	the mom spilled the water, very good .
INV:	very good and what else is happening in the picture ?
CHI:	the boy is [^ aux] getting [^ v] some cookies .
INV:	the boy getting some cookies ?
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boy is trying to get the cookies and then xxx +...
CHI:	the chair 0is [^ aux] [^ ev] gonna fall [^ v] down [^ eu] .
INV:	very good and tell me one more thing about the story .
CHI:	the mom's [^ aux] washing [^ v] the dishes .
INV:	very good .
INV:	what's happening in the picture ?
CHI:	the girl's [^ aux] blowing [^ v] the bubbles .
INV:	very good and what else is happening in this picture ?
CHI:	the boy 0is [^ aux] [^ ev] trying [^ v] 0to [^ inf] [^ emorph] get
CHI:	the (.) water splashed [^ v] .
INV:	the water splashed ?
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	oh_no, the bubbles spilled and then xxx +...
CHI:	[^ earg] is [^ cop] no more bubbles [^ eu] .
INV:	no more bubbles .
INV:	very good and tell me one more thing about the story .
CHI:	the girl is [^ aux] blowing [^ v] bubbles again .
INV:	what's happening in the picture ?
CHI:	&uh the man is [^ aux] throwing [^ v] snowballs .
INV:	the man is throwing snowballs ?
INV:	very good .
INV:	what else is happening in the picture ?
CHI:	<the> [/?] the dad is [^ aux] making [^ v] a snowman with the girl
INV:	very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boys are throwing snowballs and then xxx +...
CHI:	<the> [/?] the girl wanna [^ ew:wants_to] [^ ev] throw [^ v]
INV:	the girls wanna throw snowballs ?
INV:	very good and tell me one more thing about the story .
CHI:	<they> [/?] they ran [^ v] out in 0the [^ emorph] snow [^ eu] .
INV:	they what the snow ?
CHI:	<<they ran out in 0the snow> [/?]> [/?] .
INV:	went out ?
INV:	very good .
INV:	what is happening in the picture ?
CHI:	the girl's [^ aux] running [^ v] out of the house .
INV:	the girl is running out of the house .
INV:	and what else is happening in this picture ?
CHI:	dad's [^ cop] there .
INV:	dad's there ?
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	the girl 0is [^ aux] [^ ev] gonna give [^ v] him a hug [^ eu] .
INV:	very good and tell me one more thing about the story .
CHI:	the door is [^ aux] closed [^ v] .
INV:	what's happening in the picture ?
CHI:	this schoolbus is [^ aux] trying [^ v] to [^ inf] vroom@c
CHI:	but the dog's [^ cop] in the way .
INV:	the schoolbus is trying to vroom ?
INV:	very good .
INV:	what else is happening in the picture ?
CHI:	the girl and the dad are pulling [^ v] the dog .
INV:	very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the dog is in front of the bus and then xxx +...
CHI:	&uh the guys are [^ aux] pulling [^ v] them [^ ew:him] [^ epronoun]
INV:	the guys are pulling them ?
INV:	good job and tell me one more thing about the story .
CHI:	there's [^ cop] a boy in 0the [^ emorph] schoolbus [^ eu] .
INV:	good job .
INV:	what is happening in the picture ?
CHI:	the mom's [^ aux] trying [^ v] to [^ inf] vroom@c [^ elexical] the
INV:	the mom's trying to vroom@c the car .
INV:	and what else is happening in the picture ?
CHI:	the girl is [^ cop] 0in [^ emorph] 0the [^ emorph] front 0of
INV:	the what ?
CHI:	<<girl xxx from the car> [/?]> [/?] .
INV:	the girl from the car ?
INV:	good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children are taking the donuts from the bag and then xxx +...
CHI:	they're [^ cop] all gone .
INV:	they're all gone .
INV:	tell me one more thing about the story .
CHI:	<they're gonna> [/?] they're [^ aux] going [^ v] to [^ inf] drive
INV:	they're going to drive .
INV:	very good .
INV:	what is happening in the picture ?
CHI:	the food are [^ ew:is] [^ aux] [^ ev] falling [^ v] off the shelf
INV:	the food are falling off the shelf ?
INV:	very good and what else is happening in this picture ?
CHI:	the girl's [^ aux] pushing [^ v] the cart .
CHI:	but the boy's [^ cop] in the way .
INV:	very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boy knocked the boxes off the shelf and then xxx +...
CHI:	they <&f> [/?] 0are [^ aux] [^ ev] gonna fall [^ v] [^ eu] .
INV:	good job and tell me one more thing about the story .
CHI:	the green girls are [^ aux] trying [^ v] to [^ inf] get [^ v]
INV:	are trying to what ?
CHI:	<<to get through the carts> [/?]> [/?] .
INV:	get through the carts ?
CHI:	<uhhuh> [/?] .
INV:	good job .
INV:	what's happening in the picture ?
CHI:	the dad's [^ aux] trying [^ v] to [^ inf] see [^ v] [^ xv] the tv .
INV:	the dad's trying to see the tv .
INV:	and what else is happening in this picture ?
CHI:	the boy's [^ aux] trying [^ v] to [^ inf] get [^ v] a scissor .
INV:	good job .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boy is taking his grandma's scissors and then xxx +...
CHI:	he's [^ aux] getting [^ v] in trouble .
INV:	getting in trouble ?
INV:	and tell me one more thing about the story .
INV:	just tell me anything else about the picture .
CHI:	the girls are [^ aux] always trying [^ v] to [^ inf] see [^ v]
INV:	what ?
CHI:	<<the other girl's trying to see the tv> [/?]> [/?] .
INV:	the other girl's trying to do the tv ?
INV:	good job .
INV:	what is happening in the picture ?
CHI:	<the> [/?] the cake melt [^ v] [^ ev] [^ eu] .
INV:	the cake melt, very good .
INV:	what else is happening in the picture ?
CHI:	0a [^ emorph] lot of people are [^ aux] <&c> [/?] coming [^ v] in
INV:	a lot of people are coming in ?
INV:	very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	oh_no, the dog ate some of the cake and then xxx +...
CHI:	it melt [^ v] [^ ev] [^ eu] .
INV:	it melted .
INV:	very good and tell me one more thing about the story .
CHI:	mom's [^ aux] sweeping [^ v] it .
INV:	mom's sweeping it ?
INV:	very good .
INV:	what is happening in the picture ?
CHI:	the girl is [^ aux] driving [^ v] away .
INV:	the girl is driving away .
INV:	and what else is happening in this picture ?
CHI:	<the &sq> [/?] the squirrel's [^ aux] climbing [^ v] down the tree
INV:	the squirrel's climbing down the tree, very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	they raked the leaves into a big pile and then xxx +...
CHI:	the girl just (.) sat [^ v] in it .
INV:	the girl just sat in it ?
INV:	very good and tell me one more thing about the story .
CHI:	they're [^ aux] trying [^ v] to [^ inf] rake [^ v] [^ xv] the pile
INV:	they're trying to rake the pile, very good .
INV:	what is happening in the picture ?
CHI:	the dad 0is [^ aux] [^ ev] trying [^ v] to [^ inf] look [^ v]
INV:	the dad is trying to look in the mirror .
INV:	and what else is happening in this picture ?
CHI:	the girl put [^ v] shoes in [^ ew:on] [^ emorph] her hands [^ eu] .
INV:	very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the dog and the girl have the daddy's shoes and then xxx +...
CHI:	0the [^ emorph] dog was [^ aux] eating [^ v] daddy's shoes [^ eu] .
INV:	very good and tell me one more thing about the story .
CHI:	the girl take [^ v] [^ ev] dad's <whole &s> [/?] hat [^ eu] .
INV:	the girl take dad's hat ?
INV:	very good .
INV:	what's happening in the picture ?
CHI:	&uh 0the [^ emorph] cat is [^ aux] <&wa> [/?] trying [^ v] 0to
INV:	the cat is trying to go down the tree ?
INV:	and what else is happening in this picture ?
CHI:	the girl is [^ aux] helping [^ v] him .
INV:	who's helping him ?
CHI:	<<the girl> [/?]> [/?] .
INV:	the girl is helping him, very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children see the cat .
INV:	the cat is stuck up in the tree and then xxx +...
CHI:	<h> [/?] he try [^ v] [^ ev] to [^ inf] get [^ v] [^ xv] him down
INV:	he try to get him down ?
INV:	very good and tell me one more thing about the story .
CHI:	they walked [^ v] .
CHI:	<<and> [/?]> [/?] then he saw [^ v] the kitty .
INV:	he walked .
INV:	and then he saw the kitty, very good .
INV:	what is happening in the picture ?
CHI:	the dog <is> [/?] jumped [^ v] over the water .
INV:	the dog what the water ?
CHI:	<<jumped over the water> [/?]> [/?] .
INV:	jumped over the water .
INV:	very good and what else is happening in the picture ?
CHI:	the boy is [^ aux] trying [^ v] 0to [^ inf] [^ emorph] put [^ v]
INV:	trying to put water what ?
CHI:	<<water in there again> [/?]> [/?] .
INV:	okay very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children are trying to wash the dog and then xxx +...
CHI:	he jumped [^ v] out .
INV:	he jumped out .
INV:	very good and tell me one more thing about the story .
CHI:	<the> [/?] he's [^ aux] trying [^ v] 0to [^ inf] [^ emorph] put
INV:	very good .
INV:	what's happening in the picture ?
CHI:	the mom 0is [^ aux] [^ ev] trying [^ v] 0to [^ inf] [^ emorph] put
CHI:	but nobody's [^ aux] eating [^ v] it .
INV:	nobody's eating it .
INV:	and what else is happening in the picture ?
CHI:	there 0is [^ cop] [^ ev] no cereal in the bowl [^ eu] .
INV:	no cereal in the bowl .
INV:	okay, now I'll start the start the story .
INV:	and you finish it .
INV:	the little girl is still in her pajamas and then xxx +...
CHI:	her [^ ew:she] [^ epronoun] was [^ aux] not in the clothes [^ eu] .
INV:	her was not in the clothes .
INV:	very good and tell me one more thing about the story .
CHI:	their dad was [^ aux] putting [^ v] plates [^ earg] 0and
INV:	very good .
INV:	what is happening in the picture ?
CHI:	the boys are [^ aux] wrestling [^ v] in the sandbox .
INV:	the boys are wrestling in the sandbox .
INV:	and what else is happening in the picture ?
CHI:	mom 0is [^ aux] [^ ev] trying [^ v] to [^ inf] run [^ v] [^ xv] and
INV:	mom what ?
CHI:	<<the mom's running and stopping them> [/?]> [/?] .
INV:	very good .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boys are fighting .
INV:	and here comes the mom and then xxx +...
CHI:	her's [: she's] [*] trying [^ v] to [^ inf] stop [^ v] [^ xv] them
INV:	trying to stop them .
INV:	and tell me one more thing about the story .
CHI:	they throw [^ v] the wagon out .
INV:	they throw the wagon out ?
INV:	very good .
