participant	content
CHI:	[^ earg] running [^ eu] .
INV:	what else is happening in this picture ?
CHI:	he [^ ew:she] [^ epronoun] has a shoe and her dad [* MOT:0's]
MOT:	her try to break it ?
INV:	oh, her has a hat on, okay .
INV:	tell me one more thing about the picture .
CHI:	he try [^ ev] 0to [^ emorph] catch them [^ eu] .
INV:	what else is happening in this picture ?
CHI:	that guy put a mask on [^ ns] .
INV:	they try what ?
INV:	say that again .
CHI:	her [^ ew:she] [^ epronoun] has a doll [^ eu] .
INV:	just tell me anything you see in the picture .
CHI:	0 .
INV:	the children see the cat .
INV:	what else is happening in this picture ?
CHI:	scared [^ ns] .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] doing this [^ eu] .
INV:	throwing them, okay .
INV:	tell me one more thing about the picture .
INV:	the daddy is hiding a doll behind is back .
CHI:	they have the seatbelt on [^ ns] .
CHI:	he is driving .
INV:	tell me one more thing about the picture .
INV:	a cat in what ?
INV:	what's happening in the picture ?
CHI:	he has a present and her .
INV:	what else is happening in this picture ?
CHI:	<it's> [/?] it's scared .
CHI:	<a a> [/?] a cat 0is [^ ev] in trouble [^ eu] .
INV:	and what's going to happen next ?
CHI:	and her [^ ew:she] [^ epronoun] is driving [^ eu] .
INV:	what else is happening in this picture ?
INV:	and what's going to happen next ?
INV:	they raked the leaves into a big pile .
INV:	what ?
INV:	her what ?
INV:	what will happen in just a little bit while ?
INV:	tell me one more thing about the picture .
CHI:	it's gonna go way <up> [/?] up to the ceiling .
INV:	they try xxx +...
INV:	what's happening in the picture ?
INV:	they are fighting .
CHI:	her [^ ew:she] has a hat on [^ ns] .
CHI:	to get them [^ ns] .
CHI:	they 0are gonna get hurt [^ ns] .
CHI:	they are smiling .
INV:	the water is coming out of the sink .
INV:	tell me one more thing about the picture .
CHI:	<it's> [/?] it's running .
CHI:	a [^ ew:the] [^ emorph] bubbles are spilling [^ eu] .
CHI:	they're do [^ ev] fighting [^ eu] .
INV:	and here comes their mom .
CHI:	a firefighter 0is [^ ev] gonna come [^ eu] .
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	and it's try [* MOT:0ing] [^ emorph] 0to [^ emorph] get 0the
INV:	tell me one more thing about the picture .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] tired [^ eu] .
CHI:	that guy put a mask on [% whispered] .
INV:	what's happening in the picture ?
INV:	it's what ?
CHI:	a car [^ ns] .
INV:	the children are taking the donuts out of the bag .
INV:	what else is happening in this picture ?
INV:	what's going to happen next ?
CHI:	<her has> [/?] he has a cake [^ ns] .
CHI:	I put this down [^ ns] .
CHI:	they are crawling .
INV:	and what's going to happen next ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] putting leafs in the garbage
INV:	her driving, okay .
INV:	what ?
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	a doggy 0is [^ ev] gonna get hurt [^ eu] .
INV:	what's happening in the picture ?
INV:	oh_no, the dog ate some of the cake .
CHI:	<they> [/?] her [^ ew:she] 0is putting leafs in the garbage [^ ns]
CHI:	her [^ ew:she] [^ epronoun] try [^ ev] [^ emorph] 0to [^ emorph]
