participant	content
CHI:	a little boy [^ frag] [^ eu] .
CHI:	scared [^ ns] .
INV:	and what's going to happen next ?
CHI:	they are fighting .
INV:	they what ?
CHI:	they're do [^ ev] fighting [^ eu] .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] doing this [^ eu] .
CHI:	it's snowing .
INV:	her driving, okay .
INV:	a cat in what ?
INV:	what ?
INV:	and what's going to happen next ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] putting leafs in the garbage
CHI:	it make [^ ev] footprints [^ eu] .
INV:	and here comes their mom .
INV:	what else is happening in this picture ?
CHI:	in trouble [^ ns] .
CHI:	<they> [/?] her [^ ew:she] 0is putting leafs in the garbage [^ ns]
INV:	just tell me anything else about the picture .
INV:	and what's going to happen next ?
INV:	say that again .
INV:	sorry ?
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	say that again .
CHI:	and her [^ ew:she] [^ epronoun] has a box [^ eu] .
INV:	he gonna hug her .
INV:	they raked the leaves into a big pile .
CHI:	a car [^ ns] .
CHI:	and he's xxx one .
INV:	tell me one more thing about the picture .
INV:	say it again .
INV:	they are fighting .
CHI:	it's gonna spill .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	and what's going to happen next ?
INV:	what ?
CHI:	and the steps are <&g go> [/?] gonna fall down [^ other] [^ eu] .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] looking at a [^ ew:the]
INV:	and what's going to happen next ?
INV:	the dog and the girl have the daddy's shoes .
INV:	throwing them, okay .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] gonna see [^ earg] [^ eu] .
CHI:	a [^ ew:the] [^ emorph] water <is> [/?] is coming out [^ eu] .
CHI:	they 0are [^ ev] throwing snowballs [^ eu] .
INV:	what ?
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] tired [^ eu] .
CHI:	<a a> [/?] a cat 0is [^ ev] in trouble [^ eu] .
INV:	tell me one more thing about the picture .
INV:	tell me one more thing about the picture .
INV:	what's going to happen next ?
CHI:	they 0are [^ ev] gonna get hurt [^ eu] .
CHI:	her [^ ew:she] try a [^ ew:to] break it [^ ns] .
CHI:	<they try they &uh> [/?] they xxx .
INV:	the children are trying to wash the dog .
INV:	what ?
INV:	just tell me anything you see in the picture .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
CHI:	<they got> [/?] he's got scissors .
INV:	tell me one more thing about the picture .
CHI:	a birthday cake is breaking [^ elexical] [^ eu] .
INV:	what ?
INV:	and what's going to happen next ?
CHI:	0 .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
INV:	what's going to happen next ?
INV:	say that again .
INV:	what ?
CHI:	&um they have safetybelt [* MOT:0s] [^ emorph] on [^ eu] .
CHI:	they are smiling .
INV:	just tell me anything else about the picture .
CHI:	he try [^ ev] 0to [^ emorph] catch them [^ eu] .
CHI:	he's digging .
CHI:	they 0are gonna get hurt [^ ns] .
CHI:	<a &g> [/?] a little girl [^ frag] [^ eu] .
CHI:	and that's they [^ ew:their] [^ epronoun] home [^ eu] .
INV:	a cat in trouble, okay .
INV:	what ?
CHI:	<her gonna> [/?] he 0is gonna hug her [^ ns] .
INV:	what's happening in the picture ?
INV:	it's what ?
CHI:	<&h> [/?] he has a cake .
INV:	oh, her has a hat on, okay .
INV:	what's happening in the picture ?
CHI:	her [^ ew:she] [^ epronoun] has a doll [^ eu] .
CHI:	her [^ ew:she] 0is driving [^ ns] .
CHI:	and her [^ ew:she] [^ epronoun] is driving [^ eu] .
MOT:	a little girl hat on ?
CHI:	her [^ ew:she] 0is doing this [^ ns] .
CHI:	he is driving .
INV:	say that again .
INV:	and what's going to happen next ?
CHI:	<it's> [/?] it's running .
MOT:	okay .
INV:	what's happening in the picture ?
INV:	what will happen in just a little bit while ?
CHI:	[^ earg] running [^ eu] .
INV:	and what's going to happen next ?
INV:	her what ?
INV:	what's happening in the picture ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] shopping [^ eu] .
CHI:	her [^ ew:she] has a hat on [^ ns] .
INV:	say that again .
CHI:	they are fighting [^ ns] .
INV:	what else is happening in this picture ?
INV:	oh_no, the bubbles spilled .
MOT:	throwing them .
CHI:	that guy put a mask on [% whispered] .
INV:	they what snowballs ?
CHI:	<&h> [/?] her [^ ew:she] [^ epronoun] pour [^ ev] a [^ ew:the]
INV:	what else is happening in this picture ?
INV:	the children see the cat .
INV:	say that again .
INV:	what else is happening in this picture ?
INV:	and what's going to happen next ?
CHI:	her [^ ew:she] [^ epronoun] try [^ ev] a [^ ew:to] [^ emorph] break
CHI:	they 0are [^ ev] gonna eat [^ eu] .
INV:	they try what ?
INV:	the daddy is hiding a doll behind is back .
INV:	the boys are fighting .
CHI:	her [^ ew:she] 0is doing this [^ ns] .
INV:	and what's going to happen next ?
CHI:	and he is making a [^ ew:the] [^ emorph] toast [^ eu] .
CHI:	and it's try [* MOT:0ing] [^ emorph] 0to [^ emorph] get 0the
INV:	the cat is stuck up in a tree .
INV:	say that again .
INV:	the children are taking the donuts out of the bag .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	they are making 0a [^ emorph] snowman and making snowballs [^ eu] .
INV:	throwing them ?
CHI:	a [^ ew:the] [^ emorph] bubbles are spilling [^ eu] .
INV:	they try xxx +...
CHI:	they are crawling .
CHI:	a firefighter 0is gonna come [^ ns] .
CHI:	and the floor 0is [^ ev] gonna break [^ eu] .
INV:	and the bus can't move .
CHI:	and <he> [/?] her [^ ew:she] has a box [^ ns] .
CHI:	her [^ ew:she] has a little girl hat on her head [^ ns] .
INV:	the little girl is still in her pajamas .
INV:	and what's going to happen next ?
INV:	what's happening in the picture ?
CHI:	they have the seatbelt on [^ ns] .
CHI:	a girl 0is [^ ev] blowing bubbles [^ eu] .
INV:	her happy .
INV:	tell me one more thing about the picture .
MOT:	the little girl has a hat on ?
INV:	the water is coming out of the sink .
CHI:	a [^ ew:the] [^ emorph] water 0is [^ ev] coming out of 0the
CHI:	a doggy [^ frag] [^ eu] .
INV:	and what's going to happen next ?
