participant	content
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	her [^ ew:she] [^ epronoun] try [^ ev] a [^ ew:to] [^ emorph] break
INV:	her what ?
CHI:	her [^ ew:she] 0is doing this [^ ns] .
INV:	the boy knocked the boxes off the shelf .
INV:	tell me one more thing about the picture .
CHI:	he has a present and her .
CHI:	it's try [* MOT:0ing] 0to get 0the dog [^ ns] .
CHI:	it make [^ ev] footprints [^ eu] .
CHI:	I put this down [^ ns] .
MOT:	her try to break it ?
INV:	what else is happening in this picture ?
INV:	they are fighting .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] washing dishes [^ eu] .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
MOT:	a little girl hat on ?
INV:	the boys are throwing snowballs .
CHI:	a firefighter 0is [^ ev] gonna come [^ eu] .
CHI:	to get them [^ ns] .
CHI:	they're falling down .
CHI:	and it's try [* MOT:0ing] [^ emorph] 0to [^ emorph] get 0the
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] putting leafs in the garbage
INV:	say that again .
INV:	just tell me anything else about the picture .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
MOT:	throwing them .
INV:	what's happening in the picture ?
CHI:	they are sitting in a car .
MOT:	the little girl has a hat on ?
CHI:	[^ earg] running [^ eu] .
INV:	tell me one more thing about the picture .
CHI:	her [^ ew:she] [^ epronoun] has a doll [^ eu] .
CHI:	they're do [^ ev] fighting [^ eu] .
CHI:	and her [^ ew:she] [^ epronoun] is driving [^ eu] .
INV:	they try what ?
CHI:	they throwing them [^ ns] .
CHI:	he's digging .
CHI:	a birthday cake is breaking [^ elexical] [^ eu] .
INV:	the children see the cat .
CHI:	<they got> [/?] he's got scissors .
INV:	say that again .
INV:	I'm sorry .
INV:	what's happening in the picture ?
INV:	it's what ?
INV:	just tell me anything you see in the picture .
INV:	her happy .
INV:	what's going to happen next ?
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
CHI:	and that's they [^ ew:their] [^ epronoun] home [^ eu] .
INV:	what else is happening in this picture ?
CHI:	0 .
CHI:	her [^ ew:she] 0is driving [^ ns] .
INV:	what's happening in the picture ?
INV:	the cat is stuck up in a tree .
CHI:	and the floor 0is [^ ev] gonna break [^ eu] .
INV:	they what snowballs ?
INV:	the dog and the girl have the daddy's shoes .
INV:	a cat in what ?
INV:	the water is coming out of the sink .
CHI:	scared [^ ns] .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] saying stop [^ eu] .
CHI:	it's snowing .
CHI:	and <he> [/?] her [^ ew:she] has a box [^ ns] .
CHI:	and he is making a [^ ew:the] [^ emorph] toast [^ eu] .
INV:	what else is happening in this picture ?
INV:	the little girl is still in her pajamas .
INV:	and what's going to happen next ?
INV:	what ?
CHI:	they 0are [^ ev] gonna get hurt [^ eu] .
CHI:	and her [^ ew:she] [^ epronoun] has a box [^ eu] .
CHI:	a [^ ew:the] [^ emorph] water 0is [^ ev] coming out of 0the
CHI:	they have the seatbelt on [^ ns] .
CHI:	<her gonna> [/?] he 0is gonna hug her [^ ns] .
INV:	and here comes their mom .
CHI:	<it's> [/?] it's running .
INV:	what ?
INV:	say that again .
INV:	what's going to happen next ?
CHI:	a little boy [^ frag] [^ eu] .
INV:	and what's going to happen next ?
INV:	what else is happening in this picture ?
CHI:	a [^ ew:the] [^ emorph] bubbles are spilling [^ eu] .
INV:	and the bus can't move .
INV:	what's happening in the picture ?
CHI:	they 0are [^ ev] throwing snowballs [^ eu] .
INV:	what else is happening in this picture ?
CHI:	he got a <&coo> [/?] cookie .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] sliding in them [^ eu] .
INV:	just tell me anything you see in the picture .
INV:	her driving, okay .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
INV:	just tell me one more thing about the picture .
