participant	content
CHI:	<pulling> [/?] them [^ ew:they] [^ epronoun] 0are [^ ev] pulling
INV:	tell me one more thing about the picture .
INV:	her looking at her hands, right ?
INV:	what's happening in the picture ?
INV:	the girl what ?
INV:	what else is happening in this picture ?
INV:	the boy what ?
INV:	what else is happening in this picture ?
CHI:	him [^ ew:he] [^ epronoun] 0is [^ ev] getting new [^ ?] cookies
INV:	tell me one more thing about the picture .
CHI:	[^ earg] being quiet [^ eu] .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] wiping the plate [^ eu] .
INV:	what's happening in the picture ?
INV:	what ?
CHI:	<her> [/?] the brother get [^ ev] also [^ other] wet [^ eu] .
CHI:	<him xxx> [/?] him [^ ew:he] [^ epronoun] 0is [^ ev] getting the
INV:	sorry ?
INV:	say that again .
INV:	and what's going to happen next ?
CHI:	the dad says ssh .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	[^ earg] putting the bucket away [^ eu] .
CHI:	[^ earg] <got> [<] boo_boos [^ eu] .
CHI:	<the> [/?] the boy hold [^ ev] his dad's tie [^ eu] .
INV:	what's happening in the picture ?
CHI:	the mom is so angry .
INV:	what's going to happen next ?
INV:	tell me one more thing about the picture .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] looking at the boy [^ eu] .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] driving [^ eu] .
CHI:	they 0are [^ ev] building a snowman [^ eu] .
INV:	hands ?
INV:	what else do you see in the picture ?
CHI:	they got boo_boos [^ ns] .
CHI:	<&h him pull> [/?] him [^ ew:he] [^ epronoun] pull [^ ev] the
CHI:	him wagging the tail [^ ns] .
CHI:	<he> [/?] her [^ ew:she] [^ epronoun] 0is [^ ev] running [^ eu] .
CHI:	him [^ ew:he] [^ epronoun] 0is [^ ev] trying to drive the bus
INV:	oh, splashed the girl .
INV:	what else is happening in this picture ?
INV:	what's going to happen next ?
INV:	what else is happening in this picture ?
INV:	the daddy is hiding a doll behind his back .
INV:	the dog ate some of the cake .
CHI:	&um her [^ ew:she] [^ epronoun] 0is [^ ev] hugging her daddy [^ eu]
CHI:	[^ earg] washed the hands [^ eu] .
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
INV:	oh_no, the bubbles spilled .
CHI:	him [^ ew:he] [^ epronoun] 0is [^ ev] sad [^ eu] .
CHI:	daddy xxx +...
INV:	what's happening in the picture ?
CHI:	<her> [/?] her [^ ew:she] [^ epronoun] 0is [^ ev] looking at her
INV:	what else is happening in this picture ?
CHI:	[^ earg] make footprints [^ eu] .
INV:	tell me one more thing about the picture .
INV:	what's going to happen next ?
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] blowing bubbles [^ eu] .
CHI:	the water's &um gonna spill on the floor .
INV:	and what's going to happen next ?
CHI:	&um him [^ ew:he] [^ epronoun] 0is [^ ev] wagging 0his [^ emorph]
CHI:	<him taking> [/?] her [^ ew:she] [^ epronoun] give [^ ev] a donut
INV:	the children are trying to wash the dog .
CHI:	&um him [^ ew:he] [^ epronoun] 0is [^ ev] <raking> [/?] raking the
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	the boy is trying to get the cookies .
INV:	what's happening in the picture ?
CHI:	the dog <splash> [/?] splash [^ ev] [^ earg] [^ eu] .
CHI:	get also wet [^ ns] .
INV:	her xxx +...
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
INV:	the boys are fighting .
INV:	what else is happening in this picture ?
CHI:	the cat's stuck in the tree .
CHI:	&um him [^ ew:he] [^ epronoun] knock [^ ev] over [^ earg] [^ eu] .
CHI:	<he spilled> [/?] her [^ ew:she] [^ epronoun] knock [^ ev] all over
CHI:	the girl get [^ ev] daddy's hat [^ eu] .
CHI:	<the> [/?] him [^ ew:he] [^ epronoun] 0is [^ ev] wagging 0his
CHI:	<m> [/?] they're throwing snowballs .
INV:	the little girl is still in her pajamas .
INV:	what's happening in the picture ?
CHI:	the girl 0is [^ ev] looking at the dad [^ eu] .
INV:	and what's going to happen next ?
CHI:	the girl [^ ns] .
INV:	the boy knocked the boxes off the shelf .
INV:	and the bus can't move .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	the mom 0is [^ ev] washing dishes [^ eu] .
CHI:	&um [^ earg] say no [^ eu] .
CHI:	<ask him> [/?] the momma ask [^ ew:tell] [^ ev] [^ elexical] the
INV:	the dog is in front of the bus .
INV:	and here comes the mom .
CHI:	<&um mom> [/?] the mom 0is [^ ev] digging [^ eu] .
CHI:	&um they're patting [^ earg] [^ eu] .
INV:	tell me one more thing about the picture .
INV:	and what's going to happen next ?
INV:	what else is happening in this <picture> [>] ?
INV:	what's going to happen next ?
INV:	her what ?
CHI:	&um the daddy [^ frag] [^ eu] .
CHI:	they're trying to put the leafs in .
INV:	the dog splashed what ?
CHI:	&uh [^ earg] taking the dog [^ eu] .
INV:	her driving, good job .
INV:	just tell me anything else in the picture .
CHI:	<him gon> [/?] him [^ ew:he] [^ epronoun] 0is [^ ev] gonna give it
CHI:	he go [^ ev] under the couch [^ eu] .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	0 .
INV:	say that again .
INV:	what is going to happen next ?
INV:	say that again .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	what's going to happen next ?
INV:	just tell me anything else about the picture .
INV:	and the dog ran away .
INV:	the dog and the girl have the daddy's shoes .
INV:	and what's going to happen next ?
CHI:	<her> [/?] her [^ ew:she] [^ epronoun] 0is [^ ev] looking at the
INV:	the children see the cat .
CHI:	<him> [/?] he had the [^ ew:a] blue nose .
INV:	the boys are throwing snowballs .
CHI:	<&h him> [/?] him [^ ew:he] [^ epronoun] 0is [^ ev] looking at the
CHI:	0the [^ emorph] kids <xxx> [/?] want <some more> [/?] some more
INV:	just tell me anything else about the picture .
CHI:	her [^ ew:she] [^ epronoun] have [^ ew:has] [^ ev] to change [^ eu]
INV:	the boy is taking his grandma's scissors .
INV:	tell me one more thing about the picture .
CHI:	and the dad 0is [^ ev] putting toast in [^ ew:on] [^ emorph] the
INV:	tell me one more thing about the story .
CHI:	the dad bought a new present .
CHI:	&um her [^ ew:she] [^ epronoun] 0is [^ ev] pushing 0the [^ emorph]
CHI:	<&um the dad> [/?] the mom 0is [^ ev] pouring juicie [^ ew:juice]
INV:	the children are taking the donuts from the bag .
INV:	tell me one more thing about the picture .
CHI:	the mom's running .
INV:	and the cat is stuck up in the tree .
INV:	say that again .
CHI:	he got dad's belt .
INV:	what else is happening in this picture ?
CHI:	there's a hose [^ ns] .
INV:	what else is happening in this picture ?
INV:	what's going to happen next ?
CHI:	&um the girl said (.) xxx doing that .
CHI:	hands [^ ns] .
INV:	and what's going to happen next ?
CHI:	her [^ ew:she] [^ epronoun] spilled the bubbles [^ eu] .
CHI:	there's a hose .
CHI:	get the oranges [^ ns] .
CHI:	her [^ ew:she] [^ epronoun] got her shoes on her hands [^ eu] .
CHI:	[^ earg] putting <in> [/?] [^ earg] in the garbage [^ eu] .
CHI:	the girl is running .
CHI:	her hands [^ ns] .
CHI:	the girl [^ ns] .
INV:	tell me one more thing about the picture .
INV:	what's going to happen next ?
CHI:	him [^ ew:he] [^ epronoun] knock [^ ev] <down> [/?] down [^ earg]
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	&um her [^ ew:she] [^ epronoun] 0is [^ ev] yawning [^ eu] .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	they raked the leaves into a big pile .
