participant	content
CHI:	the mom's running .
CHI:	they got boo_boos [^ ns] .
INV:	what's going to happen next ?
CHI:	<pulling> [/?] them [^ ew:they] [^ epronoun] 0are [^ ev] pulling
INV:	what's going to happen next ?
CHI:	the girl get [^ ev] daddy's hat [^ eu] .
INV:	what's happening in the picture ?
CHI:	&um the girl said (.) xxx doing that .
CHI:	<her> [/?] her [^ ew:she] [^ epronoun] 0is [^ ev] looking at her
INV:	the children see the cat .
INV:	just tell me anything else about the picture .
INV:	just tell me anything else in the picture .
INV:	what else is happening in this picture ?
CHI:	<&um the dad> [/?] the mom 0is [^ ev] pouring juicie [^ ew:juice]
INV:	and what's going to happen next ?
CHI:	him [^ ew:he] [^ epronoun] 0is [^ ev] trying to drive the bus
CHI:	her hands [^ ns] .
INV:	and what's going to happen next ?
INV:	and the bus can't move .
INV:	what's happening in the picture ?
CHI:	get the oranges [^ ns] .
INV:	say that again .
CHI:	[^ earg] putting <in> [/?] [^ earg] in the garbage [^ eu] .
CHI:	they're trying to put the leafs in .
INV:	what else is happening in this picture ?
CHI:	<&h him> [/?] him [^ ew:he] [^ epronoun] 0is [^ ev] looking at the
INV:	tell me one more thing about the picture .
CHI:	daddy xxx +...
CHI:	her [^ ew:she] [^ epronoun] spilled the bubbles [^ eu] .
CHI:	<him> [/?] he had the [^ ew:a] blue nose .
CHI:	they 0are [^ ev] building a snowman [^ eu] .
INV:	the dog and the girl have the daddy's shoes .
INV:	the children are trying to wash the dog .
CHI:	the girl is running .
CHI:	&um him [^ ew:he] [^ epronoun] 0is [^ ev] <raking> [/?] raking the
INV:	the dog ate some of the cake .
CHI:	<&um mom> [/?] the mom 0is [^ ev] digging [^ eu] .
INV:	and what's going to happen next ?
INV:	tell me one more thing about the picture .
INV:	the dog is in front of the bus .
INV:	tell me one more thing about the picture .
CHI:	her [^ ew:she] [^ epronoun] 0is [^ ev] driving [^ eu] .
INV:	what else is happening in this picture ?
INV:	and the cat is stuck up in the tree .
INV:	the boys are throwing snowballs .
INV:	what's happening in the picture ?
CHI:	&uh [^ earg] taking the dog [^ eu] .
CHI:	the dog <splash> [/?] splash [^ ev] [^ earg] [^ eu] .
CHI:	0 .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	the children are taking the donuts from the bag .
