participant	content
CHI:	the mommy 0is trying cut something [^ ns] .
CHI:	and the boy a donut because xxx +/.
CHI:	<and> [<] he's trying to rake [^ ns] .
CHI:	the boy 0is [^ ev] trying to wash he's [^ ew:his] [^ epronoun] bike
CHI:	because [^ econj] [^ other] <&h> [/?] her's [: she's] [* s:r:gc]
INV:	good job .
INV:	wait .
CHI:	the fire engine's coming to save the cat [^ ns] .
CHI:	the boy 0is crying [^ ns] .
INV:	the water is spilling all over the floor .
INV:	wait wait .
CHI:	<the he &n he needta> [/?] that's he's [^ ew:his] [^ epronoun]
INV:	the girl trying to what ?
CHI:	<and these> [/?] and the girl is making a snowman .
CHI:	the boy has this tie .
INV:	what's happening in the picture ?
INV:	what is going to happen next ?
INV:	what is going to happen next ?
INV:	what is going to happen next ?
INV:	her's tired .
CHI:	<her the> [/?] the sisters [^ ew:sister] [^ emorph] is really <tire
CHI:	okay [^ ns] .
INV:	say that again .
CHI:	because the boy's old .
INV:	look the boys are fighting .
INV:	what is going to happen next ?
CHI:	and <then> [/?] then the girl, her [^ ew:she] [^ epronoun] want
INV:	the dog says woof because what ?
CHI:	the girl's <sharing> [/?] sharing the donut because <her> [/?] the
INV:	what is going to happen next ?
INV:	tell me one more thing about this story .
INV:	it xxx +...
CHI:	&uh the girl say [^ ev] “dada” [^ eu] .
CHI:	because <there> [/?] there xxx on their sand because he want it
INV:	<okay> [<] .
CHI:	the fire engine's coming to save the cat .
CHI:	<they &dro the the> [/?] the doggy tries 0to [^ emorph] eat the
CHI:	<and> [/?] her [^ ew:she] [^ epronoun] is <up in> [/?] up in the
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the story .
INV:	<good job> [<] .
INV:	the mom is driving and what ?
CHI:	<and the> [/?] and the girl has he's [^ ew:his] [^ epronoun] hat
INV:	alrighty .
CHI:	the daddy 0is [^ ev] trying 0to [^ emorph] put some toast in there
CHI:	and he's trying to rake [^ earg] [^ eu] .
CHI:	the girl want [* m:03s] her cat [^ ns] .
CHI:	&um the girl's all wet <because [^ ew]> [>] [^ econj] [^ other]
CHI:	the girl wants her cat .
