participant	content
CHI:	<&uh it's playing> [/?] they 0are [^ ev] playing [^ eu] .
INV:	now I'll start the start the story .
INV:	you're doing very good .
CHI:	yes [^ ns] .
INV:	good job .
CHI:	uhhuh [^ ns] .
INV:	what ?
CHI:	yes [^ ns] .
INV:	now I'll start the start the story .
INV:	what else is happening in the picture ?
INV:	and you finish it .
INV:	the kitty cat's on the tree .
CHI:	she's tired [^ ns] .
INV:	the mommy's what ?
CHI:	the kittycat's on the tree [^ ns] .
INV:	walking what ?
CHI:	yes [^ ns] .
INV:	what else is happening in this picture ?
INV:	you don't know ?
INV:	they put it on the snowman ?
INV:	tell me one more thing about the story .
CHI:	that [^ ns] .
INV:	what's happening in the picture ?
INV:	what ?
INV:	okay, good .
INV:	what ?
INV:	it's a Dunkin_donut one, okay good .
INV:	you don't know ?
INV:	they're pulling it, very good .
INV:	the dog is in front of the bus .
INV:	say it louder .
CHI:	0 .
CHI:	daddy's back there .
CHI:	and the water 0is [^ ev] on the floor [^ eu] .
INV:	the girl is still in her pajamas .
INV:	you don't know ?
INV:	they're all what ?
CHI:	the dogs [^ ew:dog] [^ emorph] get out the door .
CHI:	sitting down in the car [^ ns] .
CHI:	the daddy's back there [^ ns] .
INV:	what's happening in the picture ?
CHI:	yes [^ ns] .
INV:	now I'll start the start the story .
CHI:	I don't know [^ ns] .
INV:	okay very good job .
CHI:	she's tired .
CHI:	who 0is gonna get the cat [^ ns] ?
CHI:	that is out of the sandbox [^ ns] .
CHI:	they come out the doggy [^ other] [^ eu] .
INV:	you don't know ?
CHI:	they're back in the water .
INV:	tell me one more thing about the story .
INV:	the boys are fighting .
CHI:	what 0are them [^ ew:they] doing [^ ns] ?
INV:	you needta tell me nice and loud .
INV:	what ?
INV:	the boy is trying to get the cookies and then xxx +...
CHI:	he 0is walking down the stairs [^ ns] .
INV:	say it again nice and loud .
INV:	he jumped away ?
INV:	okay .
INV:	what ?
CHI:	it break [^ ns] .
INV:	what's happening in the picture ?
CHI:	it 0is snowing [^ ns] .
INV:	what happened ?
INV:	and then what happens in the story ?
INV:	okay, good .
CHI:	<the girl go> [<] in there [^ ns] .
CHI:	she gets these out 0of [^ emorph] the car [^ eu] .
INV:	they're walking down the stairs, very good .
CHI:	they 0are playing [^ ns] .
INV:	tell me one more thing about the picture .
CHI:	they're back in the water [^ ns] .
INV:	oh_no, the bubbles spilled and then xxx +...
CHI:	&um they're pulling it .
INV:	you needta tell me loud .
INV:	and you finish it .
INV:	tell me something else about the picture .
CHI:	<the boy they had> [/?] they put it <on> [/?] on the snowman .
CHI:	the girl is holding the shopping cart .
CHI:	doing this [^ ns] .
INV:	that is out of the sandbox, okay good .
INV:	what is happening in the picture ?
INV:	and what else is happening in this picture ?
INV:	and you finish it .
INV:	what else is happening in the picture ?
INV:	okay, like this ?
INV:	what else is happening in the picture ?
INV:	and tell me one more thing about the story .
CHI:	down the stairs [^ ns] .
CHI:	he's pulling and pulling and pulling [^ earg] [^ eu] .
INV:	what else is happening in the picture ?
INV:	and tell me one more thing about the story .
CHI:	yes [^ ns] .
INV:	okay, she's tired, very good .
INV:	they're throwing snowballs ?
CHI:	jumping in the leafs [^ ns] .
INV:	and you finish it .
CHI:	them [^ ew:they] [^ epronoun] 0are [^ ev] cooking [^ eu] .
CHI:	uhhuh [^ ns] .
CHI:	mhm [^ ns] .
INV:	she is holding other scissors .
CHI:	uhhuh [^ ns] .
INV:	I can't hear you .
INV:	what's happening in the picture ?
INV:	and you finish it .
CHI:	and xxx +...
CHI:	them [^ ns] .
CHI:	xxx .
CHI:	what 0are them [^ ew:they] doing [^ ns] ?
INV:	what happened ?
INV:	they're gonna get the cat ?
INV:	tell me one more thing about the picture .
CHI:	yes [^ ns] .
INV:	what ?
CHI:	them [^ ew:they] [^ epronoun] jumped away [^ eu] .
INV:	<what> [<] ?
INV:	and then what happens in the story ?
INV:	what ?
CHI:	yes [^ ns] .
CHI:	&uh xxx +...
INV:	the girl what ?
INV:	there's a tree at the car ?
INV:	oh very good .
CHI:	<the girl is on> [/?] the kittycat 0is [^ ev] on the tree [^ eu] .
CHI:	and the xxx down .
INV:	what else is happening in the picture ?
INV:	now I'll start the start the story .
INV:	the children are taking the donuts from the bag and then xxx +...
INV:	and you finish it .
INV:	what's happening in the picture ?
CHI:	the kid's looking at the doggy .
INV:	I don't know .
INV:	the boy is doing that ?
INV:	the dog ate some of the cake .
INV:	what ?
INV:	I can't hear you .
CHI:	I don't know [^ ns] .
CHI:	a tree at the car [^ ns] .
CHI:	yeah [^ ns] .
INV:	they look in the mirror ?
INV:	it what ?
INV:	the children see the cat .
INV:	that's a good question .
CHI:	yes [^ ns] .
CHI:	this [^ ns] .
CHI:	yes [^ ns] .
CHI:	the mom is spilling milk there .
INV:	you don't know, okay .
INV:	the boy is taking his grandma's scissors and then xxx +...
CHI:	yes [^ ns] .
INV:	pulling the doggy, very good .
CHI:	the sofa [^ ns] .
CHI:	cleaning up [^ ns] .
INV:	tell me one more thing about the story .
INV:	she has another one right there .
INV:	what's happening in the picture ?
INV:	the dog is in front of the bus .
CHI:	what happened [^ ns] ?
CHI:	<the dog's> [/?] the mom xxx +...
INV:	come here .
CHI:	0 .
CHI:	they look at the mirror .
CHI:	they wanted more bubbles [^ ns] .
CHI:	it's a Dunkin_donut one [^ ns] .
CHI:	he 0is [^ ev] walking <(.)> [>] down the stairs [^ eu] .
INV:	can you tell me one more thing about the story ?
INV:	okay, that's okay .
INV:	what's happening in the picture ?
INV:	and you finish it .
INV:	the little girl is still in her pajamas and then xxx +...
INV:	now I'll start the start the story .
INV:	what ?
CHI:	<why is the cat> [/?] what is the cat doing [^ ns] ?
INV:	what's happening in the picture ?
CHI:	&um the mom is cleaning up .
INV:	they're what the water ?
CHI:	xxx .
CHI:	yes [^ ns] .
CHI:	them [^ ew:they] [^ epronoun] is [^ ew:are] [^ ev] doing this
INV:	and what else is happening in the picture ?
INV:	okay good and tell me one more thing about <the story> [>] .
CHI:	they 0are playing [^ ns] .
INV:	the mom is putting milk in there, very good .
INV:	you tell me .
CHI:	yes [^ ns] .
INV:	tell me louder .
CHI:	they 0are [^ ev] sitting down in 0the [^ emorph] car [^ eu] .
CHI:	jump in the leaves [^ ns] .
INV:	now I'll start the start the story .
INV:	what in the car ?
INV:	okay .
INV:	the girl is holding the shopping cart ?
INV:	who's gonna get the cat ?
INV:	the girl is doing this, right ?
INV:	what's happening in the picture ?
INV:	them what ?
INV:	tell me again .
CHI:	they 0are [^ ev] going shopping [^ eu] .
CHI:	they're back in the water [^ ns] .
INV:	can you tell me one more thing about the story ?
INV:	and you finish it .
CHI:	he's holding the girl .
INV:	you don't know ?
INV:	oh_no, the doggy ate some of the cake and then xxx +...
CHI:	and the sand is out 0of [^ emorph] the sandbox [^ eu] .
CHI:	hold the girl [^ ns] .
INV:	fall down ?
CHI:	fall out [^ ns] .
INV:	okay, what else is happening in the picture ?
INV:	they're holding the shoes ?
CHI:	them [^ ew:they] [^ epronoun] get water [^ eu] .
INV:	it's snowing ?
CHI:	yes [^ ns] .
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	[^ earg] pulling a doggy [^ eu] .
INV:	what ?
INV:	there's a doggy, okay good .
CHI:	uhhuh [^ ns] .
INV:	you don't know, okay .
INV:	they're doing what ?
INV:	okay .
INV:	now I'll start the start the story .
INV:	the mom is what ?
INV:	cooking, very good .
INV:	it break ?
INV:	oh gosh .
INV:	what are they doing ?
INV:	just tell me anything else about the picture .
CHI:	it's Dunkin_donut one [^ eu] .
INV:	okay, now I'll start the start the story .
INV:	they're going shopping, good .
INV:	now I'll start the start the story .
INV:	the oatmeal ?
INV:	the what ?
CHI:	yes [^ ns] .
CHI:	no, it 0is [^ ev] sitting down [^ eu] .
CHI:	he jumped away .
CHI:	they boy 0is [^ ev] doing [% CHI mimed crawling] this [^ eu] .
CHI:	&um the bus xxx .
CHI:	uhhuh [^ ns] .
INV:	what else is happening in the picture ?
CHI:	they put it on 0the snowman [^ ns] .
CHI:	what 0are them [^ ew:they] doing [^ ns] ?
INV:	just tell something about the picture .
CHI:	these [^ ns] .
INV:	okay good .
CHI:	they wanted more [^ ns] .
INV:	can you say it loud ?
CHI:	they're back in the water [^ ns] .
CHI:	<they> [<] hadta get them .
CHI:	I don't know [^ ns] .
INV:	the bike right there, okay good .
CHI:	&um they're xxx .
INV:	alright, good .
INV:	him hold the girl ?
INV:	tell me anything else about the picture .
INV:	what's happening in the picture ?
INV:	and you finish it .
INV:	and then what happens in the story ?
CHI:	the girl jumped in the leafs .
INV:	okay .
INV:	what is happening in the picture ?
CHI:	they're all gonna fall down .
INV:	you don't know ?
CHI:	yes [^ ns] .
CHI:	<and he will> [<] get hurt .
INV:	the daddy in the mirror, okay .
INV:	okay .
INV:	cleaning up, okay good .
INV:	okay and tell me one more thing about the story .
INV:	and you finish it .
INV:	okay, good .
CHI:	yes [^ ns] .
CHI:	they 0are [^ ev] walking down the stairs [^ eu] .
CHI:	putting the milk in there [^ ns] .
INV:	I can't hear you when you're on the floor .
INV:	what happened to him ?
INV:	what more ?
CHI:	putting milk in there [^ ns] .
INV:	okay .
INV:	what ?
INV:	them ?
INV:	yes she is .
INV:	okay, now I'll start the start the story .
INV:	you don't know ?
CHI:	and he will get hurt [^ ns] .
CHI:	yeah [^ ns] .
CHI:	they eated [^ ew:ate] [^ ev] donuts [^ eu] .
INV:	what else is happening <in the picture> [>] ?
INV:	he will get hurt ?
INV:	the daddy's back there, okay good .
INV:	they eat it all up, okay .
INV:	can you say it louder ?
INV:	just tell me anything else about the picture .
INV:	I wanna hear them .
CHI:	going 0to fall down [^ ns] .
CHI:	somebody's gonna <eat> [/?] eat .
INV:	and you finish it .
INV:	get the what out the car ?
CHI:	they got two .
CHI:	they look in the mirror [^ ns] .
CHI:	and didn't xxx .
CHI:	[^ earg] wanted more [^ eu] .
INV:	what ?
INV:	what happened ?
INV:	the boys are throwing snowballs and then xxx +...
CHI:	fall down [^ ns] .
INV:	okay, good .
INV:	they're already ?
CHI:	it break [^ ev] [^ eu] .
CHI:	xxx a present xxx [^ ns] .
INV:	what about this ?
INV:	tell me louder .
INV:	and the bus can't move and then xxx +...
INV:	okay very good and tell me one more thing about the story .
INV:	okay .
CHI:	<this [^ ns]> [<] .
INV:	the dog and the girl have daddy's shoes and then xxx +...
INV:	the dog came out what ?
CHI:	the birthday [^ frag] [^ eu] .
INV:	very good .
INV:	can you tell me one more thing <about> [>] the story ?
INV:	okay good and tell me one more thing about the story .
INV:	they what it on the snowman ?
INV:	they're sitting down ?
CHI:	the oatmeal [^ ns] .
INV:	I don't know .
INV:	why don't you tell me .
INV:	and you finish it .
CHI:	xxx .
INV:	okay, with her hands .
INV:	and you finish it .
INV:	can you say it louder, please ?
INV:	what ?
INV:	yeah, he's crawling on the floor .
INV:	and tell me one more thing about the picture .
CHI:	the bike 0is [^ ev] right there [^ eu] .
CHI:	the daddy looks 0in [^ emorph] the mirror [^ eu] .
INV:	good and tell me one more thing about the story .
INV:	come here .
INV:	what ?
INV:	what ?
INV:	what ?
CHI:	him [^ ew:he] hold the girl [^ ns] .
INV:	come back .
INV:	now I'll start the start the story .
INV:	I don't know .
INV:	okay .
INV:	they raked the leaves into a big pile and then xxx +...
INV:	the tree ?
CHI:	the girl go [^ ev] in there [^ eu] .
CHI:	what happen right there [^ ns] ?
CHI:	&um [^ earg] giving the present 0to [^ emorph] him [^ eu] .
INV:	what ?
INV:	tell me something .
INV:	what do you think the cat is doing ?
INV:	I can't understand you .
CHI:	I don't know [^ ns] .
INV:	the birthday, okay good .
CHI:	xxx .
INV:	now I'll start the start the story .
INV:	you needta tell me <very loudly> [>] .
INV:	just tell me something else about the picture .
INV:	what else is happening in the picture ?
CHI:	who would get them [^ ns] ?
INV:	what ?
CHI:	yes, them [^ ew:they] [^ epronoun] get the cat up there [^ eu] .
INV:	that's what you said ?
INV:	say that again .
INV:	what ?
INV:	now I'll start the start the story .
INV:	pulling and pulling and pulling .
INV:	they're going to eat ?
CHI:	the daddy's holding that thing .
CHI:	&um yes [^ ns] .
INV:	okay, good .
INV:	now I'll start the start the story .
CHI:	it 0is sitting down [^ ns] .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	they 0are sitting down in 0the car [^ ns] .
INV:	okay good .
INV:	what's falling down ?
INV:	you needta tell me loud .
INV:	okay good .
CHI:	he get [^ ev] a doggy [^ eu] .
INV:	okay very good .
INV:	the dog came out of the sofa ?
CHI:	what happened [^ ns] ?
INV:	the bath in the water ?
INV:	she's sitting in the pile .
CHI:	yes [^ ns] .
CHI:	they put it on the snowman [^ ns] .
CHI:	<&um the boy hold the &t the tie> [/?] the boy 0is [^ ev] holding
CHI:	yes [^ ns] .
INV:	I can't hear you .
INV:	what ?
INV:	the girl xxx +...
INV:	and you finish it .
INV:	the water on the floor ?
INV:	and what else is happening in the picture ?
INV:	and tell me one more thing about the story .
CHI:	yes [^ ns] .
