participant	content
INV:	what else is happening in the picture ?
CHI:	mhm [^ ns] .
INV:	room in the paper ?
CHI:	xxx .
INV:	what is happening in the picture ?
CHI:	no, here [^ ns] .
INV:	okay alright .
INV:	okay good .
INV:	now I'll start the start the story .
INV:	and you finish it .
CHI:	bang the table [^ ns] &=bangs:table .
CHI:	he just bang [/] bang the table &=bang:table [^ ns] .
CHI:	<he they're throwing (.)> [/?] he 0is [^ ev] just throwing [^ earg]
INV:	and tell me one more thing about the story .
INV:	okay good .
INV:	what else is happening in the picture ?
INV:	okay .
INV:	he wants to go xxx +...
INV:	eat the cake and the candles ?
INV:	the boy is taking his grandma's scissors and then xxx +...
CHI:	<just end> [/?] [^ earg] just end [^ ev] [^ eu] .
INV:	okay good .
INV:	he just bang on the table ?
INV:	okay alright .
CHI:	xxx in the sky [^ ns] .
INV:	what else is happening in the picture ?
CHI:	he just run [^ ev] all around [^ eu] .
CHI:	mhm [^ ns] .
INV:	and you finish it .
CHI:	and somebody 0is [^ ev] in the bath [^ ev] .
CHI:	yeah [^ ns] .
INV:	okay .
CHI:	he runs 0to [^ emorph] stop [^ earg] [^ eu] .
INV:	in the carpet ?
CHI:	they're stopping and pulling [^ earg] [^ eu] .
INV:	I can't hear you .
CHI:	[^ earg] can't go anywhere [^ eu] .
INV:	and tell me one more thing about the story .
CHI:	he cleaned it .
INV:	he's picking up, okay .
INV:	she's picking all the fruit ?
INV:	okay .
INV:	they're just cleaning ?
CHI:	all around [^ ns] .
INV:	okay good job .
INV:	what is happening in the picture ?
CHI:	he [* m:0's] just mad at what he do [^ ns] .
INV:	and you finish it .
INV:	I can't hear you ?
INV:	and you finish it .
INV:	okay .
INV:	he pull that with that ?
INV:	okay .
INV:	okay .
INV:	okay .
INV:	run and come in back ?
INV:	back to front ?
INV:	he's what ?
CHI:	yeah, one up [^ ns] .
INV:	okay and can you tell me one more thing about the story ?
CHI:	he on they [^ ns] .
CHI:	and there and there [^ ns] .
CHI:	and &uh [^ earg] throw something [^ eu] .
CHI:	<and the &c> [/?] then the car is moving away .
CHI:	over the bottom [^ ns] .
INV:	and you finish it .
INV:	what else is happening in the picture ?
INV:	what is happening in the picture ?
INV:	very good, that's right .
CHI:	there's no nothing [^ other] [^ eu] .
CHI:	mhm [^ ns] .
INV:	okay good .
CHI:	passover [^ ns] .
INV:	okay, what did you say ?
INV:	okay alright .
INV:	what else is happening in the picture ?
CHI:	yeah [^ ns] .
INV:	I need you to tell me nice and loud .
INV:	and tell me one more thing about the story .
INV:	now I'll start the start the story .
CHI:	he throw [^ ev] the snowballs and clean [^ ev] <it> [/?] the
