participant	content
CHI:	<&uh he's> [/?] he's gonna do something .
CHI:	her hands [^ ns] .
CHI:	&uh she spilled the water .
CHI:	&uh the man is driving <the the &s the &s the the> [/?] the school
INV:	and tell me one more thing about the picture .
CHI:	<he's giving it> [/?] he's giving it to his daddy .
CHI:	&uh he's holding the doll .
INV:	okay, she's dumping it in the bowl, okay .
CHI:	a truck is coming .
CHI:	<&uh they're gon they're &g> [/?] they're gonna do something .
INV:	and what is going to happen next ?
CHI:	&uh she's &uh &uh the dog's gonna do something .
INV:	and what's going to happen next ?
INV:	and what's going to happen next ?
CHI:	he got the shoe .
CHI:	<&uh &sh> [/?] she's gonna do something [^ ns] .
CHI:	&uh she's gonna do something [^ ns] .
INV:	just tell me one more thing about the picture .
CHI:	she's gonna fall down .
CHI:	she's getting the cookie .
INV:	okay .
CHI:	&uh that &uh that wall have [^ ew:has] [^ ev] flowers on it [^ eu]
INV:	tell me one more thing about the picture .
INV:	and then what will happen in just a little bit while ?
INV:	tell me one more thing about this picture .
INV:	tell me one more thing about this picture .
INV:	she's running, okay .
CHI:	she's holding some paper .
CHI:	but she's [^ ew:she] have [^ ev] her hands in her shoes [^ eu] .
INV:	and what is going to happen next ?
CHI:	he's holding the book .
CHI:	&uh &uh she's falling on him .
INV:	just tell me what you see in the picture .
INV:	what's happening in the picture ?
CHI:	he spilled that .
CHI:	he got one on his cheek .
INV:	and what's happening in the picture ?
CHI:	<that> [/?] that bucket spilled .
INV:	what's happening in the picture ?
INV:	so then they are making a snowman .
INV:	tell me one more thing about the picture .
CHI:	there's a wagon .
CHI:	because she's washing <the> [>] water with her hands [^ other]
CHI:	<he> [/?] he's xxx to the xxx of the sandwich .
INV:	what's happening in this picture ?
CHI:	xxx .
INV:	okay .
INV:	and then what's going to happen next ?
INV:	tell me one more thing about this picture .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the picture .
CHI:	&uh they're pulling the dog .
INV:	tell me one more thing about the picture .
CHI:	<&uh she's> [/?] she's pushing a cart .
CHI:	she's crying .
INV:	so what is going to happen next ?
INV:	just tell me what you see in this picture .
CHI:	because they already got cheeks .
CHI:	with her hands [^ ns] .
CHI:	he's taking it away from her .
INV:	what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	&uh she's &uh she's gonna do something .
INV:	what else is happening in this picture ?
CHI:	but she's driving .
INV:	and then what will happen in just a little bit while ?
CHI:	they're brooming [^ ew] [^ elex] [^ eu] .
CHI:	&uh she's running .
CHI:	<she she> [/?] she's trying to get her down .
CHI:	<and> [/?] the eyes xxx +...
CHI:	and <she's> [/?] she's &uh dumping it in the bowl .
INV:	and what else is happening in this picture ?
INV:	so what is going to happen next ?
INV:	what's happening in the picture ?
INV:	what's happening in this picture ?
CHI:	&uh they're <coming> [>] in sorry again [^ other] [^ eu] .
CHI:	yeah [^ ns] .
CHI:	the dog is spilling the water .
INV:	okay, what else is happening in this picture ?
INV:	okay, it is going to snow tonight .
CHI:	&uh she's throwing some snowballs .
INV:	tell me one more thing about the picture .
CHI:	they forgot the eyes and nose and the mouth .
INV:	and what is going to happen next ?
CHI:	&uh but she's sitting .
INV:	<okay> [<] .
CHI:	she's gonna do something [^ ns] .
CHI:	because she's going to give her daddy a hug .
INV:	what else is happening in the picture ?
INV:	okay, she is trying to get her down .
CHI:	they're gonna broke [^ ew:break] [^ emorph] it [^ eu] .
CHI:	&uh the boy is looking at her .
INV:	tell me one more thing about the picture .
INV:	what's happening in this picture ?
CHI:	she's running out the door .
CHI:	and she wants to go to sleep .
INV:	what's happening in this picture ?
CHI:	<and> [/?] and the cheeks xxx +...
INV:	what's happening in the picture ?
CHI:	they're coming .
CHI:	and there's a pot right there .
CHI:	she's getting an orange .
CHI:	she's yawning .
INV:	what else is happening in the picture ?
INV:	<okay> [<] .
INV:	and what else is happening in this picture ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the picture .
INV:	what's happening in this picture ?
