participant	content
INV:	now I'll start the start the story .
CHI:	and the boy wants him back .
INV:	and you finish .
CHI:	the boy and the girl looked at him .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
CHI:	what [^ ns] ?
CHI:	and he wants all the water .
CHI:	&uh her's [: she's] [*] blowing the bubbles [^ eu] .
INV:	and the bus can't move and then xxx +...
CHI:	they eat it .
INV:	now I'll start the start the story .
INV:	what else is happening in this picture ?
INV:	a cake on the floor .
CHI:	<they're they're &uh> [/?] they're fighting [^ ns] .
CHI:	he run [^ ev] out of his bath [^ eu] .
CHI:	her's [: she's] [*] driving the car [^ eu] .
CHI:	&uh you start the picture [^ ns] .
CHI:	they falled [^ ew:fell] [^ ev] in [^ earg] [^ eu] .
INV:	now I'll start the start the story .
CHI:	the dad's making toast .
INV:	the little girl is still in her pajamas .
INV:	and then xxx +...
INV:	tell me what's happening in the picture .
INV:	say that again ?
CHI:	and xxx .
INV:	and you finish it .
CHI:	and he's gonna fall off the chair .
CHI:	and the mom spilled the water in the tap because it was too fast .
CHI:	he's taking the snow [^ earg] [^ eu] .
INV:	he's gonna fall of the chair .
INV:	just tell me one more thing about the story .
CHI:	her was tired [^ ns] .
INV:	and then xxx +...
CHI:	the boy found it .
CHI:	there is a bruise .
CHI:	he came down .
CHI:	he's putting the leafs in there .
INV:	he wants all the water .
INV:	and you finish .
CHI:	<I think &um> [/?] her's [: she's] [*] knocking <the> [/?] them
CHI:	they want 0det donut [^ emorph] [^ eu] .
INV:	now I'll start the start the story .
CHI:	he stopped .
CHI:	then he went away .
INV:	the dog and the girl have the daddy's shoes and then xxx +...
INV:	and then what happens ?
CHI:	the girl's shoe came off .
INV:	tell me one more thing about the story .
CHI:	&um the cat is stuck on the tree .
INV:	tell me one more thing about the story .
CHI:	&um the dolly's behind the daddy .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
INV:	what else is happening in the picture ?
INV:	the dog ate the cake and then xxx +...
CHI:	you tell me [^ ns] .
INV:	and you finish it .
CHI:	they wanted it .
INV:	now I'll start the start the story .
INV:	what else is happening in this picture ?
INV:	now I'll start the start the story .
INV:	he has one of those too .
INV:	nice and loud .
CHI:	and the boys wanna throw balls at each other .
INV:	the cat is stuck in the tree and then xxx +...
CHI:	that one didn't .
INV:	nice and loud, I can't hear you when you whisper .
INV:	and you finish .
INV:	now I'll start the start the story .
INV:	the children see the cat .
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
CHI:	then they tried to pull him back <&uh> [>] from the bus .
CHI:	they xxx .
INV:	tell me one more thing about the story .
CHI:	can you say it again [^ ns] ?
INV:	and what else is happening in this picture ?
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
INV:	the boy is taking his grandma's scissors .
CHI:	<that> [<] one has the donut .
INV:	what's happening in the picture ?
CHI:	you start [^ ns] .
INV:	you tell me .
INV:	can you say that nice and loud ?
INV:	and you finish .
CHI:	that boy's crawling and that one .
CHI:	he was under the sofa .
CHI:	&uh the dog wants to go on the bus .
CHI:	all the bubblebath spilled .
INV:	what &e xxx +/.
INV:	what else is happening in this picture ?
INV:	and what else is happening in this picture ?
CHI:	and then [% CHI whispers] xxx +...
CHI:	<her's> [/?] the daddy is dressing his things [^ other] [^ eu] .
INV:	tell me one more thing about the story .
CHI:	<her [^ ew:she] is> [/?] << I don't know the xxx> [/?]> [/?] her
INV:	and here comes the mom and then xxx +...
INV:	what else is happening in this picture ?
CHI:	&um .
CHI:	her [^ ew:she] [^ epronoun] holded [^ ew:held] [^ ev] it dropped
CHI:	he went over 0to [^ emorph] the dog [^ eu] .
INV:	nice and loud for me, okay ?
CHI:	<he's make> [/?] they're making a snowman [^ ns] .
INV:	and you finish it .
CHI:	<the> [/?] the boy has a yellow shirt on .
INV:	and then xxx +...
INV:	tell me one more thing about the story .
CHI:	&uh a cake 0is [^ ev] on the floor [^ eu] .
INV:	now I'll start the start the story .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
CHI:	that one did .
INV:	and you finish it .
CHI:	they did .
INV:	what's happening in the picture ?
CHI:	he wants the bucket .
CHI:	he's has [^ ev] one of those too [^ eu] .
INV:	came down .
INV:	and what else is happening in this picture ?
INV:	the children are taking the donuts from the bag .
INV:	the boys are fighting .
INV:	and you finish it .
CHI:	you say it [^ ns] .
INV:	what else is happening in <this picture> [>] ?
INV:	what's happening in the picture ?
INV:	now I'll start the start the story .
INV:	and then what happens in the story ?
INV:	he's putting the leaves in there .
CHI:	what did he do [^ ns] ?
CHI:	&uh the girl has shoes on her hands .
INV:	<okay, good job> [<] .
INV:	now tell me something about this picture .
INV:	now I'll start the start the story .
CHI:	&uh her [^ ew:she] [^ epronoun] is washing plates [^ eu] .
CHI:	they messed up it [^ other] [^ eu] .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the story .
INV:	tell me one more thing about the story .
CHI:	&um they want it <in> [/?] to not go .
INV:	and you finish it .
CHI:	&um the footprints is [^ ew:are] [^ ev] on there .
CHI:	&um the floor was yellow .
INV:	the daddy's hiding a doll behind his back and then xxx +...
INV:	what's happening in the picture ?
INV:	tell me one more thing about the story .
CHI:	and the boy took &um the bubbles xxx [% baby brother crying] xxx
INV:	they knocked the boxes off the shelf and then xxx +...
INV:	and you finish it .
CHI:	her [^ ew:she] [^ epronoun] is <tired> [/?] tired [^ eu] .
INV:	what else is happening in this picture ?
INV:	now I'll start the start the story .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the story .
CHI:	they're fighting 0over the bucket [^ ns] .
INV:	the boy is trying to get the cookies and then xxx +...
CHI:	he's gonna get broken [^ elexical] [^ eu] .
INV:	what else is happening in this picture ?
INV:	and what else is happening in this picture ?
INV:	they raked the leaves into a big pile and then xxx +...
INV:	just tell something about the picture .
INV:	tell me one more thing about the picture .
INV:	what's happening in the picture ?
CHI:	her's [: she's] [*] tired [^ eu] .
INV:	what's happening in the picture ?
CHI:	you say it [^ ns] .
INV:	tell me one more thing about the story .
INV:	and you finish .
CHI:	&um he cut his hand .
INV:	and you finish it .
INV:	say that nice and loud .
INV:	and you finish .
CHI:	&uh they wanna get all the food .
INV:	the cat can't get down .
INV:	what else is happening in this picture ?
CHI:	her's tired [^ ns] !
CHI:	her [^ ew:she] [^ epronoun] says stop fighting [^ eu] .
CHI:	the windows and the trees not [^ frag] [^ eu] .
CHI:	no, you finish it [^ ns] .
CHI:	they came in .
CHI:	&uh they wanted to eat .
INV:	what's happening in the picture ?
INV:	now I'll start the start the story .
CHI:	they're fighting 0over [^ emorph] the bucket [^ eu] .
INV:	now I'll start the start the story .
INV:	what's happening in the picture ?
CHI:	&uh they xxx on the chair from that xxx .
INV:	the boys are throwing snowballs and then xxx +...
INV:	the children are trying to wash the dog and then xxx +...
INV:	her what ?
CHI:	her [^ ew:she] [^ epronoun] says stop to them [^ eu] .
INV:	the boy is taking his grandma's scissors .
INV:	just tell something about the picture .
INV:	mhm, the &c xxx +/.
INV:	okay, now I'll start the start the story .
CHI:	<her like &um> [/?] the dog 0is [^ ev] running out of the bath
INV:	the dog is in front of the bus .
CHI:	they are making a snowman .
CHI:	can you say what happens [^ ns] ?
INV:	oh_no, the bubbles spilled and then xxx +...
INV:	the boy is taking the grandma's scissors and then xxx +...
CHI:	he can't get down .
CHI:	he got one .
CHI:	they came in [^ ns] !
CHI:	&uh he's making toast .
