participant	content
CHI:	there is a bruise .
INV:	what else is happening in the picture ?
INV:	now I'll start the start the story .
INV:	what's happening in the picture ?
INV:	what's happening in the picture ?
INV:	and what else is happening in this picture ?
INV:	what's happening in the picture ?
CHI:	her was tired [^ ns] .
INV:	tell me one more thing about the picture .
INV:	what else is happening in this picture ?
CHI:	he got one .
INV:	he's gonna fall of the chair .
INV:	and you finish it .
CHI:	&uh her [^ ew:she] [^ epronoun] is washing plates [^ eu] .
INV:	and you finish it .
INV:	the children are trying to wash the dog and then xxx +...
CHI:	he went over 0to [^ emorph] the dog [^ eu] .
INV:	they knocked the boxes off the shelf and then xxx +...
CHI:	and the boys wanna throw balls at each other .
CHI:	the boy found it .
INV:	what else is happening in this picture ?
CHI:	he's taking the snow [^ earg] [^ eu] .
INV:	and then xxx +...
CHI:	her [^ ew:she] [^ epronoun] holded [^ ew:held] [^ ev] it dropped
CHI:	<&uh &um it> [/?] and he taked [^ ew:took] [^ ev] it away from the
CHI:	he's has [^ ev] one of those too [^ eu] .
INV:	and you finish it .
INV:	say that nice and loud .
CHI:	all the bubblebath spilled .
INV:	tell me what's happening in the picture .
CHI:	her's [: she's] [*] tired [^ eu] .
CHI:	he came down .
CHI:	then they tried to pull him back <&uh> [>] from the bus .
CHI:	you say it [^ ns] .
INV:	what's happening in the picture ?
INV:	now I'll start the start the story .
CHI:	her [^ ew:she] [^ epronoun] says stop fighting [^ eu] .
CHI:	the windows and the trees not [^ frag] [^ eu] .
CHI:	her [^ ew:she] [^ epronoun] says stop to them [^ eu] .
CHI:	they falled [^ ew:fell] [^ ev] in [^ earg] [^ eu] .
INV:	and you finish it .
INV:	what's happening in the picture ?
INV:	tell me one more thing about the story .
CHI:	he's gonna get broken [^ elexical] [^ eu] .
CHI:	&um .
INV:	now I'll start the start the story .
CHI:	that one did .
INV:	tell me one more thing about the story .
INV:	and you finish it .
INV:	tell me one more thing about the story .
INV:	and the bus can't move and then xxx +...
INV:	now I'll start the start the story .
CHI:	&um the floor was yellow .
INV:	and then xxx +...
CHI:	that one didn't .
INV:	the boys are fighting .
CHI:	&uh they wanna get all the food .
INV:	oh_no, the bubbles spilled and then xxx +...
CHI:	and then [% CHI whispers] xxx +...
INV:	what else is happening in <this picture> [>] ?
CHI:	he stopped .
INV:	and what else is happening in this picture ?
CHI:	can you say what happens [^ ns] ?
CHI:	&uh the girl has shoes on her hands .
