participant	content
INV:	what's happening in the picture ?
CHI:	<the dog the> [/?] the dog is scared .
INV:	the dog is what ?
CHI:	scared [^ ns] .
INV:	okay .
INV:	what else is happening in this picture ?
CHI:	him [^ ew:he] [^ epronoun] (.) doesn't wanna <&w> [/?] walk [^ eu]
INV:	walk ?
CHI:	yeah [^ ns] .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	oh_no, the dog ate some of the cake and then xxx +...
CHI:	him [^ ew:he] [^ epronoun] 0is [^ ev] scared [^ eu] .
INV:	him's dead ?
CHI:	<&y> [/?] no, him 0is scared [^ ns] .
INV:	stared ?
CHI:	no, dead [^ ns] .
INV:	okay .
INV:	tell me one more thing about the story .
CHI:	0 .
INV:	tell me anything else about the picture .
CHI:	&um him 0is scared [^ ns] .
INV:	there ?
CHI:	him [^ ew:he] [^ epronoun] eat [^ ev] the cake [^ eu] .
INV:	him eat the cake, okay .
INV:	what's happening in the picture ?
CHI:	<the &si needs to> [/?] the sister needs to go to bed .
INV:	okay, what else is happening in this picture ?
CHI:	<&um I don't> [/?] I don't wanna do that one [^ ns] .
INV:	what else is happening in the picture .
CHI:	<&um his his> [/?] I don't wanna do that one [^ ns] .
INV:	okay, so I'll start the start the story .
INV:	and you finish it, okay ?
INV:	the little girl is still in her pajamas and then xxx +...
CHI:	she gets dressed .
INV:	she gets dressed ?
CHI:	yeah [^ ns] .
INV:	tell me one more thing about the story .
CHI:	<she needta &bru> [/?] she need [^ ev] to brush her teeth [^ eu] .
INV:	what's happening in the picture ?
CHI:	the kitty cat 0is [^ ev] sad [^ eu] .
INV:	her kitty cat sad ?
INV:	what else is happening in this picture ?
CHI:	<&sh> [/?] she's on the tree .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children see the cat .
INV:	the cat is stuck up in the tree and then xxx +...
CHI:	she wants to get down .
INV:	she wants to get down, okay .
INV:	tell me one more thing about the story .
CHI:	she really wants to get down [^ ns] .
INV:	she really wants to get down, okay .
INV:	what's happening in the picture ?
CHI:	the boy's cleaning .
INV:	okay .
INV:	what else is happening in this picture ?
CHI:	<the mom's> [/?] the mom's doing [^ earg] [^ eu] .
INV:	throwing ?
CHI:	no, driving [^ ns] .
INV:	oh, driving, okay .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	they rake the leaves into a big pile and then xxx +...
CHI:	her dog barks .
INV:	tell me one more thing about the story .
CHI:	<&hi &do> [/?] the mom's [^ ew:mom] (.) [^ ev] drives [^ earg]
INV:	what's happening in the picture ?
CHI:	the boys wanna go and hit [^ emorph] 0det boy [^ eu] .
INV:	they wanna what ?
CHI:	play with the sandbox [^ ns] .
INV:	what else is happening in this picture ?
CHI:	&um him [^ ew:he] [^ epronoun] really wants to <&pla his sand> [/?]
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boys are fighting .
INV:	and here comes the mom and then xxx +...
CHI:	<&s stop> [/?] [% imperative said by mom to boys] “stop fighting” .
INV:	tell me one more thing about the story .
CHI:	<&um &t him> [/?] she want [^ ev] the boys 0to [^ emorph] stop
INV:	him what ?
CHI:	<&h> [/?] the mom want [* m:03s] them 0to stop [^ ns] .
INV:	what's happening in the picture ?
CHI:	the dog is going out of the grass .
INV:	out of his dress ?
CHI:	no, <&h &h> [/?] grass [^ ns] .
INV:	grass ?
CHI:	yeah [^ ns] .
INV:	what else is happening in this picture ?
CHI:	the boy want [^ ev] to put water in there [^ eu] .
INV:	wanna put water in there, okay .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the children are trying to wash the dog and then xxx +...
CHI:	&um him [^ ew:he] [^ epronoun] run [^ ew:ran] [^ ev] away .
INV:	tell me one more thing about the story .
CHI:	the boy is washing <&um &h> [/?] the dog .
INV:	her dog ?
CHI:	yeah [^ ns] .
INV:	what's happening in the picture ?
CHI:	&um the dog is (.) eating his shoe .
INV:	what else is happening in this picture ?
CHI:	&um the boy wants to give him [^ ew:his] [^ epronoun] tie <&f> [/?]
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the dog and the girl have the daddy's shoes and then xxx +...
CHI:	&um the dog wants to eat it .
INV:	tell me one more thing about the story .
CHI:	&um the dog is playing with the dad's shoes .
INV:	what's happening in the picture ?
CHI:	&um she <&w &d> [/?] runned [^ ew:ran] [^ ev] [^ eu] .
INV:	she what ?
CHI:	runned [^ ns] .
INV:	she runs, okay .
INV:	what else is happening in this picture ?
CHI:	&um she lifted her [% possible omission of “arms”] to the daddy
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	<she lifted him> [/?] she lifted <&e> [/?] her [^ ns] .
INV:	she lifted her ?
CHI:	no, she lifted her [^ ns] .
INV:	she lifted ?
CHI:	yeah [^ ns] .
INV:	tell me one more thing about the story .
CHI:	she lifted her [^ ns] .
INV:	what's happening in the picture ?
CHI:	<the boys> [/?] the boys are eating a donut .
INV:	what else is happening in this picture ?
CHI:	&um the mommy's driving .
