participant	content
CHI:	&um them [^ ew:they] [^ epronoun] are throwing snowballs [^ eu] .
INV:	and you finish it .
INV:	what else is happening in this picture ?
CHI:	<&y> [/?] no, him 0is scared [^ ns] .
INV:	now I'll start the start the story .
CHI:	no, dead [^ ns] .
INV:	what else is happening in the picture ?
INV:	now I'll start the start the story .
INV:	and the bus can't move and then xxx +...
INV:	and you finish it .
CHI:	&um them [^ ew:they] [^ epronoun] are buying food [^ eu] .
INV:	the children see the cat .
INV:	now I'll start the start the story .
INV:	and you finish it .
INV:	the boys are throwing snowballs and then xxx +...
CHI:	yeah [^ ns] .
INV:	now I'll start the start the story .
CHI:	<&um &h> [/?] the mom's trying 0to [^ emorph] steal the doggy
CHI:	&um him [^ ew:he] [^ epronoun] really wants to <&pla his sand> [/?]
INV:	tell me one more thing about the story .
CHI:	no, <&h &h> [/?] grass [^ ns] .
INV:	the water is spilling all over the floor and then xxx +...
CHI:	&um the mommy's driving .
CHI:	and his sister didn't want him to fall .
CHI:	him [^ ew:he] [^ epronoun] eat [^ ev] the cake [^ eu] .
INV:	what's happening in the picture ?
CHI:	no, she lifted her [^ ns] .
INV:	she gets dressed ?
CHI:	&um she needs to (.) clean it up .
CHI:	the dog is going out of the grass .
CHI:	scared [^ ns] .
INV:	picking ?
INV:	what's happening in the picture ?
CHI:	the boy is washing <&um &h> [/?] the dog .
INV:	what else is happening in the picture .
INV:	what else is happening in this picture ?
CHI:	&um him [^ ew:he] [^ epronoun] run [^ ew:ran] [^ ev] away .
INV:	tell me one more thing about the story .
CHI:	she wants to get down .
INV:	she what ?
CHI:	yeah [^ ns] .
INV:	what else is happening in this picture ?
INV:	and you finish it .
INV:	and you finish it .
INV:	now I'll start the start the story .
INV:	tell me one more thing about the story .
CHI:	yeah [^ ns] .
INV:	what's happening in the picture ?
CHI:	them [^ ew:they] [^ epronoun] are blowing bubbles [^ eu] .
INV:	and you finish it .
CHI:	&um she <&w &d> [/?] runned [^ ew:ran] [^ ev] [^ eu] .
INV:	now I'll start the start the story .
CHI:	she gets dressed .
INV:	tell me one more thing about the story .
CHI:	she want [^ ev] to turn it up [^ eu] .
CHI:	<&um &h the boys are> [/?] they're picking a donut .
INV:	and you finish it .
CHI:	&um she lifted her [% possible omission of “arms”] to the daddy
INV:	what's happening in the picture ?
INV:	him eat the cake, okay .
INV:	now I'll start the start the story .
INV:	what else is happening in this picture ?
INV:	and you finish it .
INV:	her dog ?
CHI:	<&um the> [/?] the dog <is> [/?] don't [^ ew:doesn't] [^ ev] want
INV:	now I'll start the start the story .
INV:	wanna put water in there, okay .
CHI:	<the mom's> [/?] the mom's doing [^ earg] [^ eu] .
CHI:	&um the dog wants to eat it .
INV:	tell me one more thing about the story .
INV:	she really wants to get down, okay .
INV:	now I'll start the start the story .
CHI:	<&h> [/?] the mom want [* m:03s] them 0to stop [^ ns] .
INV:	she wants to get down, okay .
INV:	okay .
INV:	and you finish it .
INV:	and here comes the mom and then xxx +...
CHI:	&um the dog is (.) eating his shoe .
CHI:	rollerskating [^ ns] .
CHI:	yeah [^ ns] .
INV:	what else is happening in this picture ?
INV:	tell me one more thing about the story .
INV:	tell me one more thing about the story .
INV:	the children are trying to wash the dog and then xxx +...
INV:	what's happening in the picture ?
CHI:	<the dog the> [/?] the dog is scared .
INV:	what's happening in the picture ?
INV:	and you finish it .
INV:	running ?
INV:	him's dead ?
INV:	they rake the leaves into a big pile and then xxx +...
CHI:	her dog barks .
INV:	to read ?
INV:	and you finish it .
INV:	what's happening in the picture ?
CHI:	<&s stop> [/?] [% imperative said by mom to boys] “stop fighting” .
