participant	content
CHI:	I don't know [^ ns] .
CHI:	<&uh he's> [/?] he's holding that .
CHI:	<she &p> [/?] they're pulling that .
INV:	just tell me anything else about the picture .
INV:	what else is happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	the dog and the girl have the daddy's shoes .
INV:	just tell me anything else about the picture .
INV:	they're cleaning up, good job !
INV:	they're running, very good .
INV:	and you finish it .
CHI:	&uh she 0is [^ ev] falling [^ eu] .
INV:	now I'll start the story .
INV:	and then what happens in the story ?
CHI:	<&uh the mommy's> [/?] the mommy's mad .
INV:	and then what happens ?
INV:	and you finish it .
INV:	what else is happening in this picture ?
CHI:	the kitty cat's stuck .
CHI:	<she she's &r> [/?] he's eating .
INV:	tell me one more thing about the story .
CHI:	<he> [/?] they fall down .
INV:	and here comes the mom and then xxx +...
CHI:	I don't know [^ ns] .
INV:	just tell something about the picture .
CHI:	I don't know [^ ns] .
INV:	the little girl is still in her pajamas and then xxx +...
CHI:	<she's> [/?] she's pushing [^ earg] [^ eu] .
INV:	what's happening in the picture ?
INV:	the dog is in front of the bus .
INV:	and you finish it .
INV:	and you finish it .
INV:	the boys are throwing snowballs and then xxx +...
INV:	the children see the cat .
CHI:	the mommy's pulling that .
INV:	and the bus can't move and then xxx +...
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	what's happening in the picture ?
CHI:	<&uh the mom> [/?] the daddy's pulling her .
INV:	just tell something about the picture .
CHI:	I don't know [^ ns] .
INV:	look, what's happening ?
INV:	now I'll start the start the story .
CHI:	she's running .
INV:	what else is happening in the picture ?
INV:	the daddy is hiding a doll behind his back and then xxx +...
INV:	they're standing, good job !
INV:	the kitty cat's stuck ?
INV:	now I'll start the start the story .
INV:	he spilled that, very good .
CHI:	&uh I don't know [^ ns] .
CHI:	&uh they're making 0a [^ emorph] snowman [^ eu] .
INV:	he's tired ?
INV:	the children are taking the donuts and then xxx +...
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
INV:	and you finish it .
INV:	tell me one more thing about the story .
CHI:	they jump .
CHI:	<<xxx> [/?]> [>] .
CHI:	there's snow .
INV:	now I'll start the start the story .
INV:	<they're> [<] throwing balls .
INV:	oh_no, the dog ate some of the cake and then xxx +...
CHI:	&uh they're standing .
CHI:	I don't know [^ ns] .
INV:	he's cutting that, very good .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
CHI:	<&uh he> [/?] she had the shoes [^ ns] .
CHI:	the dad's putting [^ earg] on the snowman [^ eu] .
INV:	what else is happening in the picture ?
INV:	and then what happens ?
INV:	she falling, very good .
INV:	here look, just tell me anything else about the picture .
INV:	what's happening in the picture ?
CHI:	<they're throwing> [/?] they're <&f> [/?] throwing &um balls .
CHI:	&uh the daddy got xxx +...
INV:	and you finish it .
INV:	the dog ate some of the cake .
INV:	tell me one more thing about the story .
INV:	and you finish it .
INV:	she's running, very good .
INV:	they're crawling, very good .
INV:	look, the water is spilling all over the floor .
INV:	it's the last one .
CHI:	their shovels are down .
INV:	what's happening in the picture ?
INV:	the mommy's mad, very good .
INV:	what's happening in the picture ?
INV:	just tell me anything else about the picture .
INV:	she's pushing, very good .
CHI:	she's laughing .
CHI:	her mommy's running .
INV:	the water's spilling all over the floor and then xxx +...
CHI:	I wanna go home [^ ns] .
INV:	she's laughing, good job .
INV:	okay, can you tell me one more thing about the story ?
INV:	what's happening in the picture ?
CHI:	I don't wanna [^ ns] .
CHI:	they're running .
INV:	he's holding that, good job .
INV:	she's telling her mommy, very good .
CHI:	<&uh she's the> [/?] he's not letting her do it .
INV:	there's mud, good job .
INV:	now I'll start the start the story .
INV:	tell me one more thing about the story .
INV:	tell me one more thing about the story .
CHI:	I don't know [^ ns] .
INV:	the light is on .
INV:	what else is happening in this picture ?
INV:	good job .
INV:	she has the shoes, good job !
