participant	content
INV:	what's happening in the picture ?
INV:	and you finish it .
INV:	their mommy stepped on it, very good .
INV:	her mommy's washing the dishes, very good .
INV:	look at the picture .
CHI:	<she's> [/?] she's pushing [^ earg] [^ eu] .
INV:	the little girl is still in her pajamas and then xxx +...
INV:	now I'll start the start the story .
INV:	and you finish it .
CHI:	<I don't &kn they> [/?] they're playing with the bucket .
CHI:	I wanna go home [^ ns] .
INV:	what's happening in the picture ?
INV:	just tell me anything else about the picture .
INV:	her mommy's running, very good !
INV:	the children see the cat .
INV:	I wanna hear what happens at the end of the story .
INV:	look, the water is spilling all over the floor .
INV:	look, what's happening ?
INV:	and you finish it .
CHI:	I don't know [^ ns] .
INV:	he's holding that, good job .
CHI:	her mommy's running .
CHI:	he's barking .
INV:	now I'll start the start the story .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
CHI:	the dad's putting [^ earg] on the snowman [^ eu] .
INV:	tell me one more thing about the story .
CHI:	he's sitting there .
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	now I'll start the start the story .
INV:	what else is happening in the picture ?
INV:	what's happening in the picture ?
INV:	tell me one more thing about the story .
INV:	he's holding that, good job !
INV:	the dog and the girl have the daddy's shoes and then xxx +...
INV:	he's eating, good job !
CHI:	<she she> [/?] she's telling her mommy [^ earg] [^ eu] .
INV:	and you finish it .
CHI:	<and he> [/?] and he got a cookie .
INV:	and you finish it .
CHI:	<<xxx> [/?]> [>] .
CHI:	&uh I don't know [^ ns] .
INV:	and you finish it .
INV:	tell me one more thing about the story .
INV:	the children are taking the donuts and then xxx +...
INV:	now I'll start the start the story .
INV:	she's running, very good .
CHI:	I don't wanna [^ ns] .
INV:	tell me one more thing about the story .
INV:	and then we're done .
INV:	the daddy is hiding a doll behind his back and then xxx +...
INV:	just tell something about the picture .
CHI:	<she &p> [/?] they're pulling that .
INV:	here look, just tell me anything else about the picture .
INV:	and then what happens in the story ?
INV:	she's telling her mommy, very good .
INV:	and you finish it .
INV:	now I'll start the story .
CHI:	I don't know [^ ns] .
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
INV:	okay .
INV:	just tell something about the picture .
INV:	and then what happens in the story ?
INV:	the mommy's pulling that, very good .
CHI:	&uh they're making 0a [^ emorph] snowman [^ eu] .
INV:	what else is happening in the picture ?
CHI:	he's raking [^ earg] [^ eu] .
INV:	her sister blowing bubbles, very good .
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
INV:	the children are trying to wash the dog .
CHI:	but I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	what else is happening in the picture ?
CHI:	I don't know [^ ns] .
CHI:	he's holding that .
INV:	now I'll start the start the story .
CHI:	he's cutting that .
INV:	they're pulling that, good job !
CHI:	she's running .
INV:	what else is happening in the picture ?
CHI:	<I she's &hol> [/?] he's tired .
CHI:	<&uh he> [/?] she had the shoes [^ ns] .
INV:	he's cutting that, very good .
CHI:	<&uh she's the> [/?] he's not letting her do it .
CHI:	the kitty cat's stuck .
INV:	they raked the leaves into a big pile and then xxx +...
CHI:	I don't know [^ ns] .
INV:	good job .
INV:	and tell me one more thing about the story .
CHI:	<they're throwing> [/?] they're <&f> [/?] throwing &um balls .
INV:	their shovels are down, good job !
CHI:	<she she's &r> [/?] he's eating .
INV:	he's driving, good job .
INV:	just tell me anything else about the picture .
INV:	just tell me anything else about the picture .
CHI:	<&sh &sh he> [/?] she's driving .
INV:	the dog and the girl have the daddy's shoes .
CHI:	<she's her> [/?] their mommy stepped on it .
INV:	what's happening in the picture ?
INV:	she's laughing, good job .
CHI:	he spilled that .
CHI:	<&uh the mom> [/?] the daddy's pulling her .
INV:	there's birthday cake, good job .
INV:	just tell me anything else about the picture .
MOT:	[^ whispering] what happens xxx the daddy ?
CHI:	there's mud .
CHI:	she 0is [^ ev] putting on the hat and he [^ other] 0v the shoes
CHI:	&uh there's black .
INV:	tell me one more thing about the story .
INV:	pulling her leg up, very good .
INV:	what's happening in the picture ?
INV:	they're running, very good .
INV:	tell me one more thing .
CHI:	<&uh her> [/?] her daddy 0is [^ ev] holding her present [^ eu] .
INV:	what's happening in the picture ?
INV:	now I'll start the start the story .
INV:	he spilled that, very good .
CHI:	there's 0a [^ emorph] birthday cake [^ eu] .
INV:	the boy's taking his grandma's scissors and then xxx +...
INV:	okay, can you tell me one more thing about the story ?
CHI:	I don't know [^ ns] .
INV:	they fall down, very good .
INV:	she falling, very good .
CHI:	&uh her mommy's washing the dishes .
MOT:	[^ whispering] tell me something .
INV:	good job .
INV:	he's sitting there, very good .
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	and here comes the mom and then xxx +...
CHI:	&uh they're standing .
INV:	the cat is stuck up in the tree and then xxx +...
INV:	what's happening in the picture ?
INV:	and you finish it .
INV:	the dog ate some of the cake .
CHI:	the girl is <her> [/?] pulling her leg up .
INV:	and then what happens ?
INV:	what else is happening in this picture ?
CHI:	I don't know [^ ns] .
CHI:	their shovels are down .
CHI:	<she's going> [/?] she's jumping over here .
CHI:	they're running .
INV:	and you finish it .
INV:	and then what happens on the story ?
CHI:	she's picking one .
INV:	and you finish it .
INV:	what else is happening in this picture ?
INV:	tell me anything else about the picture .
INV:	it's the last one .
CHI:	<&uh the mommy's> [/?] the mommy's mad .
CHI:	her sister 0is [^ ev] blowing bubbles [^ eu] .
INV:	they're making a snowman, very good .
INV:	and you finish it .
INV:	he's holding it, good job .
INV:	her daddy holding her present, very good .
INV:	what's happening in the picture ?
CHI:	&uh the daddy got xxx +...
INV:	the boys are fighting .
CHI:	momma's making dinner .
CHI:	the mommy's pulling that .
CHI:	the light is on .
INV:	tell me one more thing about the story .
CHI:	&uh she 0is [^ ev] falling [^ eu] .
CHI:	I don't know [^ ns] .
INV:	the children are trying to wash the dog and then xxx +...
INV:	what else is happening in the picture ?
CHI:	they're coming in .
CHI:	there's snow .
INV:	he's not letting her do it ?
INV:	and then what happens in the story ?
INV:	there's mud, good job .
INV:	what else is happening in the picture ?
INV:	and then what happens in the story ?
INV:	the boy is taking his grandma's scissors .
INV:	tell me one more thing about the story .
CHI:	he's holding it .
INV:	the daddy eating, good job .
INV:	now I'll start the start the story .
INV:	the mommy's mad, very good .
CHI:	I don't know [^ ns] .
INV:	the kitty cat's stuck ?
INV:	now I'll start the start the story .
INV:	and you finish it .
CHI:	they're crawling .
INV:	and tell me one more thing about the story .
INV:	now I'll start the start the story .
INV:	what else is happening in this picture ?
INV:	they're crawling, very good .
INV:	what's happening in the picture ?
INV:	what else is happening in this picture ?
MOT:	what do you think is gonna happen next ?
CHI:	I don't know [^ ns] .
INV:	and you finish it .
INV:	the cat is stuck up in the tree .
INV:	the water's spilling all over the floor and then xxx +...
CHI:	I don't know [^ ns] .
INV:	and the bus can't move and then xxx +...
INV:	they're coming in, good job .
INV:	good job !
INV:	good job .
INV:	now I'll start the start the story .
INV:	she has the shoes, good job !
CHI:	<he> [/?] they fall down .
INV:	what else is happening in the picture ?
CHI:	<&uh, they're> [/?] he's sitting there .
INV:	good job .
INV:	and then what happens ?
CHI:	<they are they're they're> [/?] they're cleaning up .
INV:	she's pushing, very good .
CHI:	the daddy 0is [^ ev] eating [^ eu] .
INV:	what's happening in the picture ?
INV:	the daddy's pulling her, very good .
INV:	the light is on .
CHI:	&uh I don't know [^ ns] .
INV:	and you finish it .
INV:	he got a cookie, yeah .
