participant	content
CHI:	I don't know [^ ns] .
CHI:	I wanna go home [^ ns] .
CHI:	<and he> [/?] and he got a cookie .
INV:	and you finish it .
CHI:	he's raking [^ earg] [^ eu] .
INV:	there's mud, good job .
CHI:	<they are they're they're> [/?] they're cleaning up .
INV:	what else is happening in this picture ?
INV:	the daddy's pulling her, very good .
CHI:	&uh I don't know [^ ns] .
INV:	what else is happening in the picture ?
CHI:	<&uh, they're> [/?] he's sitting there .
CHI:	I don't know [^ ns] .
INV:	and you finish it .
CHI:	<&uh the mom> [/?] the daddy's pulling her .
INV:	what else is happening in this picture ?
CHI:	&uh there's black .
CHI:	he's holding that .
INV:	what's happening in the picture ?
INV:	good job .
INV:	her sister blowing bubbles, very good .
MOT:	[^ whispering] what happens xxx the daddy ?
INV:	the light is on .
INV:	he's cutting that, very good .
INV:	now I'll start the story .
INV:	he spilled that, very good .
INV:	she's telling her mommy, very good .
INV:	the children are trying to wash the dog .
INV:	they're crawling, very good .
INV:	tell me one more thing about the story .
INV:	just tell something about the picture .
CHI:	but I don't know [^ ns] .
INV:	the mommy's pulling that, very good .
INV:	the dad's putting on the snowman, very good .
INV:	now I'll start the start the story .
INV:	momma's making dinner, good job .
CHI:	I don't know [^ ns] .
CHI:	he's holding it .
INV:	and here comes the mom and then xxx +...
INV:	he's eating, good job !
INV:	oh_no, the dog ate some of the cake and then xxx +...
INV:	what else is happening in this picture ?
INV:	he's not letting her do it ?
INV:	their shovels are down, good job !
INV:	they're running, very good .
INV:	and you finish it .
INV:	tell me one more thing about the story .
INV:	they're cleaning up, good job !
CHI:	<&uh he's> [/?] he's holding that .
CHI:	they're running .
CHI:	<she's> [/?] she's pushing [^ earg] [^ eu] .
CHI:	<she's going> [/?] she's jumping over here .
INV:	tell me one more thing .
INV:	the children are trying to wash the dog and then xxx +...
CHI:	&uh they're standing .
INV:	and then what happens ?
INV:	they raked the leaves into a big pile and then xxx +...
INV:	what's happening in the picture ?
INV:	I wanna hear what happens at the end of the story .
CHI:	they're coming in .
INV:	just tell me anything else about the picture .
INV:	he's falling .
CHI:	there's mud .
INV:	what's happening in the picture ?
INV:	he's sitting there, very good .
INV:	and you finish it .
CHI:	I don't know [^ ns] .
INV:	what's happening in the picture ?
INV:	the children see the cat .
INV:	what else is happening in this picture ?
INV:	good job .
INV:	now I'll start the start the story .
INV:	the boys are throwing snowballs and then xxx +...
INV:	just tell me anything else about the picture .
INV:	what's happening in the picture ?
CHI:	&uh I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	now I'll start the start the story .
INV:	and you finish it .
CHI:	I don't know [^ ns] .
INV:	now I'll start the start the story .
INV:	what else is happening in the picture ?
CHI:	they jump .
INV:	tell me one more thing about the story .
INV:	and then what happens on the story ?
INV:	okay .
CHI:	I don't know [^ ns] .
CHI:	<&uh he> [/?] she had the shoes [^ ns] .
INV:	they're pulling that, good job !
CHI:	she's running .
INV:	what else is happening in this picture ?
INV:	and tell me one more thing about the story .
CHI:	I don't know [^ ns] .
CHI:	he's cutting that .
INV:	he's holding that, good job .
INV:	tell me one more thing about the story .
INV:	and you finish it .
INV:	he's holding that, good job !
INV:	the mommy's mad, very good .
INV:	they're making a snowman, very good .
INV:	and you finish it .
INV:	look, the water is spilling all over the floor .
INV:	now I'll start the start the story .
INV:	what else is happening in the picture ?
CHI:	her sister 0is [^ ev] blowing bubbles [^ eu] .
INV:	here look, just tell me anything else about the picture .
INV:	just tell me anything else about the picture .
INV:	the children are taking the donuts and then xxx +...
INV:	oh_no, the bubbles spilled and then xxx +...
INV:	what's happening in the picture ?
CHI:	I don't know [^ ns] .
INV:	he's holding it, good job .
INV:	and you finish it .
INV:	there's birthday cake, good job .
CHI:	<he> [/?] they fall down .
INV:	the dog and the girl have the daddy's shoes .
CHI:	&uh the daddy got xxx +...
INV:	tell me one more thing about the story .
INV:	okay, can you tell me one more thing about the story ?
CHI:	I don't know [^ ns] .
CHI:	the mommy's pulling that .
INV:	now I'll start the start the story .
INV:	she falling, very good .
INV:	and then we're done .
CHI:	there's snow .
CHI:	<&uh her> [/?] her daddy 0is [^ ev] holding her present [^ eu] .
INV:	now I'll start the start the story .
CHI:	he spilled that .
INV:	now I'll start the start the story .
INV:	and tell me one more thing about the story .
INV:	the boys are fighting .
INV:	the dog is in front of the bus .
CHI:	she 0is [^ ev] putting on the hat and he [^ other] 0v the shoes
MOT:	what do you think is gonna happen next ?
INV:	just tell something about the picture .
INV:	look, what's happening ?
CHI:	she's laughing .
INV:	and then what happens in the story ?
INV:	the dog and the girl have the daddy's shoes and then xxx +...
INV:	the kitty cat's stuck ?
INV:	and then what happens in the story ?
INV:	and you finish it .
CHI:	&uh they're making 0a [^ emorph] snowman [^ eu] .
INV:	now I'll start the start the story .
CHI:	<she &p> [/?] they're pulling that .
INV:	the cat is stuck up in the tree .
INV:	it's the last one .
INV:	the little girl is still in her pajamas and then xxx +...
CHI:	I don't know [^ ns] .
CHI:	he's falling .
INV:	they fall down, very good .
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	the cat is stuck up in the tree and then xxx +...
INV:	and you finish it .
INV:	now I'll start the start the story .
CHI:	I don't know [^ ns] .
CHI:	the dad's putting [^ earg] on the snowman [^ eu] .
INV:	and you finish it .
CHI:	I don't know [^ ns] .
INV:	and you finish it .
INV:	the daddy eating, good job .
INV:	tell me anything else about the picture .
INV:	tell me one more thing about the story .
INV:	what else is happening in the picture ?
CHI:	<she she's &r> [/?] he's eating .
INV:	good job .
INV:	she has the shoes, good job !
CHI:	their shovels are down .
CHI:	her mommy's running .
INV:	the boy's taking his grandma's scissors and then xxx +...
INV:	they're standing, good job !
CHI:	<she she> [/?] she's telling her mommy [^ earg] [^ eu] .
INV:	tell me one more thing about the story .
INV:	now I'll start the start the story .
INV:	just tell me anything else about the picture .
INV:	and the bus can't move and then xxx +...
INV:	what's happening in the picture ?
INV:	good job !
CHI:	I don't know [^ ns] .
CHI:	I don't know [^ ns] .
INV:	what else is happening in the picture ?
INV:	they're coming in, good job .
CHI:	the light is on .
INV:	tell me one more thing about the story .
INV:	what's happening in the picture ?
