participant	content
INV:	okay, good job .
INV:	now I'll start the start the story .
CHI:	yeah [^ ns] .
INV:	now I'll start the start the story .
CHI:	the kids are on the street .
CHI:	he cried .
INV:	now I'll start the start the story .
CHI:	she got scared .
CHI:	the boy went out <without his chair> [/?] without his fathers
INV:	she got scared, okay .
INV:	okay good job .
INV:	I think maybe the mom isn't very happy about that .
CHI:	<he pushing &hi he> [/?] they're pulling it .
CHI:	<she> [/?] she got her hands all wet .
CHI:	I don't know [^ ns] .
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	now I'll start the start the story .
CHI:	they break [^ ns] .
INV:	that's right .
INV:	tell me one more thing about the story .
CHI:	he try xxx .
INV:	and you finish it .
MOT:	you tell me .
CHI:	the dog, he spilled it .
MOT:	there's a cat in the tree .
INV:	the children are taking the d_v_ds .
CHI:	tell me [^ ns] .
INV:	tell me one more thing about the story .
INV:	just tell me anything else about the picture .
CHI:	tell me [^ ns] .
CHI:	<the mom got he> [/?] his <dad> [/?] dad got mad .
INV:	the dad was doing that .
INV:	and here comes the mom and then xxx +...
INV:	and you finish it .
INV:	the children see the cat .
CHI:	<the door> [/?] the door opened .
INV:	the boy spilled it ?
INV:	tell me one more thing about the story .
INV:	okay good .
CHI:	they break .
INV:	they couldn't get him down .
INV:	and tell me one more thing about the story .
INV:	they almost slipped .
INV:	hm ?
INV:	she took the d_v_d ?
CHI:	I don't know [^ ns] .
CHI:	they're jumping in the leafs .
INV:	good job .
CHI:	they almost slipped .
INV:	and the bus can't move and then xxx +...
INV:	no, you tell me .
INV:	tell me one more thing about the story .
CHI:	these 0are [^ ev] for sneaking [^ eu] .
CHI:	and the boy [^ ns] !
INV:	&=laughs okay good .
CHI:	I don't know [^ ns] .
CHI:	it got all snowy .
CHI:	they're trying to break it .
INV:	eat ?
INV:	the boys are fighting .
INV:	and you finish it .
CHI:	<this> [/?] it spilled .
INV:	okay good .
CHI:	didn't spill it [^ ns] .
INV:	tell me something else about the picture .
INV:	good .
INV:	tell me one more thing about the story .
CHI:	he's scared .
INV:	what else is happening in this picture ?
CHI:	he went under the couch .
CHI:	they gave it back .
CHI:	tell me [^ ns] .
INV:	and you finish it .
INV:	what else is happening in the picture ?
INV:	okay good job .
INV:	okay good .
CHI:	he opened it .
CHI:	she can't eat .
INV:	and tell me one more thing about the story .
INV:	I don't know .
CHI:	<they> [/?] they're walking .
CHI:	yeah [^ ns] .
CHI:	tell me [^ ns] .
INV:	good .
CHI:	he put it on his <&h> [/?] hair .
CHI:	she took the d_v_d .
INV:	that's right .
INV:	he put it on what ?
