participant	content
CHI:	this got ripped [^ ns] .
INV:	he's cutting the toys .
INV:	that's right .
INV:	his dad got mad ?
CHI:	yeah [^ ns] .
CHI:	they try to jump <on> [/?] in it .
CHI:	they started to fall .
CHI:	<this> [/?] it spilled .
INV:	and you finish it .
INV:	alright good .
INV:	what is happening in the picture ?
INV:	okay, we'll try another one later .
INV:	what is happening in the picture ?
INV:	what ?
INV:	now I'll start the start the story .
INV:	and tell me one more thing about the story .
CHI:	the kids are on the street .
INV:	tell me one more thing about the story .
INV:	the children are taking the d_v_ds .
INV:	the boy is taking his grandma's scissors and then xxx +...
INV:	and here comes the mom and then xxx +...
INV:	they raked the leaves into a big pile and then xxx +...
INV:	what is happening in the picture ?
INV:	okay, good .
INV:	now I'll start the start the story .
INV:	okay .
CHI:	they pull [* m:0ed] [^ ev] and stopped him [^ eu] .
CHI:	0the [^ emorph] girls didn't do that [^ eu] .
CHI:	I don't know [^ ns] .
MOT:	there's a lot going on in that picture .
INV:	she took the d_v_d ?
INV:	she's going to bed .
CHI:	<the door> [/?] the door opened .
INV:	and tell me one more thing about the story .
CHI:	she 0is [^ ev] going to bed [^ eu] .
MOT:	you tell me .
INV:	that's right .
INV:	the girl didn't ?
INV:	maybe she doesn't want them to take the d_v_d .
INV:	and you finish it .
INV:	yes, that's right .
CHI:	<the wagon> [/?] they throw the wagon out .
CHI:	<they're> [<] footprints .
INV:	I don't know .
INV:	now I'll start the start the story .
INV:	alright good .
INV:	alright good .
CHI:	the light and the boy [^ ns] .
CHI:	it got all snowy .
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	the boy spilled it ?
CHI:	they're trying to break it .
CHI:	0 .
INV:	can you tell me one more thing about the story .
CHI:	0 .
CHI:	<this> [/?] the dog took the shoes .
CHI:	what [^ ns] ?
CHI:	the mommy's running .
INV:	and you finish it .
INV:	okay .
INV:	what is happening in the picture ?
MOT:	what happens next ?
INV:	alright good job .
CHI:	he put it on his <&h> [/?] hair .
CHI:	the cat went up there .
CHI:	why [^ ns] ?
INV:	and the bus can't move and then xxx +...
INV:	he opened it, good job .
CHI:	<he fell> [/?] he almost fell .
INV:	just tell me anything else about the picture .
INV:	he cried ?
INV:	and then what happens in the story ?
INV:	what is happening in the picture ?
CHI:	<he pushing &hi he> [/?] they're pulling it .
INV:	okay, good job .
INV:	what is happening in the picture ?
INV:	and what else is happening in this picture ?
INV:	okay .
INV:	what else is happening in this picture ?
INV:	just tell me anything else about the picture .
INV:	he put it on what ?
CHI:	he's cutting his toys .
CHI:	tell me [^ ns] .
INV:	that's right .
CHI:	he <&c> [/?] tries to cut it .
CHI:	he cried .
CHI:	break it [^ ns] .
INV:	oh_no, the dog ate some of the cake and then xxx +...
INV:	what else is happening in this picture ?
INV:	what is happening in the picture ?
CHI:	the boy went out <without his chair> [/?] without his fathers
INV:	that's right .
INV:	he ran away .
INV:	and tell me one more thing about the story .
CHI:	and then he went under the light .
MOT:	I don't know .
INV:	that's right .
INV:	what else is happening in the picture ?
INV:	and you finish it .
INV:	that's right .
INV:	and you finish it .
INV:	what is happening in the picture ?
INV:	tell me something else about the picture .
CHI:	the doggy did that .
INV:	alright good job .
INV:	just tell me anything else about the picture .
CHI:	he opened it .
CHI:	his dad got mad [^ ns] .
INV:	okay good .
CHI:	the mom said “byebye” .
CHI:	they throw snow at each other .
INV:	the boys are fighting .
CHI:	he had a tie .
INV:	and tell me one more thing about the story .
INV:	what is happening in the picture ?
INV:	I'll start the story .
INV:	and you finish it .
INV:	okay .
INV:	and tell me one more thing about the story .
CHI:	they almost slipped .
INV:	you don't know, okay .
INV:	okay good .
MOT:	what happens next ?
INV:	tell me something else about the picture .
INV:	okay, good job .
INV:	what is happening in the picture ?
INV:	the cat is stuck up in the tree and then xxx +...
INV:	oh okay .
INV:	okay good .
INV:	that's right .
INV:	now I'll start the start the story .
INV:	okay good .
INV:	the mom slipped ?
INV:	tell me one more thing about the story .
INV:	her arm got ripped ?
CHI:	then that felled [: fell] [*] .
CHI:	tell me [^ ns] .
INV:	what ?
CHI:	I don't know [^ ns] .
INV:	tell me one more thing about the story .
INV:	what else is happening in this picture ?
INV:	and what else is happening in the picture ?
INV:	and you finish it .
INV:	that's right .
CHI:	yeah [^ ns] .
INV:	the children see the cat .
INV:	and tell me one more thing about the story .
INV:	the light and the what ?
CHI:	the dog, he spilled it .
INV:	he tries to cut it, good job .
INV:	now I'll start the start the story .
INV:	okay good .
CHI:	I don't know [^ ns] .
INV:	that's right .
INV:	what ?
INV:	okay .
INV:	what is happening in the picture ?
CHI:	the water spilled .
CHI:	<the mom got he> [/?] his <dad> [/?] dad got mad .
INV:	good .
CHI:	didn't spill it [^ ns] .
CHI:	<she> [/?] she got her hands all wet .
INV:	and tell me one more thing about the story .
INV:	good .
CHI:	I don't know [^ ns] .
INV:	what is happening in the picture ?
INV:	aw, poor kitty .
CHI:	I don't know [^ ns] .
CHI:	what [^ ns] ?
CHI:	the girl didn't eat .
CHI:	yeah [^ ns] .
INV:	now I'll start the start the story .
CHI:	I don't know [^ ns] .
INV:	okay good .
INV:	yes, he did .
CHI:	he try xxx .
INV:	okay good .
CHI:	slip [^ ns] .
INV:	that's right .
INV:	good .
CHI:	the dog was there .
CHI:	he's scared .
INV:	what else is happening in the picture ?
INV:	what else is happening in this picture ?
INV:	okay good .
INV:	I don't know .
INV:	tell me anything else about the picture .
INV:	she can't eat ?
CHI:	they stopped him [^ ns] .
INV:	eat ?
INV:	what else is happening in this picture ?
INV:	what else is happening in this picture ?
INV:	okay .
CHI:	she took the d_v_d .
INV:	they try to what ?
INV:	now I'll start the start the story .
INV:	okay good .
CHI:	can't you tell me [^ ns] ?
INV:	good job .
INV:	the daddy is hiding a doll behind his back .
INV:	what else is happening in this picture ?
INV:	and you finish it .
INV:	and you finish it .
INV:	the boy what ?
INV:	what else is happening in the picture ?
INV:	the little girl is still in her pajamas and then xxx +...
CHI:	tell me [^ ns] .
INV:	and then what happens in the story ?
INV:	now I'll start the start the story .
INV:	they're footprints ?
INV:	good .
CHI:	they had a hat .
INV:	hm ?
INV:	they got all snowy .
CHI:	tell me [^ ns] .
INV:	the dog is in front of the bus .
INV:	and you finish it .
CHI:	yeah [^ ns] .
CHI:	the boy spilled it .
INV:	and you finish it .
INV:	the bubbles spilled and then xxx +...
CHI:	they break [^ ns] .
CHI:	<he leave> [/?] he's almost leaved [^ ew:left] [^ emorph] [^ eu] .
INV:	that's right .
INV:	okay good job .
INV:	good job .
MOT:	what else is happening in that picture ?
INV:	<what> [>] ?
INV:	okay good job .
INV:	you don't know ?
INV:	what is happening in the picture ?
INV:	good job .
CHI:	they break .
INV:	tell me one more thing about the story .
INV:	and you finish it .
INV:	he didn't spill it .
INV:	what else is happening in the picture ?
CHI:	<they> [/?] they're walking .
CHI:	they gave it back .
INV:	what else is happening in this picture ?
CHI:	the dad was doing that .
INV:	and you finish it .
INV:	now I'll start the start the story .
INV:	I want you to make up the story .
INV:	now I'll start the start the story .
INV:	now I'll start the start the story .
INV:	he's scared ?
INV:	now I'll start the start the story .
INV:	and tell me one more thing about the story .
INV:	the dog and the girl have daddy's shoes and then xxx +...
INV:	good job .
MOT:	there's a cat in the tree .
CHI:	she got scared .
INV:	tell me one more thing about the picture .
CHI:	I don't know [^ ns] .
INV:	the daddy is hiding a doll behind his back and then xxx +...
INV:	he's riding the bus .
INV:	good job .
INV:	alright good job .
INV:	okay, good .
CHI:	he went under the couch .
INV:	now I'll start the start the story .
INV:	good .
CHI:	he might cut hisself [^ ew:himself] [^ epronoun] [^ eu] .
INV:	he had a tie .
INV:	and you finish it .
CHI:	these 0are [^ ev] for sneaking [^ eu] .
INV:	the children are trying to wash the dog and then xxx +...
INV:	what is happening in the picture ?
CHI:	the mom slip [^ ew:slipped] [^ ev] [^ eu] .
CHI:	tell me [^ ns] .
CHI:	they're jumping in the leafs .
INV:	now I'll start the start the story .
INV:	they couldn't get him down .
CHI:	yeah [^ ns] .
CHI:	he took the cookies .
INV:	okay good job .
INV:	and you finish it .
CHI:	they got more shoes .
INV:	the children are taking the d_v_ds from the bag and then what
INV:	okay good .
INV:	what else is happening in the picture ?
INV:	what's happening in the picture ?
CHI:	they 0are [^ ev] blowing bubble [* m:0s] [^ emorph] at each child
INV:	they almost slipped .
INV:	what else is happening in this picture ?
INV:	what ?
CHI:	she can't eat .
CHI:	it spill [^ ns] .
INV:	oh_no, she got her hands wet .
CHI:	they're driving their car .
CHI:	the boy didn't spill it .
INV:	she got scared, okay .
INV:	okay, good .
INV:	just tell me anything else about the picture .
INV:	it breaks ?
INV:	good .
INV:	okay very good .
INV:	and you finish it .
CHI:	eat [^ ns] .
INV:	you want me to tell you ?
CHI:	yeah [^ ns] .
CHI:	they couldn't get him down .
INV:	the water is spilling all over the floor and then xxx +...
INV:	now I'll start the start the story .
INV:	they're on the street .
INV:	what ?
CHI:	tell me [^ ns] .
INV:	I think maybe the mom isn't very happy about that .
INV:	no, you tell me .
INV:	&=laughs okay good .
INV:	okay good .
INV:	okay good .
CHI:	her arm got ripped .
INV:	and tell me one more thing about the story .
INV:	alright good .
INV:	alright, good job .
CHI:	<he &d> [/?] he ran away .
INV:	what ?
INV:	the dad was doing that .
INV:	then that fell .
INV:	he may cut himself .
CHI:	can you tell me [^ ns] ?
INV:	that's right, good job .
MOT:	there's a cat in the tree .
CHI:	what one [^ ns] ?
CHI:	<wha> [/?] what another one [^ ns] ?
INV:	he took the cookies .
INV:	you don't know ?
INV:	okay good .
CHI:	and the boy [^ ns] !
INV:	okay .
INV:	the boys are throwing snowballs and then xxx +...
CHI:	I don't know [^ ns] .
INV:	what ?
INV:	tell me one more thing about the story .
INV:	okay good job .
