participant	content
INV:	just tell me anything else about the picture .
INV:	good job .
CHI:	I don't know [^ ns] .
CHI:	they throw snow at each other .
INV:	okay, good job .
INV:	and you finish it .
INV:	that's right .
INV:	I don't know .
CHI:	he's cutting his toys .
INV:	he put it on what ?
INV:	the dog and the girl have daddy's shoes and then xxx +...
INV:	that's right .
CHI:	the cat went up there .
INV:	what else is happening in the picture ?
INV:	okay .
CHI:	then that felled [: fell] [*] .
INV:	alright good job .
CHI:	he put it on his <&h> [/?] hair .
INV:	alright, good job .
INV:	it breaks ?
INV:	the mom slipped ?
CHI:	<he fell> [/?] he almost fell .
CHI:	0the [^ emorph] girls didn't do that [^ eu] .
INV:	the daddy is hiding a doll behind his back and then xxx +...
CHI:	the mom said “byebye” .
INV:	alright good job .
MOT:	what else is happening in that picture ?
CHI:	<this> [/?] the dog took the shoes .
INV:	no, you tell me .
CHI:	this got ripped [^ ns] .
MOT:	what happens next ?
CHI:	the water spilled .
CHI:	she got scared .
CHI:	<the mom got he> [/?] his <dad> [/?] dad got mad .
INV:	what is happening in the picture ?
INV:	that's right .
MOT:	there's a cat in the tree .
INV:	what ?
INV:	okay good .
CHI:	they almost slipped .
INV:	good .
INV:	and you finish it .
INV:	and tell me one more thing about the story .
CHI:	the dog was there .
CHI:	yeah [^ ns] .
INV:	and you finish it .
INV:	I think maybe the mom isn't very happy about that .
INV:	what ?
MOT:	what happens next ?
CHI:	the boy went out <without his chair> [/?] without his fathers
INV:	okay good .
INV:	now I'll start the start the story .
CHI:	and then he went under the light .
INV:	now I'll start the start the story .
INV:	and tell me one more thing about the story .
CHI:	they're trying to break it .
CHI:	what [^ ns] ?
INV:	tell me one more thing about the story .
INV:	that's right .
INV:	and tell me one more thing about the story .
CHI:	the light and the boy [^ ns] .
CHI:	tell me [^ ns] .
INV:	what else is happening in the picture ?
INV:	and tell me one more thing about the story .
INV:	what else is happening in this picture ?
INV:	you don't know ?
INV:	the dog is in front of the bus .
INV:	the boy spilled it ?
INV:	they're footprints ?
CHI:	she 0is [^ ev] going to bed [^ eu] .
INV:	okay, good job .
INV:	what ?
INV:	that's right .
INV:	hm ?
INV:	okay .
CHI:	they try to jump <on> [/?] in it .
CHI:	they 0are [^ ev] blowing bubble [* m:0s] [^ emorph] at each child
INV:	he tries to cut it, good job .
INV:	what ?
INV:	they got all snowy .
INV:	she took the d_v_d ?
CHI:	the doggy did that .
INV:	yes, he did .
INV:	that's right .
INV:	good job .
INV:	and you finish it .
INV:	she got scared, okay .
CHI:	they started to fall .
INV:	good .
INV:	I want you to make up the story .
CHI:	tell me [^ ns] .
INV:	the children see the cat .
CHI:	they're jumping in the leafs .
INV:	and you finish it .
CHI:	he had a tie .
CHI:	what one [^ ns] ?
CHI:	I don't know [^ ns] .
INV:	what is happening in the picture ?
INV:	and you finish it .
INV:	and you finish it .
CHI:	why [^ ns] ?
INV:	and what else is happening in this picture ?
CHI:	I don't know [^ ns] .
CHI:	break it [^ ns] .
INV:	&=laughs okay good .
INV:	okay good .
INV:	what is happening in the picture ?
INV:	the children are taking the d_v_ds from the bag and then what
INV:	he's cutting the toys .
CHI:	slip [^ ns] .
INV:	and then what happens in the story ?
INV:	that's right .
INV:	what else is happening in this picture ?
INV:	now I'll start the start the story .
CHI:	he <&c> [/?] tries to cut it .
CHI:	they gave it back .
CHI:	he might cut hisself [^ ew:himself] [^ epronoun] [^ eu] .
CHI:	it spill [^ ns] .
INV:	what's happening in the picture ?
INV:	and here comes the mom and then xxx +...
MOT:	there's a cat in the tree .
INV:	now I'll start the start the story .
CHI:	<he leave> [/?] he's almost leaved [^ ew:left] [^ emorph] [^ eu] .
CHI:	the boy spilled it .
INV:	the boy knocked the boxes off the shelf and then xxx +...
INV:	and you finish it .
INV:	now I'll start the start the story .
INV:	what else is happening in the picture ?
INV:	and you finish it .
CHI:	<they're> [<] footprints .
INV:	okay .
INV:	okay .
INV:	and you finish it .
INV:	the boy is taking his grandma's scissors and then xxx +...
INV:	okay good job .
INV:	he's scared ?
INV:	they're on the street .
CHI:	what [^ ns] ?
INV:	what is happening in the picture ?
INV:	alright good .
INV:	okay good job .
INV:	the girl didn't ?
INV:	he may cut himself .
INV:	now I'll start the start the story .
INV:	just tell me anything else about the picture .
INV:	the bubbles spilled and then xxx +...
INV:	okay good .
