participant	content
CHI:	other people will .
MOT:	you are !
MOT:	I had a dress on , so where did I go ?
MOT:	okay .
MOT:	you're just a riot .
MOT:	what are the twists made out_of ?
CHI:	you +/.
MOT:	how old are you gonna be on your next birthday party ?
MOT:	xxx .
CHI:	&-um [/?] .
CHI:	that's a nice sentence .
CHI:	no .
MOT:	yes or no .
CHI:	okay mom .
CHI:	yeah .
MOT:	so , Brett , what did you have for dinner last night ?
MOT:	and <that's> [/?] you know what ?
MOT:	can you tell me +/.
MOT:	jumping one way but what do you hafta give me a chance to do first
MOT:	you got some other presents .
CHI:	yeah .
MOT:	Brett .
MOT:	<we cut> [/?] <we hafta cut> [/?] I'm gonna give you a hint .
MOT:	where do you go in the ferris+wheel that makes you feel scared ?
CHI:	no .
MOT:	do get some new things before you go to school ?
CHI:	on the trees .
MOT:	those are my ears .
CHI:	in the pool .
MOT:	Brett ?
MOT:	what did the ferris+wheel do to me ?
MOT:	p@l r@l [/?] +/.
CHI:	seven .
MOT:	did you ?
MOT:	that's right .
MOT:	what's your mother's name ?
MOT:	but where do we use markers in this house ?
MOT:	what's mommy's name ?
MOT:	is it a vegetable ?
MOT:	you were stingy with the cookies .
MOT:	oh , I know what we can talk about Brett !
CHI:	&-um [/?] cookie , cake .
MOT:	what did you write out yesterday ?
MOT:	p@l r@l [/?] makes what sound ?
MOT:	what does mommy do when she rides in a ferris+wheel ?
MOT:	shortie sound .
CHI:	a rock tumbler .
CHI:	&-um [/?] my shoes .
MOT:	what was on television ?
MOT:	did anybody +/.
CHI:	South_River_Elementary .
MOT:	we hafta cut the tags off of these things before you put them on .
MOT:	yes .
MOT:	Brett , have we talked about that a_lot ?
CHI:	scratch it .
CHI:	&-um [/?] ju [/?] &-um [/?] ten .
MOT:	what am I being ?
MOT:	thank you for fold +/.
CHI:	&-um [/?] food .
MOT:	I wanna see some good looking .
MOT:	sentence .
MOT:	so let's talk about +/.
CHI:	no !
CHI:	no .
MOT:	we just haven't used it yet .
MOT:	what's the name of your new school ?
MOT:	alright .
CHI:	e@l n@l t@l s@l [/?] .
MOT:	well who were they ?
MOT:	<where where> [/?] all you guys went outside and went someplace .
CHI:	there's a fly .
CHI:	I did .
MOT:	but you know what ?
MOT:	I'm busy talking to you now .
CHI:	what mom ?
MOT:	that's true .
CHI:	you're joking !
MOT:	john didn't come , but who did come from school ?
MOT:	no way +/.
MOT:	some of your +/.
MOT:	yeah .
CHI:	those are my arms !
MOT:	Brett , how old were you at your last birthday party ?
MOT:	your knees are pointing the wrong way .
CHI:	this is my nose .
CHI:	work .
MOT:	a fun birthday .
MOT:	oh , would you like me to put chapstick on your lips ?
CHI:	yeah .
MOT:	did they bring the presents ?
CHI:	n@l t@l e@l r@l [/?] .
MOT:	yeah .
MOT:	no , where'd you guys go that made you get +/.
CHI:	and Uncle_Glenn did .
MOT:	thank you .
MOT:	then you became what ?
MOT:	alright .
MOT:	well , because he doesn't work at home .
CHI:	it's my nose silly !
MOT:	what did +/.
MOT:	you know what ?
CHI:	orange and twirl .
CHI:	printer [/?] .
MOT:	go get your hair+brush and brush your teeth .
MOT:	what do I hafta do before I can do Jumping_One_Way_Or_Another ?
MOT:	why are you a stinker ?
CHI:	p@l r@l [/?] , printer .
MOT:	why don't you help me up ?
MOT:	I'm gonna go take my toothbrush and comb my hair .
MOT:	almost finished but let's point the knees in the right place .
CHI:	yeah .
MOT:	that's right .
MOT:	that's nice hand holding .
MOT:	yeah .
CHI:	because it [/?] <i'll> [/?] I'll be scared .
CHI:	&-um [/?] the tumble .
MOT:	but you can have fun swinging .
CHI:	yeah .
MOT:	Brett , do I send you to school in raggedy , ripped , old clothes ?
MOT:	that's right .
CHI:	you'll cry .
MOT:	what is your address ?
CHI:	with a paddles with four blades .
MOT:	okay .
MOT:	&k [/?] kevin [/?] .
MOT:	<he is> [/?] +/.
CHI:	no , why I not do it on the trunk ?
MOT:	that's what you wanna earn ?
CHI:	work .
MOT:	you know what ?
CHI:	and broke them into little pieces .
MOT:	yeah .
CHI:	little teensie works .
MOT:	yeah .
MOT:	but what kind of work do you do on some of the days with Charlene
MOT:	Brett !
CHI:	Charlene .
CHI:	little teensie works .
MOT:	Brett .
CHI:	the pool .
MOT:	yes that's right .
MOT:	I really am .
MOT:	okay .
MOT:	is that where all the cookies went ?
MOT:	okay ?
CHI:	and I had a rock tumbler .
MOT:	yup .
CHI:	Jumping_One_Way_Or_Another .
CHI:	you're not kidding .
MOT:	what kinda rides +/.
CHI:	and they won't stay warm .
MOT:	sound that out .
MOT:	can you tell me first some of the places that you went to this
CHI:	turn the paddle .
MOT:	I scream .
CHI:	no .
CHI:	&-um [/?] .
CHI:	I am stingy !
MOT:	I don't like it either .
MOT:	and what else ?
MOT:	what do you do to your nose when it itches ?
CHI:	other rides .
MOT:	<when do we> [/?] when are we gonna go to the fair ?
MOT:	what happened then ?
MOT:	well , &-um [/?] that's where they're gonna go .
MOT:	you do your work at home .
MOT:	<did you &-um> [/?] <did any> [/?] didn't anybody come to your
MOT:	oh , <who's> [/?] who do you think is so funny ?
CHI:	it tumble all the rocks .
MOT:	what do you do in the boat ?
CHI:	it's not yours .
