participant	content
MOT:	that's not in Newton .
CHI:	scared .
MOT:	and +/.
CHI:	alright .
CHI:	okay .
CHI:	the banana+splits .
CHI:	e@l [/?] !
MOT:	come on down here .
CHI:	three forty five .
MOT:	what time does that say ?
MOT:	&-um [/?] hey , what kind of +/.
CHI:	coat .
MOT:	I don't know where the banana+splits are though .
MOT:	Jack .
CHI:	Frankenberry .
CHI:	to fight [/?] fight .
MOT:	look at the whole thing .
MOT:	and then come back here Jack , okay .
MOT:	okay .
MOT:	Jack , can you write +/.
MOT:	we can look at it together .
MOT:	who else ?
CHI:	Count_Chocula .
MOT:	it's in the town of +/.
CHI:	<you're not scared of count> [/?] .
MOT:	no , you live in Belmont .
MOT:	what else do you wanna do ?
CHI:	Jack watch +/.
CHI:	on thursday .
MOT:	that's right , we'll see you in the morning , muppet movie .
MOT:	look at the whole thing .
MOT:	tell me somebody else besides the banana+splits .
MOT:	okay ?
MOT:	Jack's doing so good writing .
MOT:	what's that number ?
MOT:	<little kids> [/?] .
CHI:	s@l [/?] .
MOT:	do you wanna put some down ?
CHI:	Jack .
CHI:	xxx .
MOT:	daddy .
CHI:	stop the noise .
MOT:	not student .
MOT:	Jack , is [/?] that a commercial you were [/?] just talking about ?
MOT:	what's that say ?
MOT:	let's spell a little .
MOT:	we'll try something +/.
CHI:	watch the muppet movie in a minute .
CHI:	yes .
MOT:	put it down .
CHI:	star search .
MOT:	Jack , sit over here .
CHI:	xxx .
MOT:	what it +/.
MOT:	what does that say ?
MOT:	you did a good one .
CHI:	you got it .
MOT:	come on Jack .
CHI:	bye muppet movie .
MOT:	here .
CHI:	okay .
MOT:	come on over here .
CHI:	xxx movie .
MOT:	no what's that letter ?
MOT:	and his crayons .
MOT:	<where's the> [/?] where's the refrigerator ?
MOT:	who's the teacher ?
MOT:	tell me your class+mates are in school .
MOT:	what's the name of the school ?
CHI:	ten .
MOT:	magic rainbow .
MOT:	yeah .
MOT:	come on over here .
CHI:	muppet movie .
CHI:	did he +/.
MOT:	thank you .
CHI:	learn how to fight .
MOT:	look at these .
MOT:	Jack ?
CHI:	<are you scared of count> [/?] ?
MOT:	too the choo_choo train ?
CHI:	scaredy stiff .
CHI:	<l@l o@l double l@l I@l p@l o , p@l spells lollipop , lollipop ,
MOT:	okay , you wanna put the choo_choo train on the track ?
MOT:	can Jack do that ?
CHI:	okay .
MOT:	do you know what these are right here ?
MOT:	how old are you ?
MOT:	turn it around the other way .
CHI:	and Gaffpool .
MOT:	does Jack wanna look at some pictures in that book with mama .
CHI:	fall .
MOT:	what would Jack like to do ?
MOT:	what song you like to sing ?
MOT:	yeah .
MOT:	ten .
CHI:	Count_Chocula .
CHI:	<you're not scared of count> [/?] .
MOT:	sit over here .
MOT:	would you like to watch that too ?
CHI:	xxx .
MOT:	go this way .
CHI:	broom .
MOT:	no you've got to write it Jack .
MOT:	that's it .
CHI:	broom .
MOT:	I want you to write the word ten .
MOT:	ready .
MOT:	where do you go to school ?
CHI:	v@l [/?] .
CHI:	He_Man .
MOT:	what's his name , Jack ?
CHI:	hm: [/?] .
CHI:	xxx .
CHI:	xxx count .
MOT:	to Baltimore ?
CHI:	see you xxx .
MOT:	come on .
MOT:	you pick one .
CHI:	one thirty .
MOT:	Jack , come on over here .
CHI:	Baltimore .
CHI:	where'd you go ?
CHI:	mister daddy .
CHI:	xxx .
MOT:	yeah and what's one and five mean ?
MOT:	talking commercial talk is +/.
MOT:	put that one together .
MOT:	Jack ?
MOT:	do you know how to spell Newton ?
MOT:	one , two .
MOT:	sit on my lap now , don't walk away .
MOT:	jump .
MOT:	besides the banana+splits .
CHI:	stop .
MOT:	come on over here .
MOT:	does Jack like Kermit ?
CHI:	Jack [/?] Kathy .
MOT:	am [/?] I sitting in one ?
CHI:	did he touch you ?
MOT:	you can run if you want .
MOT:	<but listen> [/?] listen to +/.
MOT:	right there .
CHI:	you win .
CHI:	hehe [/?] .
MOT:	just write ten .
CHI:	needta go to the bath+room .
MOT:	sit .
CHI:	Lynn .
CHI:	stop .
MOT:	what do they do ?
MOT:	chase this man .
MOT:	and hold the book for mama .
MOT:	is [/?] Jack scared ?
CHI:	<one and> [/?] one and five .
MOT:	what's that say ?
MOT:	&-um [/?] what's the name of that pond you go to ?
MOT:	let me see you write the word plant .
MOT:	if we open this up , and +/.
MOT:	Jack .
MOT:	you want me to +/.
MOT:	which one do you wanna do ?
MOT:	the other way , Jack .
CHI:	scared stiff .
MOT:	what's that say ?
MOT:	and give it to me .
MOT:	<we can't> [/?] I don't know where Baltimore is .
MOT:	what's the last letter ?
MOT:	you wanna do it again ?
MOT:	these are letters .
CHI:	sink .
MOT:	chase him .
CHI:	I won .
MOT:	now come on now , stop your squirming around here .
CHI:	Jack watch the muppets invade Manhattan .
MOT:	Jack come on .
MOT:	here .
MOT:	easy .
MOT:	what happened there ?
MOT:	make lines here with them .
MOT:	nine forty five .
MOT:	nice and easy .
MOT:	watch .
MOT:	let me see you write +/.
MOT:	oh , no , he's gonna get me !
MOT:	what's his name ?
MOT:	you watching somebody ?
CHI:	watch the mup [/?] the muppets invade Manhattan in a minute .
MOT:	sit beside me .
MOT:	what's zero mean ?
MOT:	that's your name .
MOT:	okay , we can see that again another day .
MOT:	that's good .
MOT:	okay now , I want you to put this away .
CHI:	scaredy .
MOT:	does Jack know what that is ?
CHI:	<r@l m@l o@l o@l m@l > [/?] .
MOT:	come on , sit up Jack .
MOT:	let me try another one .
MOT:	okay , come on over .
MOT:	one fifteen .
MOT:	what is that ?
CHI:	and don't forget Frankenberry .
CHI:	Ninex .
MOT:	where would you like to go ?
CHI:	train .
CHI:	yeah .
MOT:	Jack .
CHI:	thirty .
CHI:	daddy .
MOT:	easy .
MOT:	did you give him a name yet ?
MOT:	Jack , pick that up for mommy and bring that over .
CHI:	okay .
MOT:	you have a bubble thing don't you ?
MOT:	try to get those together .
MOT:	what about &-um [/?] , come on .
MOT:	now put it together .
MOT:	okay .
MOT:	how do you spell tens ?
MOT:	&-um [/?] how old are you ?
MOT:	alright now I want you to spell that word .
MOT:	hey , what are you doing ?
MOT:	do you know what that is ?
CHI:	scared .
MOT:	Jack ?
MOT:	let's try it again .
CHI:	p@l [/?] .
CHI:	one .
CHI:	Houghton pond .
MOT:	over here .
MOT:	where's Houghton's pond .
MOT:	who are your teachers ?
MOT:	a tough one .
CHI:	pistol .
MOT:	oh , look at that .
CHI:	<n@l e@l w@l t@l o@l n@l> [/?] .
MOT:	no .
CHI:	on monday September seventeen .
MOT:	you're gonna hafta think about it .
MOT:	Tom_and_Jerry don't ride dinosaurs .
MOT:	what's that say ?
MOT:	Jack can you sit up with us and play ?
MOT:	you wanna put this together ?
MOT:	point [/?] point to your nose .
MOT:	oh , you did one !
MOT:	Jack , try to sit .
CHI:	sit down !
CHI:	okay .
MOT:	what's the first letter ?
MOT:	come out_of there .
CHI:	one .
MOT:	thank you .
CHI:	cat .
MOT:	no , what's that number ?
MOT:	come this way .
MOT:	come here .
MOT:	is [/?] Jack scared ?
CHI:	<oh oh> [/?] .
MOT:	where you wanna go ?
MOT:	okay , go ahead .
CHI:	<we're not scared of count> [/?] .
MOT:	Frankenberry .
MOT:	watch .
MOT:	what else can we do ?
MOT:	let's try some words .
MOT:	coat .
CHI:	<p@l l@l n@l t@l > [/?] .
MOT:	good .
MOT:	no ?
CHI:	okay .
MOT:	what's this one say ?
MOT:	we're gonna have the choo_choo train pull the rest of the train
MOT:	okay ?
MOT:	ow [/?] don't let him bite you , it'll hurt .
MOT:	no , it says three +/.
CHI:	league school .
CHI:	and Sasha .
MOT:	come on over here .
MOT:	and Jack turns the page and writes some words down .
MOT:	can Jack connect that for me please ?
MOT:	wanna get them to fight ?
CHI:	thursday .
MOT:	who's the other teacher ?
MOT:	come [/?] come this way .
MOT:	train .
MOT:	this [/?] this takes all +/.
CHI:	need huggy .
CHI:	table .
MOT:	and sit over here .
MOT:	okay .
MOT:	okay .
MOT:	okay .
MOT:	&-um [/?] <who we gonna see> [/?] who's down on Cape_Cod right now
CHI:	Houghton pond .
CHI:	okay .
CHI:	xxx .
MOT:	track .
MOT:	Jack .
MOT:	Houghton's pond is in &-um [/?] Stoughton ?
MOT:	come on .
CHI:	xxx .
MOT:	okay , you wanna help me put the train track together ?
CHI:	stamp [/?] +/.
MOT:	I wanna do that game .
MOT:	sit up here , sit .
MOT:	here , why don't you have this guy ride like a horse .
MOT:	oh , maybe if you say so .
MOT:	I don't know where they are .
MOT:	wanna have fun ?
MOT:	Jack come on in here .
CHI:	learn how to fight .
MOT:	sit over here on the chair .
MOT:	can Jack say owl ?
MOT:	want me to blow some for you ?
MOT:	here .
MOT:	sit down .
MOT:	goodbye tv set .
MOT:	let's read .
CHI:	Frankenberry .
MOT:	and make it go around ?
MOT:	you need what ?
MOT:	in [/?] the other way honey .
MOT:	very good .
MOT:	Jack , let go of the wire .
MOT:	but where is it ?
CHI:	Jack watch the muppet movie .
MOT:	here try that one .
MOT:	very good .
MOT:	very good .
MOT:	what about this ?
MOT:	fifteen .
MOT:	does Jack wanna attach one of these ?
CHI:	<s@l I@l n@l k@l > [/?] .
MOT:	alright .
CHI:	no .
CHI:	<one , two , three , four , five , six , seven> [/?] .
CHI:	bye muppets invade Manhattan .
CHI:	okay .
MOT:	can Jack look at it ?
MOT:	it's all water in there from leaving them outside .
MOT:	right .
CHI:	no .
MOT:	who's this ?
MOT:	i [/?] I don't like that noise .
MOT:	a type case .
MOT:	okay , you wanna try that ?
MOT:	watch .
CHI:	star search xxx .
CHI:	bubbles .
MOT:	ah [/?] what else can we do now ?
CHI:	<and you've enjoied my Count_Chocula cereal> [/?] .
MOT:	ten .
MOT:	it's the daddy .
MOT:	Jack , let go of the wire .
MOT:	okay , how do you spell five ?
MOT:	sit up .
CHI:	<little kids stamp pad> [/?] .
MOT:	s@l [/?] +/.
MOT:	you've gotta sit up in your chair .
MOT:	and what does that say , right there underneath it Jack ?
CHI:	scared .
MOT:	here Jack sit up .
MOT:	yeah , we have a whole bunch of lights .
CHI:	bye .
MOT:	yeah , where is it ?
MOT:	right there .
MOT:	who's the big teacher ?
MOT:	look .
MOT:	what's a chair ?
MOT:	the banana+splits .
CHI:	xxx .
CHI:	nine o'clock .
MOT:	Jack .
MOT:	we'll see you again .
MOT:	come on .
MOT:	what's that ?
MOT:	yeah , I know you don't like it but we'll try it anyway .
MOT:	stop !
MOT:	can Jack come back in +/.
CHI:	on tuesday .
MOT:	Lynn ?
CHI:	now xxx .
MOT:	do you wanna spell something else ?
MOT:	you wanna play with these .
CHI:	xxx .
MOT:	sit down .
CHI:	bye muppets .
CHI:	<c@l I@l n@l k@l > [/?] .
CHI:	xxx .
MOT:	is [/?] that guy trying to get them .
CHI:	like Tom_and_Jerry .
CHI:	finished .
MOT:	what else ?
CHI:	one and two .
CHI:	okay .
MOT:	come on over here .
MOT:	and Sasha .
MOT:	is [/?] that in Newton ?
CHI:	xxx .
