participant	content
CHI:	give .
MOT:	what's this ?
MOT:	look .
CHI:	gumball .
MOT:	tell me what's in the zoo .
CHI:	xxx .
CHI:	groom , broom .
CHI:	the umbrella .
CHI:	more balloon .
CHI:	you broke it .
MOT:	no , what season is it here in this picture ?
MOT:	he's going to use his +/.
MOT:	is it hot or cold in the summer ?
CHI:	gum .
MOT:	yes , what's the kitty+cat's name ?
MOT:	that's a suitcase but what is it ?
MOT:	no .
MOT:	he's putting lines , he's decorating the cake .
MOT:	groom , broom , that's right .
CHI:	fishing .
MOT:	thank you for the present .
CHI:	on , putting .
MOT:	it's right .
MOT:	I didn't quite get that .
MOT:	he needs his umbrella .
CHI:	red .
CHI:	book .
CHI:	balloon getting bigger .
MOT:	okay .
CHI:	uhuh .
CHI:	on .
MOT:	right , that's right honey .
MOT:	it's cloudy and it's +/.
CHI:	the bag .
MOT:	let's see what's in the hat box .
CHI:	penguin .
CHI:	are +/.
CHI:	no .
MOT:	no , let's see .
MOT:	let's see what we have here .
CHI:	telephone .
CHI:	no .
CHI:	bunny .
CHI:	chef cake .
CHI:	getting bigger .
MOT:	what's the weather doing now ?
MOT:	it's not a bath+room .
MOT:	he's standing where ?
MOT:	let's see +/.
MOT:	which picture would you see first ?
MOT:	wanna open this one ?
MOT:	how many pictures [/?] , how many girls right there ?
MOT:	what ?
MOT:	that's right .
MOT:	they're called bride and groom .
CHI:	broke it .
MOT:	crayons what else ?
MOT:	the sun is gone , I wrote that down .
MOT:	no .
MOT:	that's right .
CHI:	big .
MOT:	what are they doing ?
MOT:	well what do you see ?
MOT:	I think we missed some at the beginning .
CHI:	xxx .
MOT:	mommy is giving the umbrella to who ?
MOT:	look .
MOT:	okay , what's next ?
MOT:	in the +/.
CHI:	<man , man> [/?] .
MOT:	we'll write down what's happening .
MOT:	where do you see a shower ?
CHI:	done .
MOT:	let's see what's under the painting ?
MOT:	huh ?
MOT:	let's look at this one .
CHI:	hot .
MOT:	they're like little dolls .
CHI:	<the , it , the> [/?] it is unde(r) +/.
CHI:	clay .
MOT:	there's some more .
CHI:	no .
MOT:	who is cooking cake .
CHI:	frosting .
MOT:	it was under the curtain .
CHI:	ball .
MOT:	what did you say about the cake ?
MOT:	no , where are they ?
CHI:	closing umbrella ?
CHI:	cake .
MOT:	he is frosting the cake .
CHI:	eat boy .
MOT:	where is it ?
CHI:	<in cooking> [/?] .
MOT:	fish .
MOT:	yeah , there's the s@l [/?] .
MOT:	yeah .
MOT:	the weather is changing .
MOT:	we're done with those pictures , we have a few more here .
MOT:	what is that stuff ?
MOT:	hey you did a good job on that one !
CHI:	green .
