participant	content
MOT:	big [/?] .
MOT:	little boy .
MOT:	good boy .
CHI:	fence .
MOT:	Rick , look .
MOT:	we'll put the people in here .
MOT:	Rick , what are you doing ?
MOT:	do [/?] .
CHI:	xxx .
CHI:	be good .
MOT:	you counted four people .
MOT:	what else ?
MOT:	what are they having ?
MOT:	dog , okay .
CHI:	eating shells .
MOT:	how many horses now Rick ?
MOT:	they're gonna have their breakfast .
CHI:	I want these out .
MOT:	Rick , look .
MOT:	write t@l r@l .
CHI:	xxx .
CHI:	eating .
CHI:	d@l [/?] .
MOT:	they're eating their breakfast .
MOT:	okay , looks good Rick .
MOT:	he's in the house and the +/.
MOT:	okay [/?] .
MOT:	there's the kitchen .
MOT:	a stove .
MOT:	that's good .
CHI:	are you +/.
MOT:	a lion head .
MOT:	make e@l over here .
MOT:	he's walking over .
MOT:	good boy .
MOT:	mommy will help .
CHI:	apart .
MOT:	as a cup , yeah .
MOT:	put the table in .
CHI:	wanna do that .
MOT:	there he is .
CHI:	no .
MOT:	oh , the rooster too .
MOT:	they're eating .
MOT:	good boy .
MOT:	what's this Rick ?
MOT:	look at my eyes .
MOT:	Rick , let's do this .
MOT:	nice job .
MOT:	Rick , make g@l .
MOT:	finish picking them up .
MOT:	can you make g@l ?
CHI:	put the rocket in ?
MOT:	where are you gonna put him ?
CHI:	I want help , please .
MOT:	where will we keep the food if you take it out ?
MOT:	see the letters over here ?
MOT:	there .
MOT:	Rick , how about the cowboys ?
CHI:	xxx .
CHI:	wanna use some more .
CHI:	you put the stove in .
MOT:	see the food ?
MOT:	woops [/?] , what happened ?
CHI:	cups .
MOT:	good boy .
MOT:	Rick , give this to mommy .
MOT:	you forgot one .
CHI:	this is fall .
MOT:	wanna try tree ?
MOT:	there goes the door .
MOT:	okay , I'll fix it .
CHI:	a egg .
MOT:	did they fall ?
MOT:	Rick , that's beautiful .
CHI:	I got it .
CHI:	I want help please .
MOT:	<the snow is all_gone , today it's warm outside> [/?] .
MOT:	that's nice talking .
MOT:	that's right .
MOT:	<what are you> [/?] where are you putting them ?
MOT:	good boy .
CHI:	<one , two , three , four> [/?] .
CHI:	xxx i [/?] .
MOT:	Rick , look .
MOT:	do some cards ?
MOT:	<Kathy and Helen are making a movie> [/?] .
MOT:	what other letters ?
MOT:	do you know what that says ?
CHI:	a daddy .
CHI:	building a bridge .
MOT:	look at her hair Rick .
CHI:	do that tomorrow ?
MOT:	did we lose it ?
MOT:	what letter Rick ?
MOT:	there goes the chicken .
CHI:	I playing house .
MOT:	here you go .
MOT:	what's this Rick ?
MOT:	<let's make a bed , here's a bed> [/?] .
MOT:	one more e@l .
MOT:	<Rick , what goes in the bag> [/?] ?
CHI:	xxx .
MOT:	what do you put in the tub ?
MOT:	good boy .
MOT:	okay , wanna do another one ?
MOT:	here we go .
MOT:	you wanna open the house and put it in there ?
CHI:	refrigerator .
CHI:	I want movie .
MOT:	you can make a lion man .
MOT:	Rick , what's this ?
MOT:	what do you call this ?
MOT:	okay .
CHI:	do that one .
MOT:	put them in the table .
CHI:	do b@l .
CHI:	eating .
CHI:	are you opening <the door> [/?] the door ?
MOT:	let's see .
CHI:	oh no [/?] oh , no !
CHI:	it's a table .
MOT:	let's say +/.
MOT:	oh , isn't this nice ?
MOT:	let's build .
CHI:	make +/.
MOT:	can you fit it over here ?
MOT:	Rick , how about the legos ?
MOT:	well , I think it's just the sink Rick and that's the kitchen sink
MOT:	wanna put the table in there ?
MOT:	you need help , okay .
MOT:	there , okay .
MOT:	Rick , what are they doing ?
MOT:	that's good .
CHI:	refrigerator .
MOT:	see ?
MOT:	count the people Rick .
MOT:	there , that's nice .
MOT:	you're doing a good job .
MOT:	look .
CHI:	have a daddy .
MOT:	what else ?
CHI:	put it in make believe .
MOT:	okay , can you write it up here ?
MOT:	oh , there goes the car .
MOT:	<where , the chairs can go in the house> [/?] .
MOT:	let's find d@l .
MOT:	let's do this .
CHI:	you put the sink .
MOT:	Rick .
