participant	content
CHI:	go on .
CHI:	airplane .
CHI:	xxx .
MOT:	not right now .
MOT:	put them in .
MOT:	touch your back .
MOT:	blocks .
MOT:	okay , you're quiet now .
CHI:	supper [/?] supper .
MOT:	<and down> [/?] .
MOT:	alright , up .
MOT:	his mommy's kissing him .
MOT:	yeah , he's a good boy .
CHI:	bad .
MOT:	pick it up .
MOT:	how you doing ?
MOT:	the birdie ?
CHI:	circle .
CHI:	<toilet , toilet , toilet> [/?] toilet .
MOT:	no mouthing .
CHI:	no .
CHI:	Big_Bird .
MOT:	Big_Bird's sitting in the truck .
MOT:	which [/?] what do you want ?
MOT:	you can take it out .
CHI:	want toy .
MOT:	there it goes , way up .
CHI:	you want candy ?
MOT:	Stuart ?
MOT:	would you like mama to read you the book ?
MOT:	put your hands down .
MOT:	good boy .
CHI:	yeah .
CHI:	catch .
MOT:	say , goodbye papa .
MOT:	up .
MOT:	punch .
CHI:	xxx .
MOT:	open .
MOT:	yeah , that's nice singing .
CHI:	xxx fine .
MOT:	Stuart .
MOT:	put them in .
MOT:	look at me .
MOT:	no , it's okay .
MOT:	dump them .
CHI:	up .
MOT:	okay .
CHI:	<ba ba> [/?] .
CHI:	want two .
MOT:	touch your legs .
CHI:	<poo , poo> [/?] .
CHI:	dot .
MOT:	you wash your hands .
CHI:	birdie .
MOT:	<bang , bang> [/?] bang .
MOT:	good boy Stuart .
MOT:	see the salad .
MOT:	this is a circle .
MOT:	okay ?
MOT:	Stuart .
CHI:	bo [/?] .
MOT:	there you go .
MOT:	see the shoes .
MOT:	make a tower .
MOT:	come on .
MOT:	straight .
MOT:	<dot , dot , dot , dot , dot> [/?] dot .
MOT:	good .
MOT:	do you wanna put the cow in ?
CHI:	touch ba [/?] back .
MOT:	that was [/?] pretty good .
MOT:	they're gonna make a tower .
MOT:	Stuart .
MOT:	look , throw the ball .
MOT:	Stuart's playing with his drum .
MOT:	let's push it .
CHI:	get it .
CHI:	straight .
MOT:	and the fork and the dish .
MOT:	oh , look Stuart .
MOT:	I think we should clap for Stuart .
MOT:	say , no .
MOT:	Stuart make a circle .
MOT:	there they are [% uc] .
CHI:	<pee bah ah> [/?] !
MOT:	that's supper .
MOT:	this is a cow .
CHI:	Big_Bird [/?] Big_Bird .
CHI:	circle .
MOT:	dot .
CHI:	bir [/?] +/.
MOT:	nice job pushing .
MOT:	do you need the toilet ?
CHI:	hi papa .
MOT:	goo [/?] +/.
CHI:	xxx .
MOT:	see , he's putting his clothes on .
MOT:	do you wanna play with me ?
CHI:	yeah .
CHI:	<jingle bells> [/?] .
CHI:	off .
CHI:	make a cir [/?] +/.
MOT:	<the driver on the bus says> [/?] +/.
MOT:	Stuart's building a tower .
MOT:	you have the star .
MOT:	touch your knees .
CHI:	xxx push .
MOT:	it's a big balloon .
MOT:	how about +/.
