participant	content
MOT	cottoncandy is not really made of cotton  it just feels like
MOT	alright the batter's inside the box but what else do we need 
MOT	but what do you do that makes it fun is watch this 
CHI	yeah 
MOT	pick out some funny feet to put on that kid 
MOT	no  how does he look 
MOT	oh  you can have 
MOT	hey  ask me in the right way 
CHI	  throw it away 
MOT	were they wearing their pajamas 
CHI	he's fancy 
MOT	yes  I am 
CHI	two 
MOT	you open the book 
MOT	yes  it is 
MOT	what are these called 
MOT	does the cat look good with a baby head 
MOT	do people wear boxes on their heads 
MOT	you did a good job 
MOT	after they give you candy 
CHI	I would 
MOT	no it's not  we don't  we don't need anymore  Brett 
MOT	yeah  that's not the oven that burns things 
MOT	do you think this is a good spoon 
CHI	Marshall 
CHI	where are eggs 
CHI	directions 
MOT	Brett  tell me about some of the things you saw at the circus 
CHI	why won't it go in that oven 
MOT	tell me what happens on halloween 
MOT	here's a good spoon 
CHI	they're gonna give me candy 
MOT	were they  on the trapeze 
MOT	that's the name of a shape 
CHI	a bowl 
MOT	there's some left there  though 
CHI	then I put it in 
CHI	I don't know 
MOT	but it's called shar 
MOT	okay 
MOT	it tastes great with but 
CHI	four 
CHI	please can I open it 
MOT	I qualify 
CHI	and I'm gonna be at your house 
CHI	I don't know 
CHI	I am 
CHI	after egg 
MOT	alright  Brett 
MOT	Brett  that's enough water 
MOT	and they're gonna give you 
CHI	trickortreat 
MOT	you put this one in 
CHI	a cage 
MOT	alright 
CHI	me 
CHI	to get a present 
CHI	you're joking me 
CHI	stickers 
CHI	it was 
CHI	I don't know  
CHI	please can I mix it 
CHI	  no  you're not 
CHI	a spoon 
CHI	yeah 
CHI	one  
CHI	no 
MOT	that's right  you're all done 
MOT	where do you put things when you hafta bake them 
MOT	yes  you are 
MOT	yes  she is 
CHI	  it is on halloween  because I went to the circus 
MOT	I'm gonna put it on the pan 
MOT	a book of eight funny figures  
MOT	if you tell me all about the circus then Doctor_Flusberg has a
CHI	can I take a lick 
MOT	you're gonna need a nice   spoon 
MOT	so what happened after that 
CHI	I don't know 
MOT	what's on this kid's head 
CHI	I don't know 
CHI	a fancy head 
MOT	is that a p  
CHI	not enough 
MOT	it does  yes 
CHI	I just did 
MOT	okay Brett 
CHI	and I'm gonna be a pumpkin 
CHI	where are they 
MOT	tell me a big long sentence that starts with “on halloween” 
MOT	here you go  your turn 
CHI	after we  
MOT	let's put the bowl on the counter here 
MOT	wanna know  do you know what that means 
MOT	they tell you what to do 
MOT	where did 
CHI	umm  I saw 
CHI	yeah 
CHI	what is next 
CHI	a q  
MOT	you're gonna go around to the neighbors and say 
MOT	wait till you see what I have for you 
MOT	what kind of a head is that 
CHI	next 
MOT	I want you to read 
MOT	ooh  look what it says 
MOT	directions  and what do directions do 
CHI	one 
CHI	on halloween I'm going to be a pumpkin 
MOT	what else 
MOT	it means quickly 
MOT	ask me the question 
MOT	yeah 
MOT	that's a shape 
MOT	do you want some 
MOT	yeah  let's dress Elsa up 
CHI	  mix 
CHI	I don't know 
MOT	nice looking at me 
CHI	cat 
MOT	you say trickortreat and then they give you the candy and then
MOT	I made him 
MOT	come on up 
MOT	that's enough talking about that  huh  
MOT	tell me about some of the things you saw 
MOT	to find out what's 
MOT	so  then what happened 
MOT	no 
CHI	a book 
CHI	a box 
MOT	lift this up and pull it back 
MOT	Brett 
CHI	I don't know 
MOT	alright  talk about 
CHI	I'm going to get candy 
MOT	thank you 
MOT	pull it to the left 
CHI	yeah 
MOT	what happens after you say trickortreat 
MOT	I see a bowl 
CHI	because he has shoes on 
MOT	let's 
CHI	 
MOT	a box 
MOT	tell me about halloween 
MOT	yeah  okay 
MOT	bye  Charlene 
MOT	so I'll get the dog a baby head 
CHI	mine 
MOT	on  on christmas 
MOT	we need the batter 
MOT	put it in the bowl 
CHI	joking with me 
CHI	  it was blue 
MOT	yeah  that's a pretty goofy looking dog  isn't it 
MOT	okay  so first we put your costume on and then we go out 
MOT	look what you have 
CHI	pink hair 
MOT	a quarter cup 
MOT	I love the way you're vigorously stirring  Brett 
CHI	yeah 
MOT	tell me some more things about 
CHI	went on a trapeze 
CHI	when do I lick it 
CHI	a fan  a head 
CHI	he fell into the  no  he fell into the material 
MOT	I like this 
MOT	because it's hard to lick a fork 
CHI	I get my hair sprayed with paint 
MOT	wait a minute 
CHI	stir that batter 
MOT	okay  let's see 
MOT	how does the oven feel 
CHI	no  he's not 
CHI	misterm 
CHI	please can you take the plastic off 
CHI	a present 
CHI	I don't know  
MOT	we already put one in  so now we just need 
MOT	Brett  I want you to do something 
MOT	yeah  this isn't right 
CHI	because it's gonna be halloween 
MOT	here Brett  pull it towards you  towards you 
MOT	is that a handsome guy in those 
MOT	did we get the right thing to stir with 
CHI	whipped cream 
CHI	yeah 
MOT	who does 
MOT	ten eggs 
CHI	you're welcome 
CHI	he's fancy 
MOT	thanks  okay 
MOT	I like this head 
MOT	Brett  that's enough 
MOT	you can have a present after we do some more talking about the
MOT	what is it 
CHI	and I did go  misterm 
MOT	what did I spell 
CHI	 
CHI	we're having 
CHI	I did it 
MOT	let me see you do it 
CHI	after 
MOT	Brett  while you're whipping 
MOT	do a pretend trickortreat with me 
MOT	Brett  Brett 
MOT	with umm  umm  it tastes great with this soap on it 
CHI	not white soap 
MOT	did we go 
MOT	funny looking feet 
MOT	shoes 
MOT	did I make a handsome looking guy on those swings 
MOT	tell me all about them 
CHI	after 
MOT	now what do we needta do 
CHI	joking me 
MOT	you got more stickers 
CHI	after we make food 
MOT	good  Brett 
MOT	last halloween or next halloween 
CHI	mixing it 
MOT	pull it this way 
MOT	s  
MOT	Brett  did we talk about that already 
MOT	and you  and go places and say 
CHI	mommy 
MOT	what's it called 
CHI	thanks 
CHI	you say trickortreat 
MOT	Brett 
MOT	what am I 
CHI	oh  
MOT	oh  actually I can't use this  can I 
MOT	what do I hafta do before I can mix it 
MOT	what's wrong with this boy 
CHI	I saw elephant then a doggy that goes woof  
MOT	then what happens 
MOT	do you wanna take this sticker off 
MOT	that's right 
CHI	no  we're not 
CHI	okay 
CHI	who's going to take the plastic off 
CHI	yeah 
CHI	I wanna do it 
MOT	oh  you didn't have any clothes on 
CHI	  it was loud and he fell down and got hurt 
MOT	did it 
CHI	I don't know 
MOT	you know what 
CHI	yeah 
MOT	okay  and what do we need then 
MOT	okay 
CHI	no 
CHI	I wanna 
MOT	it's just 
MOT	it says one and a quarter 
MOT	wanna dress up Elsa for halloween 
MOT	now let me carry it over here for you  because it hasta be
CHI	what mom 
MOT	look  Brett  look 
MOT	tell me about 
CHI	at the city 
CHI	trickortreat 
MOT	a quarter cup 
CHI	what mom 
CHI	trickortreat 
CHI	animal animal  animal 
MOT	it's going to taste better when we put this white soap on it 
MOT	and 
CHI	I'm gonna be color blue 
CHI	Charlene 
CHI	  like ball 
MOT	who else  who else is silly 
MOT	of what 
MOT	fun form three  
MOT	tell me all about them 
MOT	you put them on Brett 
CHI	halloween 
MOT	what 
MOT	here's a good spoon 
CHI	no  I want it 
MOT	now  are we gonna mix it with our sneakers 
CHI	yes  it is 
CHI	brown   green 
CHI	open it 
MOT	good  Brett 
MOT	do they come out and take you to the dentist 
MOT	yeah  who's gonna put it on 
MOT	was I there 
MOT	thanks for getting the fork  Brett 
CHI	a fancy 
MOT	ah  what work did you leave out 
MOT	would you like to have a turn Brett 
CHI	please can I open it 
MOT	honey  right here  Brett 
MOT	what 
CHI	no  we didn't talk about it 
CHI	and  and that didn't get a hole in it 
MOT	a quarter 
MOT	just like you 
MOT	on top of his head 
CHI	no  I'm not 
MOT	oh  I'll give you one hint 
MOT	that's pretty silly  isn't it 
MOT	Brett 
MOT	what does that say 
CHI	and I ate cottoncandy and I had diet Pepsi 
MOT	Brett do you know 
CHI	I'm licking my finger 
MOT	what goes on top  after 
CHI	I wanna take a big lick 
MOT	Brett  look what I'm going to do to this kid 
MOT	what did we do 
CHI	so  I don't know 
CHI	yeah 
MOT	look at this 
CHI	made him funny 
MOT	hey Brett  hey  Brett 
MOT	what 
MOT	Brett  what do you say to people after they give you your treat 
MOT	Brett 
MOT	Brett  tell me all about the circus and then you can have a
MOT	what were the people doing who were swinging 
MOT	about 
MOT	heat oven  
MOT	yeah  what else 
CHI	I don't know 
CHI	yes 
CHI	yeah 
CHI	what is that made  this made of 
CHI	yeah 
MOT	where  what do we needta mix it with 
MOT	making what 
MOT	what's this first word say 
MOT	yes  we did 
MOT	why is he funny 
CHI	ra ra ra  
CHI	it's Peggy 
MOT	I'll measure it  brand 
