participant	content
MOT	no 
MOT	come on now  sit up 
MOT	you wanna go in the truck 
CHI	write tiger 
CHI	five  four  five  
CHI	no 
MOT	okay 
MOT	what's that a picture of 
CHI	elephant 
CHI	 
MOT	have you got a little Mister_T 
CHI	don't 
MOT	don't cry 
MOT	here's another one 
MOT	what's this a picture of here 
CHI	yes 
CHI	of course  of course 
MOT	can you see these ladders 
MOT	okay  which one's this 
CHI	I hate that 
CHI	color me 
CHI	don't be greedy 
MOT	okay 
MOT	right there 
MOT	would you like a race car set 
CHI	don't be greedy 
CHI	they they  jump 
MOT	you really don't want touch that 
MOT	you're going to leave this alone  okay 
MOT	don't open that box there honey 
MOT	what  what have you got 
CHI	yes we can 
MOT	come on over here 
MOT	okay 
CHI	yes 
MOT	they wanna take a picture of you  okay 
CHI	Kathy 
MOT	you'll go out in a little while 
CHI	yes 
MOT	here's the chipmunk right here 
CHI	guys 
MOT	come on 
MOT	okay listen  listen 
MOT	good 
MOT	you wanna color a little bit more 
MOT	what's this say here  Jack 
MOT	league school 
MOT	no  not Elmer_Fudd 
MOT	don't break it 
MOT	you want a hug 
MOT	do you wanna color 
MOT	what color is that 
MOT	purple  good 
CHI	indian 
MOT	I wish you'd tell me what number you used today 
CHI	 
MOT	color and learn book 
MOT	can I cut through 
MOT	alright  I'll tell you what 
MOT	ah  what else 
MOT	you saw the dog there 
CHI	 
MOT	Jack  you wanna come back and color 
MOT	you just wanna write 
MOT	okay 
MOT	what number 
CHI	xray  
CHI	I needta go to Zayres 
MOT	you want me to bring down something for you to play with 
MOT	listen 
MOT	where is he 
MOT	are you gonna answer me 
CHI	 
CHI	I'm too big 
MOT	here's the dog 
MOT	alright 
MOT	very good 
MOT	we'll be outside  Jack 
CHI	yes 
MOT	is the  
MOT	what's this  what's this one 
MOT	very good 
MOT	you want chipmunks 
MOT	did you do any number work 
MOT	no  you can use these 
MOT	now what are you crying about 
MOT	and have her color 
CHI	that's right 
MOT	sit up 
CHI	no 
MOT	right 
CHI	and vegetables book  
CHI	five 
CHI	no 
MOT	right 
MOT	Jack 
CHI	hafta go in the truck 
MOT	they'll be back 
MOT	 
CHI	right that way 
MOT	here comes another one 
CHI	they jump 
MOT	huh 
CHI	 
MOT	you want a hug 
MOT	what's upstairs 
MOT	okay  why don't you put your crayon down 
MOT	bring down whatever you wanna play with 
CHI	yes 
MOT	okay  you wanna draw a picture of the school 
CHI	road 
MOT	here 
MOT	you would 
CHI	color  
MOT	good 
MOT	where's the tree in the yard 
MOT	what else do you want 
MOT	what number did you work with 
CHI	to do  
MOT	sit up here for a second 
CHI	A_team 
CHI	 
CHI	one  two  three  four  
MOT	do you wanna go buy the christmas tree with me 
CHI	 
MOT	what do you want me to draw a picture of 
CHI	it's  
CHI	I'm too big 
MOT	here it comes 
MOT	and show joy 
CHI	no 
MOT	you got a whole bunch of stuff here 
CHI	don't be greedy 
CHI	yes 
MOT	okay 
MOT	here  catch this race car 
MOT	you can't tell me the letter 
CHI	I'll get the chipmunks 
MOT	i  right 
CHI	five 
MOT	Jack 
MOT	why don't you race them over here 
MOT	yeah  but 
MOT	okay  you make the 
MOT	hey  watch out 
MOT	think of something else you 
MOT	look at this 
MOT	I want you to sit here and talk to me 
MOT	wanna read a book 
MOT	wave to daddy 
MOT	why don't you draw a picture 
MOT	oh „ you're going to color the fruit and vegetable 
MOT	that's good 
MOT	here  here's another one 
MOT	what letter did you use today 
MOT	good 
MOT	there  there's a blank page 
MOT	who's that 
MOT	let's put this through there 
CHI	tv news network  
CHI	yes 
MOT	are you gonna bring something down 
MOT	okay 
MOT	look 
MOT	I dropped it in the mailbox the other day 
MOT	but did you have one special number today 
MOT	oh  come on 
MOT	which ones 
MOT	you can get crayons from this here 
CHI	they're gonna walk home 
CHI	the Care_Bears 
CHI	don't be greedy 
MOT	catch this one 
CHI	 
MOT	here comes another one 
MOT	how about the other little dog 
MOT	why don't you draw a picture of the house 
CHI	this one and this one 
CHI	put it in a secret place and see what happens 
MOT	Jack  what letter is that 
MOT	what car is this 
CHI	baseball 
CHI	they're 
MOT	what does that say 
MOT	okay 
MOT	one at a time 
MOT	ah  anything else 
MOT	okay 
CHI	  
CHI	A_team 
MOT	Star_Wars 
CHI	byebye 
MOT	what does that say 
MOT	you wanna play this game 
CHI	 
CHI	I needta go out 
CHI	sunday  
MOT	what does that say 
MOT	nope 
MOT	yeah 
MOT	wanna bring any of this down 
MOT	they're not here yet 
CHI	which  
CHI	yes 
MOT	did you play today 
MOT	here  why don't we play with the cars 
CHI	I need my truck 
MOT	no  that's your telephone number 
MOT	give daddy a kiss goodbye 
MOT	what does that say right there Jack 
CHI	  
CHI	I need that truck 
MOT	pink 
MOT	why don't you draw a picture of joy 
MOT	put the windows in there 
CHI	Sasha 
MOT	why do you hafta go to Zayres 
MOT	there's one 
MOT	and what is that word there 
MOT	wanna look at this a little more Jack 
CHI	 
CHI	they jump 
MOT	the other one's in the wash 
CHI	don't be greedy 
CHI	colors  
MOT	who's that 
MOT	any of these guys 
CHI	one  two  three  
MOT	why don't you show me what those animals do 
CHI	we'll see him later 
MOT	draw the letter here 
MOT	daddy's coming right back 
MOT	five  okay 
MOT	okay  can we do this one here 
CHI	yes 
MOT	what number was it 
CHI	yes 
CHI	bus 
CHI	stay in 
MOT	push it over here to me 
MOT	daddy's coming in  okay 
MOT	what does that say 
CHI	guy 
MOT	can we open it 
MOT	you wanna share it with joy 
MOT	do you want me to draw a picture of something 
MOT	let's you and I go in the living room 
MOT	what does that say 
MOT	do we got anybody that goes in there 
MOT	here 
CHI	elephant 
MOT	right  
CHI	Elmer_Fudd 
CHI	that's yours 
MOT	Jack  you wanna play with Sasha 
MOT	of our house 
CHI	yes 
MOT	do you want me to go up and get some of your toys 
MOT	he wants to go out 
MOT	hey  
MOT	can we read this story together 
MOT	and what does that say 
CHI	later on seven 
MOT	or the cow 
MOT	we're gonna get them for christmas 
CHI	I don't know 
MOT	why don't you play with your race cars for a few minutes 
MOT	I don't think so 
MOT	make a roof over there 
MOT	you what 
MOT	no  don't wanna share that 
MOT	yeah 
CHI	no 
MOT	how about giving me the crayon 
MOT	like the other day you worked with the number five 
CHI	yes 
CHI	they  they jump 
CHI	no 
MOT	colors  
MOT	right size  good 
MOT	how would you like ah   listen to this 
CHI	they jump 
CHI	Elmer_Fudd 
MOT	what do you mean upstairs 
MOT	Crayola 
MOT	one  two  three  I know you can count 
MOT	where are we going to put it 
MOT	can you tell me the number 
CHI	stand  
MOT	now cool it 
MOT	what are these 
CHI	box 
MOT	Jack  can I share some of these toys with you 
MOT	that's a great big one there  and that's a small one 
MOT	ah  so that's what you want for christmas 
MOT	look 
MOT	here's the chipmunk 
MOT	did you do any alphabet work today 
MOT	and what color is this up here 
CHI	we'll see him later 
CHI	ing book  
MOT	yeah 
CHI	 
MOT	Jack 
MOT	you want this one 
CHI	make  
CHI	   
CHI	smile 
CHI	yes 
CHI	Nerf football 
CHI	go get the chipmunks 
MOT	you don't wanna play this game 
MOT	wanna look at the clowns 
CHI	byebye 
CHI	yes 
CHI	what's the matter now 
CHI	they will be back 
MOT	we'll go by that 
CHI	books 
MOT	you wanna play with the bus 
MOT	I told Santa_Claus 
MOT	that's a big window 
CHI	I needta go to Zayres 
CHI	you don't be  greedy 
MOT	Jack  look at this 
CHI	I needta go to Zayres 
MOT	right here 
CHI	the car 
CHI	choose  
CHI	 
CHI	Kathy 
MOT	just calm down 
MOT	not right now 
MOT	what is this 
MOT	I'm gonna draw the farm 
MOT	there we go 
CHI	blue 
MOT	did you do any number work today 
MOT	daddy's gonna take the trash out 
CHI	no 
MOT	now you can open that 
MOT	oh „ Alvin  Simon  and Theodore 
CHI	bluebird  
CHI	right size  
MOT	can we read this Jack 
MOT	where's the driveway 
MOT	okay 
MOT	does he fit in there 
MOT	do you wanna color this book here 
CHI	 
CHI	don't be greedy 
MOT	what are you gonna do 
MOT	can you share with joy 
CHI	I need a coat 
MOT	Jack 
MOT	and what does that say there 
MOT	no  that's  
MOT	what are you doing guy 
MOT	that's 
MOT	hey   did you do any number work 
MOT	what else are you gonna write 
MOT	Jack 
CHI	three  four  five  
MOT	oh  look 
MOT	bye 
MOT	she's watching you play with all the animals there 
MOT	now cool it 
CHI	yes 
CHI	they will come back 
MOT	okay 
MOT	besides that  you told me Santa_Claus is going to bring that 
CHI	you better 
MOT	can you tell momma what color this is  Jack 
CHI	yes 
MOT	are you going to color on the fruits and vegetables book 
MOT	it's  
MOT	what's this one say 
CHI	byebye 
MOT	Jack 
MOT	Jack  hey  
MOT	what do you want 
CHI	yes 
CHI	they do loopdeloop 
CHI	crayon  
MOT	you wanna set up these 
MOT	here  Jack 
CHI	yes 
MOT	and what is that word 
CHI	chipmunks 
MOT	color  
CHI	that's not yours 
MOT	yeah  you can actually see him out the window 
CHI	color  
MOT	look 
MOT	that's a microphone 
CHI	the  
MOT	what does that say right there 
MOT	here's your cow 
MOT	yeah  but isn't Santa going to bring them  put them down the
CHI	books 
CHI	and I'm too big 
CHI	cars 
CHI	they walking 
MOT	oh  come on now  don't sulk 
CHI	smile 
CHI	why 
MOT	where's the door 
CHI	I can't open that 
CHI	 
MOT	can you look at the ladders here 
MOT	you don't hafta do so much writing today 
MOT	no  you really 
MOT	you want me to do it 
CHI	yes 
MOT	why don't you 
CHI	yes 
MOT	do you wanna open it yourself 
CHI	he's coming back 
MOT	Jack  right there 
CHI	back in 
CHI	fruits  
MOT	which truck  which car is that you got  Jack 
MOT	where's the cars go 
MOT	can we put this down for a minute 
CHI	sunday  
CHI	bye 
CHI	Care_Bears 
MOT	bluebirds  
MOT	come right back down 
MOT	tell mumma  what's that 
MOT	okay 
MOT	what does that say here Jack 
MOT	how big 
MOT	what do you want me to get 
MOT	daddy and joy went out for a walk 
CHI	or  or 
MOT	hey 
MOT	let me show you something 
MOT	come on down 
MOT	Jack 
MOT	here 
MOT	come here 
MOT	come here for a minute 
MOT	what for 
MOT	what is that 
CHI	don't be greedy 
CHI	dinosaur 
MOT	Jack  what's this 
CHI	four  eight  four  
MOT	you're too big 
CHI	hearts  
MOT	we'll go out later  okay 
MOT	alright there's a tree 
MOT	what number did you work with today 
MOT	and what does that say 
MOT	which  
MOT	let's open it 
MOT	what's that word there Jack 
CHI	 
MOT	say indian 
CHI	go  
MOT	what it looks like 
MOT	they're gonna pick up the yard a little bit  okay 
CHI	later on seven 
MOT	did you do any  did you do any   work on your alphabet 
CHI	they're walking 
CHI	no 
MOT	put the fireman in there 
CHI	one 
MOT	and what does that say 
CHI	 
MOT	what does that say 
MOT	who's this 
MOT	here's one of them 
MOT	have you seen anything else you want on television 
MOT	no  what is it 
MOT	where's  who sits in there 
MOT	I wanna talk to you 
MOT	you wanna give dad a kiss goodbye 
CHI	guy 
MOT	are you smiling at the tv 
CHI	 
CHI	no 
MOT	give daddy a kiss 
CHI	blue  
MOT	come on over here 
CHI	I needta go to Zayres 
MOT	there 
MOT	here 
CHI	 
CHI	dog 
CHI	they  they jump 
MOT	I already told you 
MOT	what do we have here 
MOT	sit up 
CHI	they jump 
MOT	did you play with Joey 
CHI	 
CHI	upstairs 
MOT	what does this say here 
MOT	very good 
CHI	is the  
MOT	let's give dad a kiss goodbye 
MOT	sit up here 
MOT	I though Santa_Claus was going to buy them for you 
MOT	okay 
CHI	yes 
CHI	smile 
CHI	there 
MOT	what letter did you work with today 
CHI	greedy 
CHI	no 
CHI	write the N_F_L_Today 
MOT	did you do any number work today 
CHI	I need help 
MOT	we'll go to Zayres later 
MOT	what do you want for christmas 
CHI	they walk 
MOT	hey  what are these Jack 
CHI	red  
MOT	yeah 
MOT	yeah  it looks like a dog 
MOT	the Get_along_gang 
MOT	don't pick your nose 
CHI	he's coming back 
CHI	no 
MOT	they're just gonna go for a walk 
CHI	 
CHI	give me it 
MOT	choose  
MOT	why don't you draw it right there 
MOT	yeah  I know you can count 
CHI	yes 
MOT	and there goes the big Mountain_Dew car 
MOT	no  you can't draw Elmer_Fudd 
CHI	they jump 
CHI	Alvin  Simon  and Theodore 
CHI	four  six  eight  
CHI	yes 
CHI	 
MOT	what color is that 
MOT	you leave that key alone 
MOT	I wanna show you something 
MOT	color 
MOT	you wanna set those guys up 
MOT	we'll have a race 
MOT	here's your other cows 
MOT	and I'll draw a picture 
CHI	yeah 
CHI	why not 
MOT	where's Mister_T 
MOT	where are you going 
MOT	alright come over here 
MOT	do you have Elmer_Fudd here 
MOT	he's not here  I don't think 
MOT	daddy's gonna   put her coat on and go outside 
CHI	I needta go to Zayres 
CHI	thank you  
MOT	what's that 
MOT	what happened to that one 
MOT	what do you want me to do 
CHI	orange 
MOT	the  
MOT	you want any help 
MOT	can you draw a picture of this house 
CHI	greedy 
MOT	I sent him a letter 
MOT	which ones 
MOT	okay  turn around 
CHI	write 
CHI	rainbow  
MOT	I don't think you needta go to Zayres right now  Jack 
MOT	with how many cars 
MOT	let's read this 
MOT	they're just gonna take the trash out  okay 
MOT	this right here and we'll go over some of these 
