participant	content
MOT	no  I know it's 
CHI	yes 
CHI	gumball 
MOT	is it beginning to snow 
CHI	cold 
MOT	and the weather is 
MOT	it's snowing  yeah 
MOT	they're like little dolls 
MOT	lime on the cake 
CHI	it cold 
MOT	let's look at this 
CHI	no 
MOT	what's he doing 
MOT	okay 
MOT	you did a good job on that one 
CHI	broke it 
MOT	is he a kitty cat 
MOT	okay  where is the bride and groom 
MOT	what's the 
CHI	 on cake 
CHI	giving umbrella 
CHI	cooking cake 
MOT	where's the bathtub 
MOT	to the 
MOT	how many girls are there 
MOT	looks like 
CHI	rain 
CHI	cold 
MOT	they pretend 
CHI	fire 
CHI	wet 
MOT	wanna read this little story 
MOT	bubble gum 
MOT	no  snow 
CHI	door 
CHI	under  no 
MOT	no  what is it 
MOT	where is the cat 
CHI	pipe 
MOT	is that what you're doing 
MOT	is it snowing 
MOT	under the strawberry 
MOT	to whom 
MOT	we're writing that down 
MOT	what is he cooking 
MOT	and they're all called christmas ornaments 
MOT	you wanna see what else we have 
CHI	telephone 
MOT	and what does the man do 
MOT	here's a good one 
MOT	Mark wait a minute 
MOT	no we're not done 
MOT	what 
CHI	on  putting it on 
CHI	cake 
MOT	no  not yet 
CHI	picture 
MOT	he is 
MOT	sunny  it's sunny  okay 
CHI	using umbrella 
MOT	I want you to read this 
CHI	swinging on plant 
MOT	they're up in the attic 
MOT	do you know what this is called right here 
MOT	you know what that says 
MOT	oh  it's peanutbutter  okay 
CHI	February 
MOT	I think there's more here 
CHI	sunny 
MOT	okay  let's see what 
MOT	yes 
CHI	grass 
MOT	right  that's right honey 
MOT	is 
MOT	the mommy 
CHI	no 
MOT	what are they making 
CHI	winter 
MOT	it's hard to tell 
CHI	broke 
MOT	what 
MOT	what do you do with a fishing pole 
MOT	broken's at the end 
MOT	let's see what's 
MOT	let's find out what's under the rug 
MOT	a boy and what 
MOT	see what's behind there 
MOT	what season is it 
MOT	let's find out what other doors say 
MOT	that one 
MOT	let's look at this one 
MOT	oh  this is what's confusing you 
CHI	balloon 
CHI	bicycle 
MOT	look at this plant 
MOT	who is it 
MOT	yeah 
MOT	what is it Mark 
CHI	yes 
MOT	painting 
MOT	let's try these again 
MOT	the weather is changing 
MOT	snails  that's right 
MOT	try it again 
MOT	looks like soup 
CHI	cook  cooking  
MOT	he's putting 
MOT	cake on what 
CHI	more balloon 
MOT	we were so excited 
MOT	what is that stuff 
MOT	you tell me  full sentence 
CHI	under umbrella 
MOT	who broke it 
CHI	no 
MOT	who gives  the mo  
MOT	let's see if we can find something else here 
CHI	holding 
MOT	that's a slingshot 
MOT	but can you say it better 
CHI	it on 
MOT	no 
MOT	open it 
MOT	so what happened 
CHI	snowing 
MOT	what is it doing 
MOT	it was under the curtain 
MOT	it's what 
CHI	uhuh 
MOT	alright 
CHI	holding  
CHI	blow a bubble 
MOT	do cats go inside clocks 
MOT	no  blowing 
MOT	the chef is cooking 
MOT	look 
CHI	eat boy 
CHI	no 
CHI	yes 
MOT	are they in the bottom of the cake 
CHI	red 
MOT	what 
MOT	look 
CHI	open it 
MOT	who is it 
MOT	what's this called 
MOT	is he standing on top of the umbrella 
MOT	we'll write down what's happening 
MOT	tell me 
MOT	you want that one open 
MOT	is he standing on top of the umbrella 
MOT	who do you think that is 
CHI	why it not snowing 
MOT	what's that 
CHI	cheese 
CHI	the balloon 
CHI	no 
CHI	bell 
MOT	let's see there's some more to open 
MOT	full sentence 
MOT	that's better 
CHI	 
CHI	no 
CHI	blow up balloon 
MOT	what did they make 
CHI	man 
MOT	how about the boy's mommy 
CHI	right 
CHI	penguin 
CHI	cake 
MOT	you tell me the story 
CHI	balloon  
MOT	that's their favorite doll named sue 
MOT	where is he standing 
MOT	what did they make 
MOT	the blue 
MOT	  what do you do with it 
MOT	using 
MOT	what's little and big 
MOT	Mark  what's he putting on top of the cake 
MOT	yeah  it's in the other one 
CHI	snow 
MOT	would you open the drawer 
CHI	no 
CHI	eat a cake 
MOT	which way do they go 
CHI	boy holding the blue balloon 
MOT	what is the boy doing here  he's gonna put up what 
MOT	you wanna read this little story to me 
MOT	looks like a window but it's actually a picture 
MOT	yeah  what's the 
MOT	well  the boy is a kitty cat 
CHI	fishing 
CHI	no 
MOT	you see the water there 
MOT	that means he's singing 
MOT	let's see what in this door 
CHI	 
CHI	broke it 
CHI	no sugar 
MOT	but the balloon is getting 
MOT	that's a window and curtains 
MOT	now you give me a full sentence 
MOT	now you give me a full sentence 
MOT	wedding cake 
CHI	no 
MOT	what do you see in the zoo 
MOT	where is the umbrella 
MOT	they go on the christmas 
CHI	snowing 
CHI	eraser 
CHI	all_gone 
MOT	let's see what we have here 
MOT	where's the dog 
MOT	 
CHI	wedding  
MOT	what's that 
CHI	truck 
CHI	under  on  
MOT	and it  she's made out_of 
MOT	how come 
MOT	groom  that's the boy 
MOT	where do we go  what do we do in the summer 
MOT	that's right 
CHI	February valentine 
CHI	no 
MOT	where's the first one 
MOT	so no snow 
MOT	what about 
CHI	red 
CHI	 
MOT	cloudy and it's beginning to 
MOT	which picture would you see first 
MOT	Paul the penguin 
MOT	Mark  where is it 
MOT	it's one of pop open books 
MOT	what do you say to Helen 
MOT	tell me what's in the zoo 
CHI	don't know 
CHI	cake  
MOT	you're being silly 
CHI	christmas 
MOT	in the winter is it sunny and hot 
CHI	the mommy gave  got 
CHI	 
CHI	done 
MOT	no  we're not done 
MOT	yeah he is smoking pipe 
MOT	the bird is singing 
MOT	okay 
CHI	bigger  the balloon is broken 
MOT	see what else we got 
CHI	 
CHI	closed 
MOT	no 
MOT	right  the 
CHI	one girl 
CHI	rain 
CHI	snow 
MOT	yeah  now when does it snow 
MOT	are they playing in the swimming pool 
CHI	cooking  
MOT	let's write it down 
CHI	 
MOT	where do christmas ornaments go 
MOT	you know that 
MOT	is that hot 
CHI	in the clock 
MOT	sunny 
CHI	no 
MOT	boy 
