participant	content
MOT	what am I doing 
MOT	roger  who's that 
CHI	yes 
CHI	good_night  
CHI	can I pull my chair out 
CHI	a blue table 
MOT	that's right 
CHI	and a chimney 
MOT	what am I doing 
CHI	you be dirty 
CHI	  get some 
MOT	roger  what are you doing 
MOT	no  that's wrong 
CHI	blow 
CHI	sail a big water 
CHI	oh  you made a heart 
MOT	no  what am I doing 
CHI	good_night 
CHI	cars 
MOT	okay 
MOT	no  you needta sit here and do the puzzle roger 
CHI	rabbit 
CHI	I wanna get the bird puzzle 
CHI	jumping on a cow 
MOT	ask me roger 
CHI	don't touch that 
MOT	roger 
CHI	get off 
CHI	okay 
MOT	in the great green room there was a  
MOT	roger come here 
MOT	sit 
CHI	peekaboo 
CHI	hat 
CHI	honey dip donuts 
MOT	sit in the chair 
CHI	a playdough 
CHI	green moon is  
CHI	cooking 
CHI	   chin 
CHI	you wanna read Good_Night_Moon 
CHI	good_night young mouse  
MOT	that's a chimney 
CHI	it's   
CHI	you wanna pull your chair in 
CHI	alright 
MOT	that's right 
MOT	what 
CHI	peekaboo 
MOT	oh  
CHI	smell 
CHI	I'll go get a play 
MOT	oh  good boy 
CHI	ears 
MOT	what did you make  roger 
MOT	roger  why don't you do a puzzle 
CHI	hi girl 
CHI	good_night young mouse  
CHI	oh  kittycat 
MOT	okay 
MOT	he's going to 
MOT	mommy will move the desk 
CHI	joy 
CHI	get the  get the bird puzzle 
MOT	and who's in the Wizard_Of_Oz 
CHI	tickle 
CHI	get off the table 
MOT	okay 
MOT	oh  you wanna read the book 
CHI	I wanna draw circle 
CHI	a pink milk 
CHI	I make doughnuts 
CHI	you bad 
CHI	good_night  
MOT	oh  where's the mother 
MOT	let's play with these people 
MOT	let's put him in the car 
CHI	hi Pepsi truck 
CHI	peekaboo 
MOT	time to put the playdough away 
CHI	good_night cow jumping over moon  
MOT	make the mouth 
MOT	we needta put them away 
MOT	make some meatballs roger 
CHI	smell 
CHI	yes 
MOT	Phil_Collins 
MOT	bye 
MOT	what's that 
CHI	you  do you wanna make a moon 
CHI	it's a barn 
MOT	no 
CHI	go eating the supper Pepsi truck 
CHI	gonna jump in on the moon 
CHI	hey 
CHI	that's pajamas 
MOT	what's this 
CHI	smell 
MOT	and what is he doing 
MOT	put the pieces in 
MOT	what are they watching 
CHI	eating a rice 
MOT	okay  get some strawberry milk 
CHI	the 
CHI	bye girl 
MOT	what is that book 
MOT	whoops  
CHI	good 
MOT	ah  
CHI	hi girl 
MOT	let's make a bird 
CHI	made a oval 
MOT	the little  
CHI	where's bird 
MOT	peekaboo 
MOT	you wanna make the eyes 
CHI	good 
MOT	that's right 
CHI	where  where's the mom 
MOT	oh  that's the mother 
MOT	where's the ears 
MOT	and what are they doing 
CHI	yes 
CHI	he's got them 
CHI	is kitty scared of the dog 
MOT	who's in there 
CHI	do you wanna make a triangle 
MOT	read the story to mom 
CHI	chimney 
CHI	little bears sitting on the chairs  
CHI	very 
MOT	what's the little boy doing 
MOT	and good_night  
MOT	read to mommy 
CHI	it's the girl 
MOT	put the barn away 
CHI	watching Wizard_Of_Oz tonight 
CHI	I made a cookie 
CHI	get 
MOT	what's this roger 
MOT	no that's daddy's scratchy face 
MOT	okay 
CHI	his   his pajamas 
CHI	did you eat it all 
MOT	roger make  press the playdough 
CHI	 
MOT	good_night to the  
MOT	wanna cut the doughnut 
MOT	 
CHI	bye 
MOT	oh  I thought she's watching the Wizard_Of_Oz 
CHI	I see 
CHI	go to the barn 
CHI	yes 
CHI	he got them 
CHI	good_night little  
MOT	what do you want 
CHI	circle 
CHI	good_night  
CHI	and a  and a boy and a girl 
CHI	there's one on the barn 
MOT	oh  
MOT	good job 
MOT	put the puzzle away 
CHI	he's dancing Madonna 
CHI	you make a bird 
MOT	that's right 
CHI	the pig 
CHI	girl 
MOT	roger 
MOT	do this 
CHI	and sitting on a couch and watching clown 
MOT	oh  
MOT	that's a circle 
CHI	gonna hurt you 
MOT	okay 
CHI	do you wanna go get a cup 
CHI	peekaboo 
CHI	want doing make a moon 
CHI	good 
CHI	cut the doughnut 
CHI	smell 
MOT	make the nose 
MOT	  
MOT	what are they doing 
MOT	in the great  
MOT	you get the bird puzzle 
CHI	under the bridge 
CHI	he's getting the water 
CHI	girl 
MOT	what do you wanna draw 
MOT	what's that 
CHI	roll it 
MOT	what is it 
MOT	look at mama 
MOT	make a bird for joy 
MOT	it's a cookie set 
CHI	a house and one mouse  
MOT	no you can't move the f  
CHI	it's the pigs 
MOT	okay 
MOT	what are they eating 
MOT	what are they doing 
MOT	no 
MOT	okay  what do you wanna do next 
CHI	you read a book 
CHI	I need help please 
CHI	cooking supper 
CHI	tornado 
CHI	open the present 
CHI	you roll 
CHI	get off 
CHI	wanna eat 
CHI	and there's the airplane 
CHI	 oh  
MOT	what's this 
MOT	what color is the table 
MOT	you can make a bird 
CHI	good_night jumps over the moon  
MOT	okay 
MOT	and a little toy  
MOT	  they're good 
MOT	I need help 
CHI	time for girls eat 
MOT	let's pick up all the pieces 
CHI	colorful  
MOT	oh  that's good 
CHI	I play choo_choo train block 
CHI	hotdogs and beans 
CHI	it silly 
CHI	go in the sleep in the barn 
CHI	get Good_Night_Moon 
MOT	roger what are you doing 
CHI	a  spaghetti and meatballs 
MOT	sit in the chair 
MOT	that's right 
MOT	and 
MOT	oh  you have a tickle 
MOT	oh  I don't know where it is roger 
MOT	time to read Good_Night_Moon 
MOT	I don't know 
CHI	re  
MOT	say hi joy 
CHI	say  get off the table 
CHI	goodmoon  
MOT	and there were three  
CHI	and it's tornado 
CHI	you wanna make a moon 
CHI	gonna get in Pepsi truck 
MOT	strawberry milk 
MOT	put the heart on and press 
CHI	mouth 
MOT	good boy 
CHI	do you want some 
MOT	okay 
MOT	okay 
CHI	good_night 
CHI	it's a boat 
MOT	no  the bird 
MOT	he's giving him some milk 
CHI	a applesauce 
CHI	going under 
