participant	content
MOT	Stuart  look 
MOT	huh 
MOT	say mama get it 
CHI	book 
MOT	where are  you going 
MOT	huh 
MOT	this is your book 
MOT	toy 
CHI	Mickey_Mouse 
CHI	wheel on bus  
MOT	Stuart  you gonna stay with me 
CHI	row row boat 
MOT	you wanna erase 
MOT	you sitting down with mommy 
MOT	what's  what's your teacher's name 
MOT	you like that  here 
MOT	how about we sing rock_a_bye_baby 
MOT	oh  you're opening them 
MOT	and who do you see in school 
CHI	ready  get 
CHI	school 
CHI	socks 
MOT	mama get it 
MOT	say book 
MOT	you needta look at me 
MOT	good boy 
MOT	and they use the scissors 
CHI	I want row 
CHI	woof  woof  
MOT	come on 
MOT	look at this 
MOT	are  you somewhere else today 
MOT	look 
MOT	good boy 
MOT	legs 
MOT	they have the big rainbow 
MOT	help me 
MOT	erase it 
MOT	huh 
MOT	squeeze 
CHI	sock 
MOT	this is your shirt 
MOT	hey Stuart 
CHI	thank you 
MOT	huh 
MOT	Mickey_Mouse 
MOT	you wanna make a circle 
MOT	look 
MOT	Mickey_Mouse 
MOT	okay 
MOT	right 
MOT	oh  good 
MOT	yeah  beautiful 
MOT	and what's that 
CHI	sit right down  
MOT	thank you 
CHI	Tricia 
MOT	nice counting Stuart 
CHI	bye 
MOT	you wanna call daddy 
MOT	huh 
MOT	where are  you going 
CHI	    
MOT	you gonna go to school today 
CHI	 
MOT	go  they go this way 
MOT	turn it over and we'll erase the other side 
MOT	the wheels on the bus go  
MOT	Stuart 
CHI	help 
CHI	sing song 
MOT	use two hands 
MOT	you wanna kiss him 
MOT	you want Row_Row_Your_Boat 
CHI	squeeze 
MOT	that's a block 
MOT	hi 
CHI	mama I want water  please 
MOT	good boy 
MOT	look at me 
MOT	that's right 
MOT	you like that 
MOT	needta go again 
MOT	good boy Stuart 
MOT	you need help 
CHI	rock_a__baby 
CHI	leg 
MOT	it's a toy 
MOT	oh  good boy 
MOT	hey 
CHI	Stuart_Vicari 
MOT	do you do all that in school 
MOT	you write with the chalk 
CHI	doggy 
MOT	hi 
MOT	Stuart 
MOT	book 
CHI	 
MOT	Stuart's a good boy 
MOT	and his feet 
MOT	look at me 
CHI	 
MOT	you_all done 
CHI	momma  I want balloon 
MOT	playing with the doll 
MOT	what a good job writing 
MOT	what 
MOT	huh 
