participant	content
MOT:	okay .
CHI:	I love to win .
CHI:	the present .
MOT:	cut along the fat line .
MOT:	we'll put it on this guy's nose .
MOT:	yup .
CHI:	Joyce fell down .
CHI:	oh , good .
MOT:	okay .
MOT:	who's this guy with her ?
MOT:	you're gonna need them .
MOT:	and what did we do ?
CHI:	they are .
MOT:	and you left your monkey scissors in +/.
CHI:	you're sposta cut across .
MOT:	he might .
MOT:	told you it wasn't easy right .
MOT:	what ?
CHI:	ox .
MOT:	these are our tire tracks .
CHI:	three in a row .
MOT:	you're gonna be the <o's> [/?] ?
CHI:	bubbles .
CHI:	yeah , to church .
MOT:	hm: [/?] ?
MOT:	is that what she is ?
CHI:	at the club+house .
MOT:	Lurkey ?
MOT:	you're the boss .
MOT:	okay , we hafta get all those numbers .
MOT:	that's Color_carnival .
CHI:	yeah .
MOT:	I'm trying to remember .
MOT:	okay .
CHI:	no .
MOT:	right ?
CHI:	how do we do this ?
MOT:	this is a good book to bring with us on vacation .
MOT:	you love to win all the time ?
MOT:	what ?
MOT:	and when we went to the museum what was your favorite thing ?
MOT:	<o@l , x@l> [/?] .
MOT:	don't trip over your bat .
MOT:	canary yellow ?
MOT:	let's look through .
MOT:	cut down that whole strip .
MOT:	this will be a little easier for now .
MOT:	I'm trying to remember .
CHI:	yeah .
MOT:	okay .
MOT:	are you happy ?
MOT:	do you wanna be a [/?] a easter bunny for easter ?
CHI:	I like to .
CHI:	no .
CHI:	yeah .
CHI:	who's this ?
CHI:	yeah .
MOT:	and we went there .
MOT:	what did you and Samantha do ?
MOT:	if you were [/?] the boss what would you tell me right now ?
MOT:	did you ever hear strong as an ox ?
CHI:	now we hafta do a different game .
MOT:	<the pits> [/?] .
CHI:	two and a two .
MOT:	mhm [/?] .
CHI:	the people .
MOT:	we're gonna do them all right ?
CHI:	we hafta move them around .
MOT:	are you happy if you're the boss ?
MOT:	those were [/?] six sprites .
MOT:	who is Joyce ?
MOT:	did you ever walk all the way to the end of a rainbow ?
MOT:	okay .
MOT:	okay .
MOT:	think so ?
MOT:	you both fell ?
CHI:	tic-tac-toe .
MOT:	well .
MOT:	what do you like best about it ?
MOT:	yeah .
CHI:	ten .
MOT:	don't tell me .
MOT:	oh , where did we go to eat ?
MOT:	okay .
MOT:	this is the big center game .
MOT:	what's this ?
MOT:	you just cut it .
MOT:	no .
MOT:	we'll go to church .
MOT:	yeah .
MOT:	that's an engine .
CHI:	inside a pool .
MOT:	here's over the rainbow .
CHI:	and we both fell .
MOT:	can you tell me a story because see , these were [/?] hiding on
MOT:	you do ?
MOT:	he was in the junk+yard .
CHI:	where ?
MOT:	ox .
CHI:	oh , good .
CHI:	oh , the giant telephone , yeah .
MOT:	but when everybody was up a swaying .
CHI:	yeah .
CHI:	I did it .
CHI:	yeah .
CHI:	and [/?] and we'll see Debbie_Cox .
MOT:	this is to color kids .
CHI:	yeah .
MOT:	what it was like when we went skiing .
CHI:	yeah .
CHI:	all different colors .
CHI:	yeah .
MOT:	yeah ?
CHI:	yeah .
MOT:	and you try to get three in a row .
MOT:	riding on a motorcycle .
MOT:	it spells ox .
MOT:	<o@l , x@l> [/?] .
CHI:	about the museum .
MOT:	and how did you blow the bubble ?
MOT:	we hafta put these into cubes .
MOT:	whose friend is she especially ?
MOT:	&-um [/?] off the southeast expressway .
MOT:	it was okay .
MOT:	did you spend a long time there ?
MOT:	and there was something else that you like to do .
CHI:	I don't either .
MOT:	the whole time .
MOT:	I know .
CHI:	yeah .
MOT:	you told me you like to win , right ?
CHI:	oh , .
MOT:	when they can't get a tow truck to do it .
MOT:	you wanna block me ?
CHI:	Mcdonalds .
CHI:	yeah .
MOT:	now we hafta after we do this we hafta count them together .
MOT:	I think I'll try to get you there .
MOT:	that was hard work .
MOT:	Sprite_search .
MOT:	okay ?
MOT:	wait a minute .
CHI:	over the rainbow .
MOT:	okay .
CHI:	mommy , is it hard ?
MOT:	this is hard to figure out what he's doing .
MOT:	where does Rainbow_Brite live ?
