participant	content
MOT:	go to sleep .
MOT:	okay .
MOT:	<let's> [/?] what number is that ?
MOT:	nine .
MOT:	Sybil_Sade .
CHI:	b@l [/?] .
MOT:	Sade .
CHI:	b@l [/?] .
MOT:	oh , b@l [/?] .
MOT:	alright .
MOT:	push a three .
MOT:	right there .
MOT:	three .
MOT:	oop [/?] .
MOT:	push a five .
MOT:	push a seven .
MOT:	no , that's Tyl_Beau right there , see ?
MOT:	seven again .
MOT:	push number one .
MOT:	oops [/?] .
MOT:	one doesn't work .
MOT:	push number four .
CHI:	Rammy .
MOT:	Rammy , yeah .
CHI:	call .
MOT:	glad you called .
CHI:	call .
MOT:	where's your friend Rammy ?
CHI:	right there .
MOT:	there's Rammy right there .
CHI:	Rammy .
CHI:	I call .
MOT:	you called ?
CHI:	call .
MOT:	okay , wanna do this one ?
MOT:	number nine .
MOT:	right there .
MOT:	she loves you .
MOT:	yeah , love .
MOT:	do it again .
MOT:	number nine .
CHI:	number nine .
MOT:	number nine huh [/?] ?
CHI:	number nine .
CHI:	xxx Helen .
CHI:	Helen .
MOT:	what ?
MOT:	that's Helen , yeah .
CHI:	Helen .
MOT:	Helen , yeah .
MOT:	Otis Lee ?
MOT:	where's Otis Lee ?
MOT:	let's find him .
MOT:	oh , there he is .
MOT:	he's got a bat .
CHI:	bat .
CHI:	Otis Lee to me .
MOT:	do it again .
MOT:	do zero .
CHI:	again .
MOT:	Otis Lee .
MOT:	Billy .
CHI:	xxx hurt .
MOT:	which one was that ?
CHI:	hurt .
CHI:	that hurt .
MOT:	that's hurt ?
CHI:	that hurt .
MOT:	who's hurt ?
CHI:	right there .
CHI:	boo_boo .
MOT:	who's got a boo_boo ?
MOT:	show me the boo_boo .
CHI:	right there .
MOT:	he's got a boo_boo ?
CHI:	boo_boo .
MOT:	oh , alright .
CHI:	alright ?
MOT:	oh , nice .
CHI:	nice .
MOT:	yeah .
MOT:	all better .
MOT:	oop [/?] .
MOT:	who +/.
CHI:	a bus .
MOT:	who do you think that is ?
MOT:	you think that's dawn .
CHI:	I'll get it .
MOT:	no , you don't hafta get it .
MOT:	she comes up by herself .
MOT:	yup [/?] that's her .
MOT:	she'll come up .
MOT:	you gonna talk with dawn too ?
MOT:	do you see her bus ?
CHI:	bus .
MOT:	she goes in a station wagon .
MOT:	she doesn't go on a bus like you .
MOT:	she's a big kid .
MOT:	oh , she gonna come up .
CHI:	come up .
MOT:	come on .
MOT:	she'll come up in a minute .
MOT:	tell her dawn's home .
MOT:	tell Helen dawn's home .
CHI:	dawn .
CHI:	dawn's home .
MOT:	this is thriller .
MOT:	can you sing ?
CHI:	sing .
CHI:	<one , two , three> [/?] .
MOT:	what ?
CHI:	<one , two> [/?] mama .
MOT:	<one , two> [/?] +/.
