participant	content
MOT	that's all you want 
MOT	yeah 
MOT	Mary had a little lamb  
MOT	yeah 
MOT	you would even say it glows  
CHI	 
MOT	again 
MOT	you can make up your own song if you want 
MOT	glasses 
CHI	yeah 
MOT	what 
MOT	oh  
CHI	 
CHI	look at them 
CHI	and happy new year  
MOT	and he yelled  “watch out” 
MOT	that's okay 
CHI	and this 
MOT	that part's not sticky  right 
MOT	I'll give you a hand 
MOT	what about Mandy 
MOT	see 
MOT	is he coming to your house 
CHI	Frankie's christmas party 
CHI	smoke go up top 
CHI	yeah 
MOT	oh „ okay 
MOT	with a cold 
CHI	I sing this one 
MOT	then one foggy christmas eve  
CHI	duck have a leaf 
MOT	okay 
MOT	your new racoon 
MOT	what is this 
MOT	a dead mouse  yeah 
CHI	I'll hold it for you mom 
MOT	oh „ darn 
CHI	whoa  
CHI	Rudolph with your nose so bright  
MOT	did you try 
MOT	you never sang that song before 
CHI	yeah 
MOT	okay  let's turn it on 
CHI	yeah 
CHI	yeah 
CHI	 
CHI	Santa_Clause is coming to town 
MOT	you'll go down in history  
CHI	no 
MOT	here 
CHI	look 
CHI	what 
CHI	and Noelle 
MOT	did that hurt 
CHI	need some more tape 
CHI	wow  
MOT	go ahead 
MOT	it goes like this  right 
MOT	wanna sing  “you are my sunshine” 
CHI	yeah 
MOT	that's okay 
CHI	I sing it with Janet and Leslie 
CHI	I know 
MOT	very good 
MOT	remember what you got her so you won't be surprised 
CHI	yeah 
CHI	yeah 
CHI	turn it on 
CHI	red 
MOT	but what color is your house 
MOT	and then they go up the stairs again 
CHI	what's in here 
MOT	how about right down here 
MOT	oh „ that's a nice song 
MOT	and a harp 
MOT	honk it 
MOT	did we see the christmas specials last night 
MOT	Kenny_Thomson 
MOT	oh „ I thought you were gonna sing us a song 
CHI	up to mouth 
CHI	  
CHI	watch 
CHI	yeah 
CHI	I can't 
MOT	okay 
MOT	okay  now what's this 
MOT	and what else 
MOT	I'll hold it and you rip 
MOT	is that one you sing in school 
MOT	and what happens on christmas 
CHI	every reindeers loved him  
MOT	and what's this 
CHI	another tree 
MOT	Aaron sings but Mandy doesn't 
MOT	look_it 
CHI	one  two  three  four  five  six  nine  ten  
CHI	and one foggy christmas time  
MOT	okay 
CHI	yeah 
CHI	what's this 
MOT	we hafta find your coloring book 
MOT	I think you needta be very strong 
MOT	that's a flower in the window 
CHI	I   
MOT	what 
CHI	on my fingers 
CHI	a ball 
CHI	had a very shiny nose  
MOT	just like you 
MOT	oh „ get grandma's tape 
CHI	yeah 
CHI	and this 
MOT	do you like Rudolph 
MOT	huh 
MOT	those are the kind of ones that we can wipe off 
CHI	it's a bird 
MOT	you're just making up a song 
MOT	you wanna see first 
CHI	yeah 
MOT	oh „ well help 
MOT	and who else 
CHI	on top 
MOT	is that a good song 
CHI	all of the reindeers laugh and call him names  
CHI	oh  
MOT	what are they doing 
CHI	 right 
CHI	shamrock 
MOT	Shane 
MOT	Santa came to say  
CHI	yeah 
CHI	a house 
MOT	here 
CHI	no 
MOT	do you know what time of year this is 
CHI	right here 
MOT	egg 
CHI	and mark 
MOT	and what's the song 
MOT	Shane sings 
MOT	wait a minute 
MOT	come here 
MOT	hold the tape 
MOT	yeah 
CHI	a leaf 
CHI	this is tape 
MOT	you gonna get me some more tape 
MOT	a harp 
CHI	this part stick 
CHI	about this 
CHI	yeah 
CHI	smoke 
CHI	 
CHI	christmas special 
MOT	daddy 
CHI	on a christmas time Santa clause came in to tell  
CHI	yeah 
MOT	and you'll get real good at it 
CHI	thank you 
MOT	I think that's great 
CHI	we measure 
CHI	no heart 
CHI	wait 
MOT	about your penguins 
CHI	let me know 
CHI	I need help 
CHI	 
