participant	content
MOT:	whose toys are these ?
CHI:	on a bright sunny day .
CHI:	can't sit on the couch .
CHI:	yes .
CHI:	okay , mom .
MOT:	that's right .
MOT:	it means I can have three raisins mom .
MOT:	is that a girl ?
MOT:	look it .
MOT:	my turn .
MOT:	okay .
MOT:	why ?
MOT:	whose bag is that ?
MOT:	Brett .
CHI:	cold .
MOT:	your turn .
CHI:	I got the orange space .
MOT:	did you beat me again ?
CHI:	I went past the chocolate .
MOT:	through +/.
MOT:	whose turn is it ?
CHI:	bow .
MOT:	I'm not going to the doctor at all .
MOT:	one what ?
MOT:	what does that mean ?
MOT:	that's right Brett .
CHI:	because I'm hungry .
MOT:	tell me about this one .
MOT:	the boy +/.
MOT:	are these big chairs or little , little , little chairs ?
MOT:	because he's +/.
CHI:	two .
CHI:	it's your turn .
MOT:	how many raisins did I give you ?
MOT:	that's right .
MOT:	what's this ?
MOT:	my turn .
MOT:	what does it mean when you pass the three ?
MOT:	they gonna eat them ?
MOT:	you hafta +/.
MOT:	Brett do you wanna go play pretty soon ?
CHI:	the winter .
CHI:	the movie .
CHI:	space .
MOT:	look_it .
MOT:	what does that mean ?
CHI:	it's her bag .
CHI:	because I need +/.
MOT:	we're gonna talk to each_other .
MOT:	that looks like our kitchen .
MOT:	you got it again .
CHI:	while she's taking a picture with his camera .
MOT:	what color are they ?
MOT:	I forgot .
MOT:	go ahead Brett .
MOT:	that's a good sentence !
MOT:	here's what I want you to do .
MOT:	oh , I got a blue space .
CHI:	my green man ?
MOT:	Brett .
MOT:	you're too big .
MOT:	oh , this is +/.
MOT:	wait a minute .
CHI:	can have a raisin .
MOT:	okay .
MOT:	your turn .
MOT:	Brett .
MOT:	why can you have two raisins ?
CHI:	it's a little stove .
CHI:	she's wearing a orange shirt , playing the guitar while she looks
CHI:	burns .
MOT:	no .
CHI:	signatures .
MOT:	what can we name him ?
MOT:	right .
MOT:	look at that .
CHI:	teaching the bear how to dance at the circus .
MOT:	why ?
MOT:	one green space , two green spaces .
MOT:	I had my turn .
MOT:	a little Herman .
CHI:	yes .
MOT:	let's fix them like we have ours .
MOT:	&h [/?] Helen .
CHI:	tada [/?] .
MOT:	yeah .
MOT:	yeah .
CHI:	it burns .
CHI:	achoo [/?] .
CHI:	can have three raisins mom .
MOT:	is that the winter ?
CHI:	the one [/?] two .
MOT:	no , you said it already silly .
MOT:	two plus one is what ?
CHI:	while +/.
MOT:	because +/.
MOT:	I got a red space too .
CHI:	tada [/?] .
CHI:	three .
MOT:	look and see .
MOT:	that's right .
MOT:	don't tickle me .
MOT:	yeah .
CHI:	he's cutting the snow +/.
CHI:	she's playing the guitar while she looks at it .
CHI:	done +/.
CHI:	it's a warm day .
MOT:	please .
CHI:	with water .
MOT:	<you're the> [/?] you're the green man .
CHI:	I +/.
MOT:	on bee's knees ?
MOT:	Brett .
MOT:	let me show you something .
CHI:	no .
MOT:	look what I got .
CHI:	hard enough .
MOT:	okay .
CHI:	it's a sunny day .
MOT:	sometimes we dance .
MOT:	how do you play with these toys ?
MOT:	it doesn't hurt that much .
MOT:	ah [/?] what ?
CHI:	bow .
CHI:	bow bow .
CHI:	it burns the building .
MOT:	wait a minute .
MOT:	who is ?
CHI:	can I have milk ?
MOT:	Brett .
CHI:	we're smile .
MOT:	that's right .
MOT:	this is a game table , I think .
MOT:	what does it mean when you pass the three ?
CHI:	thanks .
CHI:	the Nanna's feeding milk to the baby while the people watch .
MOT:	sit up Brett .
MOT:	this is gonna be a hard one .
CHI:	thanks mom .
