participant	content
MOT:	the person .
MOT:	good Brett .
MOT:	what's he doing ?
CHI:	I don't wanna do math letters .
MOT:	no , it looks like it could be a farm .
MOT:	Brett , sit down on the floor please .
MOT:	okay , Brett what about this one ?
MOT:	what's this one doing ?
CHI:	I don't wanna do your work .
MOT:	hey [/?] Brett .
MOT:	good Brett .
MOT:	come on .
MOT:	they have long necks fr [/?] .
MOT:	where [/?] where's this place .
MOT:	oh , I don't think so hon .
CHI:	to make it grow big .
CHI:	h@l .
CHI:	pop .
MOT:	Brett .
MOT:	some .
CHI:	the boy's playing with a bunny rabbit .
MOT:	where are they playing ?
MOT:	oh , that oughta appeal to you Brett .
CHI:	yours .
MOT:	good Brett .
MOT:	okay .
MOT:	alright .
MOT:	okay Brett , you did a +/.
MOT:	<one two three> [/?] .
MOT:	you wanna sit on a cat ?
MOT:	are they playing outside a triangle ?
CHI:	water .
MOT:	yeah .
CHI:	magic .
CHI:	big .
MOT:	doing more ?
CHI:	burn you .
CHI:	he's eating .
MOT:	Helen .
MOT:	those are gonna be cars I think .
MOT:	yeah , they're playing a concert .
MOT:	whose brown sweater ?
CHI:	<nat sat in a pat> [/?] .
MOT:	we have animal sound effects to go with the little pills .
CHI:	pan .
MOT:	what is it fr [/?] ?
MOT:	what is it fr [/?] ?
MOT:	now where's the book .
CHI:	gonna grow big .
MOT:	okay , now what's he gonna do ?
CHI:	doing animals .
MOT:	look at all your animals Brett .
MOT:	hey [/?] Brett that's a good pop sound .
CHI:	I'm done with my reading ?
CHI:	it's a bright sunny day .
CHI:	n@l .
MOT:	hey [/?] Brett , what were they before they were animals ?
CHI:	xxx .
MOT:	Brett , what were they before they were animals ?
CHI:	I don't wanna go to school .
CHI:	t@l [/?] .
MOT:	it's popping .
MOT:	you tell me when you +/.
MOT:	whose +/.
CHI:	<nat is , an , a man> [/?] .
CHI:	truck .
MOT:	let's watch this one .
CHI:	yellow .
MOT:	where [/?] where [/?] <what's all> [/?] what's all these people
MOT:	uhoh [/?] .
CHI:	can I get my favorite shirt ?
CHI:	&-um [/?] holding the bone thing .
CHI:	time for math letters .
MOT:	well you're gonna .
CHI:	yeah .
CHI:	it's down there .
CHI:	a long neck .
MOT:	Brett where's the book ?
CHI:	on your hair .
CHI:	t@l [/?] .
MOT:	okay Brett .
MOT:	what animal is it fr [/?] ?
CHI:	hug .
MOT:	wa [/?] look at your animals Brett .
MOT:	yeah .
MOT:	is that gonna be a car ?
MOT:	sound it out for me .
MOT:	it's not a car now .
MOT:	okay , Brett .
CHI:	pan [/?] .
MOT:	<it's only> [/?] this is only a picture of a dog .
MOT:	I don't think they make fan capsules Brett .
MOT:	and you can just play .
MOT:	why ?
MOT:	yeah , suds .
MOT:	now your little snake is taking a nap .
MOT:	you are .
MOT:	so read it one more time to me .
CHI:	on [/?] on my hair .
MOT:	it's a giraffe .
MOT:	what's he cleaning the car with ?
CHI:	on your hair .
CHI:	it's growing big .
MOT:	stocking stuffers .
CHI:	no .
MOT:	here's your little bunny eartail@f .
MOT:	where's the book now ?
CHI:	because , you're too +/.
CHI:	can I get my favorite shirt ?
CHI:	sponges are gonna grow big .
CHI:	it's hot .
CHI:	<a nut sat , an , at bat> [/?] .
