participant	content
MOT:	what did you hafta do with your shoes ?
MOT:	it doesn't ?
CHI:	if she's happy .
MOT:	you and I went on it .
CHI:	white and brown and green and orange clothes .
MOT:	the blue clothes too !
MOT:	does the earth turn around ?
CHI:	yeah .
MOT:	what does it mean ?
MOT:	come here , look at me bud .
CHI:	because she was fun .
CHI:	turn it .
MOT:	do you like to go to the car wash ?
MOT:	how do get out_of the car ?
CHI:	smiling .
MOT:	sit quietly until the bell rings .
CHI:	because it was fun .
MOT:	yeah .
MOT:	sit over here next to me .
CHI:	wanna do some lower case letters .
MOT:	do you go to school in the summer ?
MOT:	yeah .
CHI:	how about if you rip it ?
MOT:	tell me about what sha [/?] +/.
MOT:	you're welcome ?
MOT:	what else did he put in there ?
MOT:	yeah .
MOT:	can they fly ?
MOT:	and ?
CHI:	xxx many cl [/?] +/.
MOT:	do you hafta shovel snow in the summer ?
MOT:	what color was it ?
MOT:	what's that mean ?
MOT:	is she gonna grow ?
CHI:	wa [/?] drive .
CHI:	in the afternoon .
MOT:	how ?
MOT:	oh „ I don't know .
MOT:	yeah , dogs live on a farm .
MOT:	do I throw you in the pool ?
MOT:	remember that little tractor that pulled us around what was that
MOT:	<what do the brush> [/?] what do the brushes do ?
MOT:	please fold your hands .
MOT:	sit up with your hands folded .
CHI:	yeah .
CHI:	that's play+dough .
MOT:	I will be running .
MOT:	who falls ?
MOT:	what color were our decorations ?
CHI:	Santa .
CHI:	no .
CHI:	<there's> [/?] this is the farm .
MOT:	what does this do ?
CHI:	ate noodles and drank milk .
MOT:	how did Santa feel ?
CHI:	I do some letters .
MOT:	yep .
MOT:	what do I tell you to do <when it's time to> [/?] when it's time to
MOT:	yeah , but what else , he bought new clothes and +/.
MOT:	who took Santa to the store ?
MOT:	because they have +/.
MOT:	can Elsa run ?
MOT:	sit up Brett .
MOT:	flat , yeah .
MOT:	why do you play with Elsa ?
MOT:	okay , sit up Brett .
CHI:	I play with this .
MOT:	yeah , what's that machine do ?
CHI:	&mm [/?] .
MOT:	well , how do you think Santa's clothes got wrecked up ?
CHI:	in the shopping cart .
CHI:	don't wanna work for xxx .
CHI:	the fan .
CHI:	mommy .
MOT:	I wanna thank you Brett .
MOT:	what's the sound of the vacuum cleaner ?
MOT:	look at me .
CHI:	a circle .
CHI:	<ye , ne> [/?] , yeah .
MOT:	yeah .
CHI:	&-um [/?] her name .
CHI:	don't wanna talk .
CHI:	Santa .
CHI:	yeah .
CHI:	far away .
CHI:	flat .
MOT:	what do you do to the play+dough with that ?
CHI:	gotta go in it .
MOT:	why will Elsa break it she tries to fly in a tree ?
MOT:	what's this place called ?
MOT:	do butterflys have wings ?
CHI:	<no , no> [/?] no .
