participant	content
MOT:	do Elsa have legs ?
CHI:	tell me about the pig .
MOT:	what did you ride in ?
MOT:	do you wanna play with your play+dough ?
CHI:	can I play with these ?
MOT:	Brett ?
MOT:	Brett ?
CHI:	the needle .
CHI:	because you will break it .
MOT:	do you know why Elsa wags her tail ?
MOT:	I haven't been watching them .
CHI:	xxx .
MOT:	I don't know , what happens ?
CHI:	the play+dough goes in there .
CHI:	in the afternoon .
MOT:	and ?
CHI:	yeah .
CHI:	this kid's knotting the shoe .
MOT:	what's this one for ?
CHI:	two .
CHI:	yeah .
CHI:	will [/?] the metal will cut me .
CHI:	in the summer .
MOT:	what do you do in the summer ?
MOT:	yes , she does .
MOT:	why did Santa come here ?
MOT:	yeah .
MOT:	oh , when do you shovel snow ?
MOT:	oh , .
MOT:	is Elsa a little tiny dog with black hair ?
MOT:	oh , and what else ?
MOT:	who took him to the store ?
CHI:	to get [/?] bring flowers .
CHI:	wash the car .
CHI:	no .
MOT:	tell me about the pig .
MOT:	yes , Brett .
CHI:	the castle .
MOT:	after you get seven stickers , Brett , you can play with +/.
CHI:	yeah .
MOT:	what was the woman's name ?
MOT:	did Santa get mad ?
CHI:	yeah .
MOT:	oh , who wrecked his green clothes ?
CHI:	xxx .
CHI:	want +/.
MOT:	Brett .
CHI:	the sun .
CHI:	the pig looks like Elsa .
CHI:	umm [/?] .
CHI:	far away .
MOT:	what do you do with Elsa ?
MOT:	yeah .
CHI:	Elsa .
MOT:	remember that little tractor that pulled us around what was that
CHI:	yeah .
CHI:	mommy !
MOT:	look at me .
CHI:	big dog .
MOT:	means what's ready ?
MOT:	what's the woman's name ?
MOT:	no clothes !
MOT:	hey [/?] Brett .
MOT:	walk quietly in here please .
MOT:	and who went with you ?
MOT:	what do I say ?
MOT:	san [/?] did Santa's dog chew his green clothes ?
CHI:	where's the farm ?
MOT:	what did the dog do to the clothes ?
MOT:	what do we do after the car comes out_of the car wash ?
CHI:	how about if you run with your legs ?
MOT:	what were you doing ?
MOT:	oh , the dog wrecked the green clothes .
CHI:	yes .
MOT:	the earth turns around .
MOT:	what did we use to sew the popcorn ?
MOT:	it covers it up ?
MOT:	right .
MOT:	how do get out_of the car ?
MOT:	can Elsa fly ?
MOT:	tell me about the sun .
CHI:	what butterfly's wings do ?
MOT:	what else did he put in his cart ?
MOT:	why can't you fly ?
MOT:	what about the summer ?
MOT:	I don't think he has any .
MOT:	the biggest giant store .
CHI:	no .
CHI:	touch the fan .
CHI:	yeah .
MOT:	tell me about Elsa .
MOT:	who's Josha ?
MOT:	yeah .
CHI:	shoulders .
CHI:	because she is fun .
CHI:	some [/?] woman's friend .
CHI:	if [/?] when she's happy .
MOT:	Brett , what did you eat for lunch today in school ?
CHI:	xxx many cl [/?] +/.
MOT:	I don't think they do either .
CHI:	do the play+dough .
MOT:	yeah , what is he doing ?
MOT:	no .
CHI:	these are Brett's .
MOT:	flat , yeah .
MOT:	no , not yet .
CHI:	no .
CHI:	how about if the building burns down ?
MOT:	with , okay yeah .
CHI:	letters .
CHI:	how about if you rip it ?
CHI:	mommy .
MOT:	fold your hands Brett .
CHI:	how about if the building burns down ?
MOT:	sit up Brett .
CHI:	mine .
CHI:	black .
CHI:	can I hold this ?
MOT:	yeah .
MOT:	what else did he buy ?
CHI:	the tractor .
MOT:	I will be running .
MOT:	we're gonna read this book .
CHI:	red clothes .
MOT:	did Santa go to the store alone ?
CHI:	take them off .
CHI:	don't wanna .
MOT:	remember you +/.
CHI:	&mm [/?] .
CHI:	no fan on the farm .
MOT:	she's gonna get big .
CHI:	hm: [/?] his green +/.
CHI:	do some letters .
CHI:	xxx .
MOT:	is [/?] &-um [/?] what does Josha look like ?
CHI:	yeah .
MOT:	is that what Elsa +/.
CHI:	because it was spray .
MOT:	Brett you've got to earn your butterflys first and then you can
CHI:	what's the sun do ?
MOT:	&-um [/?] did Santa have any blue clothes or blue +/.
CHI:	yeah .
CHI:	no .
MOT:	what kind of animals ?
CHI:	not green clothes because they got broken .
CHI:	a circle .
MOT:	you hafta earn them .
MOT:	Tim's not the pig .
CHI:	walk and run .
MOT:	you know what these are for ?
MOT:	what Brett ?
CHI:	you say it will break .
MOT:	Brett , look at me .
CHI:	you push the play+dough .
CHI:	yeah .
CHI:	don't talk to you .
MOT:	what color is she ?
MOT:	that is because we don't have snow in the summer .
MOT:	when you have seven .
CHI:	long hair .
MOT:	when you have seven stickers you can play with your play+dough .
MOT:	who went with him ?
CHI:	jump on .
MOT:	so the building won't burn down , yeah .
MOT:	no , where's Josha's house ?
CHI:	the fireman's putting the <hot wa> [/?] the cold water out .
MOT:	I don't know .
MOT:	that's all the clothes .
MOT:	when it's summer again we'll go back to the amusement park .
CHI:	because he's real skinny .
CHI:	flat it .
MOT:	okay .
MOT:	what else did he put in his cart ?
MOT:	Brett .
MOT:	I can see we need some structure .
MOT:	what happens , Brett ?
MOT:	what did the dog do to the clothes ?
CHI:	this is Brett's .
CHI:	come here .
MOT:	what else ?
MOT:	thank you , Brett .
MOT:	that's right .
MOT:	okay .
CHI:	xxx .
CHI:	tell me about christmas .
CHI:	monk [/?] +/.
MOT:	in a big giant car .
MOT:	and green clothes .
CHI:	wings .
CHI:	can I cut this butterfly ?
CHI:	no .
CHI:	if Elsa flys up in a tree <she'll break> [/?] her arms will break .
CHI:	shoes .
MOT:	you know what you do with this ?
MOT:	after you took off your shoes , then what did you do ?
CHI:	monkey .
MOT:	yeah .
MOT:	the woman ?
MOT:	what did he do to the dog ?
MOT:	oh , is she old or young ?
MOT:	you use it to cut out christmas trees .
MOT:	look at me .
CHI:	Tim .
CHI:	I don't wanna .
MOT:	hey [/?] Brett why [/?] why's Elsa gonna get big ?
MOT:	where did they get broken ?
MOT:	big red clothes .
MOT:	Brett , do you have wings ?
MOT:	they got wrecked up ?
MOT:	no .
CHI:	thank you .
MOT:	now when +/.
CHI:	xxx fly .
MOT:	when she's what ?
MOT:	what's it doing with its body while it's smiling ?
MOT:	what did we sew that we put on the tree ?
MOT:	what ?
MOT:	can you run ?
MOT:	does that sound like Santa ?
MOT:	Brett .
MOT:	what's that ?
MOT:	he bought red clothes and what else ?
MOT:	what does it do ?
CHI:	I don't wanna .
MOT:	tell me all about the amusement park .
MOT:	sit quietly until the bell rings .
CHI:	xxx swimming .
MOT:	then <what did he put in wi> [/?] what did he put in after he put
CHI:	Santa .
CHI:	yeah .
MOT:	oh , look at this one .
MOT:	do you know what these things are ?
MOT:	what does this do ?
MOT:	they feed the animals .
MOT:	because it's fun .
MOT:	she has shoulders , but <what else> [/?] what does she not have ?
CHI:	he's tying his shoe .
MOT:	which one ?
MOT:	be [/?] +/.
CHI:	the dog .
CHI:	no .
CHI:	decora [/?] lights and decorations .
MOT:	oh , .
MOT:	did the dog chew the clothes ?
CHI:	shovel snow .
MOT:	what did Santa do to dog ?
CHI:	yeah .
CHI:	yeah .
CHI:	<tweet , tweet> [/?] .
MOT:	what do butterflys fly with ?
CHI:	mine .
CHI:	not blue , not green .
MOT:	Josha .
CHI:	works .
MOT:	what color was it ?
MOT:	how do you get in the pool ?
CHI:	yeah .
MOT:	why will Elsa break it she tries to fly in a tree ?
MOT:	didn't you have a cookie or anything ?
MOT:	what color were our decorations ?
MOT:	I took him to the store ?
MOT:	what would happen if I threw you in the pool ?
MOT:	monkey what ?
MOT:	no .
CHI:	yeah .
MOT:	right .
MOT:	yeah .
MOT:	what do you use to run outside with ?
MOT:	can you fly ?
MOT:	go ahead .
MOT:	but can you fly with a tail ?
CHI:	yeah .
MOT:	can she run ?
CHI:	yeah , no .
MOT:	did he buy shoes ?
MOT:	because she's fun , yeah .
MOT:	can you fly ?
MOT:	Brett , we're gonna stay there until we're +/.
MOT:	oh , .
CHI:	mom .
