participant	content
MOT:	where are the cups , Jack .
MOT:	these come out +/.
MOT:	can you sing hello to you Helen ?
MOT:	let's see .
MOT:	does Jack wanna play with the book anymore ?
CHI:	<a penguin named Paul> [/?] .
MOT:	do you know what these are ?
MOT:	here .
CHI:	tiger .
MOT:	Jack .
MOT:	do you wanna +/.
MOT:	do you wanna play with your helicopter too ?
MOT:	Jack can you sit over here , so joy can see ?
CHI:	mama .
MOT:	you wanna do another one ?
MOT:	you can open the pictures Jack .
MOT:	xxx .
CHI:	wink .
MOT:	can you open that ?
CHI:	time to go back in .
CHI:	cat .
MOT:	mommy's stew .
MOT:	right here .
MOT:	look .
CHI:	it's time .
MOT:	is this one up here ?
MOT:	good singing .
MOT:	it's a small clock .
CHI:	clock says time to say goodbye .
CHI:	what do you think ?
MOT:	a picture of a +/.
MOT:	who loves huggies ?
MOT:	do you wanna play with this anymore ?
MOT:	oh , .
MOT:	these are +/.
CHI:	xxx .
MOT:	what were you doing ?
CHI:	open the door .
MOT:	who loves gum in this house ?
CHI:	spot [/?] .
MOT:	Jack , look at me .
MOT:	oh , .
MOT:	Jack ?
MOT:	wait a minute .
MOT:	what do you think ?
MOT:	say it again .
MOT:	what does that say Jack ?
CHI:	<her brother> [/?] .
CHI:	eating .
MOT:	Jack ?
CHI:	things you can bake .
MOT:	&is [/?] (is)n't that great ?
MOT:	this is the present that Helen brought you this time .
MOT:	what is it +/.
MOT:	turn around .
MOT:	come on back here Jack .
MOT:	talk to mama .
MOT:	oh , what's that say ?
MOT:	let's open another one .
MOT:	you did it .
MOT:	xxx .
MOT:	yeah .
MOT:	yeah , you and joy can play afterwards .
MOT:	you can open the pages .
MOT:	<in one of the doors> [/?] .
MOT:	yeah .
MOT:	you can open the +/.
MOT:	<animal zoo> [/?] .
CHI:	open the door .
CHI:	what's that a picture of ?
CHI:	open the door .
MOT:	and sit with us .
MOT:	what's that a picture of ?
MOT:	move over .
CHI:	xxx .
CHI:	open the door .
CHI:	xxx .
MOT:	another door .
MOT:	yeah , let's see .
MOT:	you wanna play with the book anymore ?
MOT:	look .
CHI:	the clock says time to go back .
MOT:	it says <inside was a calico cat that was small> [/?] .
MOT:	I love you .
MOT:	don't you wanna play anymore ?
MOT:	just a minute .
MOT:	open that one Jack .
CHI:	lion .
CHI:	quarter of six .
MOT:	okay .
MOT:	Jack .
MOT:	what's that inside Jack ?
CHI:	slingshot [/?] .
MOT:	Jack .
CHI:	in a few minutes .
MOT:	right .
MOT:	that's it .
MOT:	very good .
MOT:	good .
MOT:	Jack , what's that a picture of ?
CHI:	okay .
MOT:	oh , .
MOT:	oh .
CHI:	okay .
CHI:	tood(le)loo !
CHI:	xxx .
MOT:	right .
