participant	content
CHI:	<n@l e@l w@l t@l o@l n@l> [/?] .
MOT:	let's go .
MOT:	Jack .
MOT:	I wanna do that game .
CHI:	Jack watch +/.
MOT:	come on over here .
MOT:	oh , you will .
MOT:	come out_of there .
MOT:	that's good .
MOT:	let me open these for joy .
MOT:	one what ?
CHI:	xxx .
MOT:	and his crayons .
CHI:	magic rainbow .
CHI:	<it's part of the good nutrition> [/?] .
MOT:	count them .
CHI:	chair .
CHI:	that's right .
MOT:	Jack .
CHI:	<on on> [/?] in a minute .
MOT:	what's this man's name ?
MOT:	which one do you wanna do ?
MOT:	what's the first letter ?
CHI:	bird .
MOT:	am [/?] I sitting in one ?
MOT:	she's going to Baltimore ?
MOT:	sit beside me .
MOT:	you want me to +/.
MOT:	what's the first letter ?
CHI:	<you're not scared of count> [/?] .
CHI:	<whoa , whoa> [/?] no .
MOT:	no watch out for the wire .
CHI:	monday .
MOT:	I don't think he fits up there Jack .
MOT:	Jack .
CHI:	scared .
MOT:	and the banana+splits .
MOT:	yes .
MOT:	alright .
CHI:	coat .
MOT:	right .
MOT:	you forgot the r@l [/?] .
MOT:	where is it ?
CHI:	hit Ninex <name of dinosaur> [/?] .
MOT:	Jack , what do you wanna do ?
MOT:	sit down .
CHI:	p@l [/?] .
MOT:	let's put the train +/.
MOT:	Jack's doing good .
MOT:	&st [/?] a stamp and color set .
MOT:	one and five together means is fifteen ?
MOT:	where do you go to school ?
MOT:	is [/?] Jack talking about a tv commercial ?
MOT:	and give it to me .
MOT:	it went away .
MOT:	the other way .
MOT:	see go like this .
MOT:	can Jack do that ?
MOT:	oh , and what's that say ?
MOT:	what's his name .
MOT:	yeah .
MOT:	you tell me what it says .
MOT:	does Jack like Kermit ?
MOT:	not student .
CHI:	scared stiff .
MOT:	who's the teacher you're gonna see in two weeks ?
MOT:	it's in the town of +/.
MOT:	watch what you're doing .
CHI:	no screaming .
MOT:	track .
CHI:	xxx .
CHI:	and Nathaniel .
MOT:	t@l [/?] +/.
MOT:	what are they gonna do ?
CHI:	muppet movie .
CHI:	me [/?] me <want , want> [/?] want .
MOT:	you pick one .
CHI:	Jack .
