participant	content
MOT:	where's daddy's truck ?
MOT:	you pick one .
MOT:	that's right we'll watch those tomorrow .
CHI:	<one , two , three , four , five , six , seven> [/?] .
MOT:	yeah , we have a whole bunch of lights .
MOT:	sit down .
MOT:	no .
MOT:	do you know where that is ?
MOT:	let me see your pen .
CHI:	<we're not scared Count_Chocula> [/?] .
MOT:	spell broom .
MOT:	come [/?] come this way .
MOT:	okay , <let me> [/?] let me try this one on you .
CHI:	one [/?] one .
CHI:	three forty five .
MOT:	&st [/?] a stamp and color set .
MOT:	I think you'll really like this Jack .
MOT:	we'll watch the muppet movie again .
MOT:	good singing .
CHI:	<b@l o@l o@l m@l> [/?] .
CHI:	okay .
MOT:	what's that say ?
MOT:	who's not scared count .
MOT:	try to get those together .
CHI:	and Sasha .
MOT:	oh , look at this .
MOT:	let me see you write ten .
CHI:	I did one !
MOT:	okay .
MOT:	hey , what are you doing ?
CHI:	a hug .
MOT:	okay .
CHI:	okay .
MOT:	you tell me what it says .
MOT:	these are letters .
MOT:	s@l [/?] +/.
CHI:	did he touch it ?
CHI:	Houghton pond .
MOT:	it's not in Baltimore .
CHI:	xxx .
MOT:	what about &-um [/?] , come on .
MOT:	we'll see you again .
MOT:	here try that one .
MOT:	nine forty five .
MOT:	where's Houghton's pond .
CHI:	o'clock .
MOT:	Jack .
MOT:	Jack's doing good .
MOT:	over there .
MOT:	Jack's doing so good writing .
MOT:	here , take a seat .
MOT:	one and five together means is fifteen ?
MOT:	coat .
MOT:	t@l [/?] +/.
MOT:	okay , what's +/.
MOT:	Tom_and_Jerry don't ride dinosaurs .
MOT:	Jack that looks like fun doesn't it ?
CHI:	Jack watch the muppet movie .
MOT:	I don't know ?
MOT:	no , teacher , teacher .
MOT:	Jack ?
MOT:	let's read it first , before we open it .
MOT:	i [/?] I don't like that noise .
MOT:	what time does that say ?
MOT:	watch what you're doing .
MOT:	and +/.
CHI:	and you'll enjoy xxx .
MOT:	what does that say ?
MOT:	too the choo_choo train ?
CHI:	okay .
CHI:	okay .
CHI:	need a pad .
MOT:	would you put that on top there .
MOT:	let me try another one .
MOT:	Jack .
MOT:	is [/?] that guy trying to get them .
CHI:	car ?
MOT:	you wanna put this together ?
MOT:	who else ?
CHI:	xxx .
MOT:	do you wanna ope [/?] +/.
MOT:	that's a good idea .
MOT:	and we're gonna attach this part .
MOT:	we'll put this together .
MOT:	yeah .
MOT:	what's the rest of it ?
MOT:	that's your name .
MOT:	what's the name of the school ?
CHI:	sit down !
MOT:	sit over here on the chair .
MOT:	we'll make a little track okay Jack ?
CHI:	xxx .
MOT:	what's that say ?
CHI:	watch the muppet movie in a minute .
MOT:	you gotta leave it alone for a second .
CHI:	bath+room .
MOT:	no , how many (i)s that ?
CHI:	monday .
MOT:	easy [/?] easy .
MOT:	there's Jack , there's +/.
CHI:	daddy [/?] daddy .
MOT:	come on .
MOT:	okay , you wanna try that ?
CHI:	watch [/?] watch the muppet movie .
MOT:	who's the teacher you're gonna see in two weeks ?
CHI:	<l@l o@l double l@l I@l p@l o , p@l spells lollipop , lollipop ,
MOT:	ten .
MOT:	what else can we do ?
MOT:	&sh [/?] .
MOT:	would you like to play &-um [/?] +/.
CHI:	bye muppets .
MOT:	sit .
MOT:	what's this a picture of here ?
CHI:	track .
MOT:	yeah we'll watch those again .
MOT:	he's up on your head .
MOT:	let's put the train +/.
MOT:	wanna put the choo_choo train on the track ?
MOT:	how do you spell table ?
MOT:	Jack , let go of the wire .
MOT:	watch .
MOT:	alright , let's do another one .
