participant	content
MOT:	put it up there with that baseball .
CHI:	stop it .
CHI:	piano .
MOT:	that's right .
MOT:	that's right .
CHI:	he bit me .
CHI:	cheese !
CHI:	my name isn't Angie .
MOT:	monday .
CHI:	watch my +/.
MOT:	have a +/.
MOT:	what is that Jack in you hand ?
MOT:	he'll go <num num num> [/?] and at that all up .
MOT:	can I give it to the Cookie_Monster ?
CHI:	cheers , Josh , xxx .
MOT:	you can watch &-um [/?] whoever plays .
CHI:	hold your hand ?
CHI:	Angie !
CHI:	xxx .
CHI:	shh [/?] stop it .
MOT:	you were [/?] teasing each_other , &were [/?] (were)n't you ?
MOT:	or not .
MOT:	do you call her Elsa ?
CHI:	what's on monday ?
MOT:	and what's that ?
MOT:	oh , what's that ?
MOT:	boxing , right .
MOT:	can you mix up that mix in the bowl ?
CHI:	dog .
MOT:	who lives up the street .
MOT:	Jack , today is [/?] +/.
MOT:	Jack likes which car ?
CHI:	hello Jack how are you ?
MOT:	who did ?
MOT:	you get your car fixed at the car station .
MOT:	that's it .
MOT:	put that up there .
CHI:	and xxx .
MOT:	you writing letters on the rug ?
MOT:	Big_Bird looks like he's shooting some baskets .
MOT:	yeah , Jack played with willie too .
CHI:	baseball .
CHI:	click .
CHI:	Debbie_Jungens xxx .
MOT:	you wanna come over here ?
CHI:	xxx .
MOT:	that is a +/.
MOT:	ah [/?] a chocolate chip cookie !
MOT:	<num num num num num> [/?] .
MOT:	Jack , what do you +/.
CHI:	ball .
MOT:	<Jack , Jack> [/?] Jack .
MOT:	can I put it down there ?
CHI:	go back +/.
MOT:	and we'll see him on another day .
MOT:	yeah , everything that you said drew repeated right back to you ,
CHI:	eating their dinner .
MOT:	<tuesday , wednesday , thursday> [/?] four more days .
CHI:	&sh [/?] stop it .
MOT:	the Boston +/.
CHI:	under water .
MOT:	drew was [/?] teasing you down on the cape .
MOT:	and Jack's writing on the rug .
MOT:	and what ?
MOT:	not today , because it's raining .
CHI:	one [/?] +/.
MOT:	what is that ?
CHI:	on a different day .
CHI:	no !
CHI:	Guy_Smiley says cheese .
CHI:	xxx .
MOT:	what is this ?
CHI:	ball .
MOT:	Jack likes to play basketball with +/.
MOT:	bye Laurie .
CHI:	run ?
MOT:	no , goodbye mama .
MOT:	boxing , right .
MOT:	because it's raining .
CHI:	hit +/.
CHI:	Bert .
CHI:	xxx .
MOT:	is [/?] there a tv show called Angie xxx ?
MOT:	but we can go +/.
MOT:	where is Barclay ?
CHI:	xxx .
CHI:	dog .
MOT:	that was [/?] a big yawn for a little guy .
CHI:	whoof [/?] .
MOT:	I forget her name .
MOT:	who eats all those cookies ?
MOT:	<did Jack> [/?] did Jack like drew ?
CHI:	<whoof , whoof , whoof> [/?] .
CHI:	where's +/.
CHI:	shh [/?] stop it .
MOT:	yeah .
MOT:	what is that ?
MOT:	everybody say cheese .
CHI:	friday .
CHI:	that's down here .
MOT:	Jack .
MOT:	who did ?
MOT:	pitch , right .
MOT:	today .
MOT:	that's not Guy_Smiley .
CHI:	goodbye cape +/.
MOT:	what's his name ?
MOT:	who goes <num num num num num num num num> [/?] ?
MOT:	what is that ?
MOT:	right through that hoop .
MOT:	who says Chichi get over here ?
CHI:	<dog is> [/?] bad xxx dog .
MOT:	would Jack like to talk to me and tell me who these guys are ?
MOT:	<is that a> [/?] &-um [/?] is [/?] that a piano ?
MOT:	raft .
MOT:	what's that ?
MOT:	Jack , what car do you like best ?
MOT:	right there pretend that's a basketball hoop .
MOT:	who else ?
CHI:	Bert and Ernie .
MOT:	not yet .
MOT:	what car does Jack like best ?
MOT:	it's only three o'clock .
MOT:	what does Jack wanna do ?
MOT:	you wanna cook brownies ?
MOT:	oh , <we'll put that> [/?] +/.
CHI:	hi Tina .
CHI:	hit here .
CHI:	there [/?] there's a cookie .
MOT:	right .
CHI:	Guy_Smiley .
CHI:	and +/.
CHI:	okay .
CHI:	ah [/?] .
CHI:	hi , Helen .
MOT:	go ahead .
MOT:	Jack , who plays the guitar ?
MOT:	right .
MOT:	a +/.
MOT:	did Jack like playing with the Big_Bird color form play set ?
MOT:	and then what's this ?
MOT:	what's his name ?
MOT:	Jack can watch those cartoons as_soon_as &-um [/?] Helen and Tina
CHI:	for the adventures of Guy_Smiley !
CHI:	Helen leave ?
CHI:	Angie .
MOT:	what did you cook on the stove ?
CHI:	Angie .
MOT:	mama doesn't , but his daddy does .
MOT:	Jack , do you know what that is [% cc] ?
CHI:	say cheese .
MOT:	you and daddy can go in the truck .
CHI:	want Dana and Todd mom .
MOT:	Jack , who said bad dog ?
CHI:	eat +/.
MOT:	let me see you crack that egg open .
MOT:	yeah .
MOT:	she wants you to come down and visit , okay ?
CHI:	shh [/?] .
CHI:	okay .
CHI:	talk .
MOT:	Jack .
MOT:	you and daddy are going on friday .
MOT:	what are you saying ?
MOT:	and then we can pour in a little milk .
