participant	content
MOT:	what is it ?
CHI:	cut it .
MOT:	what's an eel look like ?
MOT:	say a full sentence .
MOT:	you want a round table or a square table ?
CHI:	leaf .
CHI:	yeah .
MOT:	look at me .
CHI:	peanut is nut .
MOT:	you don't needta make it quite so big .
MOT:	where else do you want me to cut it ?
MOT:	in what ?
MOT:	yeah .
CHI:	eel .
CHI:	xxx .
CHI:	donut .
CHI:	draw xxx [/?] .
CHI:	xxx .
MOT:	peanut is a nut , but what is a nut ?
MOT:	you play with it , but what do you do when you play with it ?
MOT:	Mark .
CHI:	daisy is flower .
CHI:	sad face .
CHI:	what this ?
MOT:	know what an eel looks like ?
CHI:	puffer .
MOT:	it's a honey bear is a kink [/?] kinkajou , I guess .
MOT:	yeah , but what did you make on the face ?
CHI:	o@l [/?] .
CHI:	here mama do it .
MOT:	on the tail .
CHI:	xxx .
MOT:	the top cabinets .
CHI:	cut it .
MOT:	turn lamp what ?
MOT:	what's in the top cabinets ?
CHI:	xxx .
CHI:	fish .
MOT:	okay .
CHI:	xxx yak yak [/?] .
MOT:	beach and what ?
CHI:	done .
CHI:	cabinet .
CHI:	coffee .
MOT:	well they almost look like hearts , you're right .
CHI:	table .
MOT:	it's a weasel .
MOT:	you erase it .
MOT:	yeah , we don't have any daisys though .
MOT:	well it is .
MOT:	on the stove .
CHI:	q@l [/?] .
MOT:	say it better .
MOT:	on the ground ?
MOT:	well get it while I'm doing this .
MOT:	look at mummies's mouth when you're talking .
MOT:	no the moon is at +/.
CHI:	<g@l e@l> [/?] .
MOT:	you spell it .
CHI:	frog .
CHI:	xxx .
MOT:	what do I put the food in on the stove ?
MOT:	bell .
CHI:	xxx .
CHI:	draw moon .
CHI:	get apple .
CHI:	backward .
MOT:	get your thermos .
MOT:	okay .
CHI:	albatross .
MOT:	it's a yak .
CHI:	five hand .
MOT:	look at the indian .
CHI:	hand .
MOT:	do you have a clock radio ?
CHI:	no .
CHI:	octopus eight leg .
CHI:	draw t@l [/?] ?
MOT:	how do you ask ?
CHI:	draw moon .
CHI:	yes .
MOT:	I want some sentences .
CHI:	bird .
CHI:	okay .
MOT:	what do you wanna make ?
CHI:	Stop_And_Shop bag .
MOT:	don't make four .
CHI:	flower .
CHI:	cut it .
MOT:	it's a big one .
CHI:	knit yarn .
MOT:	what's that ?
CHI:	what this ?
MOT:	yes and what do you hear on the radio ?
CHI:	xxx .
CHI:	v@l [/?] .
CHI:	violin .
MOT:	yeah , it's a bird .
MOT:	listen to me .
MOT:	no , those aren't bubbles .
CHI:	mama do it .
MOT:	well let's erase it better .
CHI:	z@l [/?] .
MOT:	it's a feather .
MOT:	you didn't hafta draw it again .
MOT:	say it again .
CHI:	leaf .
CHI:	what this ?
MOT:	yeah , they look like a sn [/?] +/.
MOT:	whoop !
CHI:	cabinet .
MOT:	yeah , that's better .
CHI:	here .
CHI:	q@l [/?] .
CHI:	spoon .
MOT:	oh , .
CHI:	gum .
CHI:	watermelon .
MOT:	look for it .
CHI:	crown .
CHI:	hand .
CHI:	<b@l b@l> [/?] .
CHI:	sun .
CHI:	cow .
MOT:	start at the bottom .
MOT:	wait <wait wait wait> [/?] .
MOT:	no ?
CHI:	no .
CHI:	no .
MOT:	jelly+beans ?
MOT:	think of what's inside mummies's cabinets .
MOT:	when you erase , brush it off .
MOT:	what do I cook with ?
