participant	content
MOT:	yeah .
MOT:	do cats go inside clocks ?
MOT:	spot .
MOT:	the blue balloon ?
MOT:	these are called christmas o@l [/?] +/.
CHI:	xxx .
MOT:	the sun is gone , I wrote that down .
MOT:	huh [/?] ?
MOT:	tell me .
CHI:	all done .
MOT:	that's right .
MOT:	penguin .
CHI:	xxx .
MOT:	bride .
CHI:	<the , it , the> [/?] it is unde(r) +/.
MOT:	that's right .
MOT:	but the balloon is getting +/.
MOT:	it's not a bath+room .
CHI:	tiger .
MOT:	it's not spring now .
MOT:	okay , where is the bride and groom ?
MOT:	okay .
MOT:	so no snow .
CHI:	gone .
MOT:	you tell me what happens .
MOT:	yeah .
MOT:	they go on the christmas +/.
MOT:	the balloon +/.
MOT:	well , no , it's not an eraser .
CHI:	cake .
MOT:	you tell me .
MOT:	it's called a +/.
CHI:	bed+room .
MOT:	what's he doing ?
CHI:	cake .
CHI:	cake .
MOT:	the boy is +/.
MOT:	what's that ?
MOT:	what happens next ?
MOT:	what's the temperature ?
MOT:	okay .
MOT:	hey [/?] that was pretty good !
MOT:	yeah .
CHI:	blue balloon .
CHI:	the umbrella .
MOT:	now you're getting silly .
MOT:	read it to me .
MOT:	huh ?
MOT:	man .
MOT:	what else do you see besides the ball there ?
CHI:	broke it .
MOT:	is that what you're doing ?
MOT:	what do you do with bubbles and a pipe ?
CHI:	boy +/.
MOT:	yeah , it is .
CHI:	bubble .
MOT:	look outside .
MOT:	Salshy .
MOT:	no , christmas +/.
CHI:	sunny .
MOT:	yeah .
CHI:	snow .
MOT:	it's a broken sl [/?] +/.
MOT:	xxx .
MOT:	let's see what's under the blanket .
MOT:	the snow .
MOT:	which one of these is next ?
CHI:	blue balloon .
MOT:	what's under the hat ?
CHI:	pipe .
CHI:	yeah .
MOT:	let's see what's in the stove .
CHI:	sunny .
MOT:	she's snow pants on .
CHI:	mouse .
MOT:	what's that say ?
CHI:	rain .
MOT:	fish .
CHI:	fishing pole .
CHI:	gives .
CHI:	rainbow .
CHI:	no sugar .
CHI:	red .
CHI:	frosting cake .
CHI:	no .
CHI:	using [/?] .
MOT:	yeah , he is .
MOT:	okay .
CHI:	truck .
MOT:	you wanna look at it ?
CHI:	cooking cake .
MOT:	what's that ?
MOT:	yes , when's valentines day ?
MOT:	what is it ?
MOT:	who's got gumballs ?
MOT:	alright .
MOT:	here we'll give this one a try .
CHI:	girls .
MOT:	is he standing on top of the umbrella ?
MOT:	this is a trunk .
MOT:	he is frosting the cake .
MOT:	what's happening here ?
CHI:	bunny .
MOT:	look .
MOT:	no , he's not a dog .
MOT:	okay , you say it .
MOT:	is a man +/.
CHI:	yes .
MOT:	it gets so big that it +/.
CHI:	ball .
MOT:	two +/.
MOT:	what color is the bicycle ?
MOT:	Mark , what's he putting on top of the cake ?
MOT:	he's standing where ?
MOT:	yeah , are they gonna eat it ?
MOT:	what's happening ?
CHI:	window .
CHI:	man .
MOT:	yeah .
MOT:	chef .
MOT:	wedding .
MOT:	do you +/.
MOT:	look_it Mark .
MOT:	now he is +/.
MOT:	the balloon +/.
MOT:	here's the bed , now let's see what's behind there .
MOT:	what comes next ?
MOT:	do you know what this is called right here ?
MOT:	is he gonna clean the snow with the broom ?
MOT:	it's right .
MOT:	is that hot ?
CHI:	broke it .
MOT:	who is cooking cake .
MOT:	that one ?
MOT:	in the +/.
CHI:	wedding cake .
MOT:	is +/.
MOT:	what are they doing ?
MOT:	in +/.
CHI:	pipe .
MOT:	are you looking at it ?
MOT:	wanna see +/.
MOT:	a wedding +/.
MOT:	who's giving umbrella ?
MOT:	and what kind of candy that's red , orange , green , yellow , and
CHI:	balloon [/?] +/.
MOT:	that's yarn in the bag , that's right .
MOT:	look_it .
CHI:	groom .
CHI:	snow .
CHI:	cloudy .
CHI:	bubble .
MOT:	let's see there's some more to open .
MOT:	mhm .
MOT:	look there's a cookie jar .
MOT:	what's next ?
MOT:	full sentence .
MOT:	wedding cake .
MOT:	is that the boy's daddy ?
CHI:	more balloon .
MOT:	look_it .
MOT:	what's this called ?
CHI:	boy making cake .
CHI:	holding balloon .
MOT:	they're playing in the what ?
MOT:	full sentence .
CHI:	broke .
CHI:	December .
MOT:	let's see what's under the blanket .
CHI:	blow up a balloon .
MOT:	where dog ?
MOT:	see ?
CHI:	no .
MOT:	what do you get when you're done ?
MOT:	I want you to read this .
MOT:	so what happened ?
MOT:	no , look at it .
MOT:	getting +/.
MOT:	no , you don't eat them .
CHI:	open it .
CHI:	umbrella [/?] .
MOT:	which is the first one ?
MOT:	is it beginning to , I don't know .
MOT:	that's right .
MOT:	yeah what kind of +/.
CHI:	broke it .
CHI:	not dog .
