participant	content
MOT:	yeah he is smoking pipe .
CHI:	xxx .
MOT:	more balloon ?
CHI:	<it is winter> [/?] .
MOT:	no .
CHI:	<the girls are playing in the snow> [/?] .
CHI:	fishing pole .
MOT:	smoking .
CHI:	cloudy .
MOT:	frosting cake .
CHI:	on .
MOT:	yeah .
MOT:	xxx cloud .
MOT:	what is it in summer , hot or cold ?
MOT:	and what's that ?
MOT:	and the boy is called a +/.
MOT:	no , where are they ?
MOT:	let's look at this .
CHI:	done .
MOT:	is he a kitty cat ?
MOT:	huh ?
MOT:	he , come on +/.
CHI:	apricot .
MOT:	right .
MOT:	he is putting +/.
CHI:	xxx .
CHI:	clay .
CHI:	no .
CHI:	red bicycle .
CHI:	smoking pipe ?
CHI:	wet .
MOT:	see what else we got +/.
MOT:	cake on what ?
MOT:	thank you for the present .
MOT:	he is using umbrella .
MOT:	there's the cloud , yeah .
CHI:	closing .
CHI:	bigger , the balloon is broken .
MOT:	are +/.
CHI:	bell .
CHI:	yeah .
MOT:	is he standing on top of the umbrella ?
MOT:	yeah .
MOT:	alright .
MOT:	but can you say it better ?
CHI:	cup .
MOT:	flower ?
MOT:	it's not a very good r@l is it ?
MOT:	so what happened ?
MOT:	what is the bird doing ?
MOT:	let's see .
MOT:	okay .
MOT:	yeah the &ch [/?] +/.
MOT:	yeah , that's a hard one for you to say .
CHI:	blowing .
MOT:	what are they going to make ?
CHI:	the , it cloudy .
MOT:	who is it ?
CHI:	on the top .
CHI:	telephone .
MOT:	what happened ?
MOT:	what are they making ?
MOT:	what's behind the books ?
CHI:	right .
MOT:	say it .
CHI:	no .
CHI:	no .
MOT:	the boy is +/.
CHI:	the balloon .
CHI:	xxx bird .
MOT:	what does that say ?
CHI:	<it is winter> [/?] .
MOT:	we open this we find out what's under the hat .
MOT:	okay .
CHI:	truck .
CHI:	chef [/?] .
MOT:	what is that ?
CHI:	broke it .
CHI:	leave on .
CHI:	<right , right> [/?] right there .
MOT:	gives +/.
MOT:	and it [/?] she's made out_of +/.
MOT:	yeah , she's pants on .
CHI:	nope .
MOT:	is it the boy's sister ?
CHI:	zoo .
MOT:	what do we do in the summer ?
MOT:	yeah , what's the +/.
CHI:	<in cooking> [/?] .
MOT:	yeah , he is .
MOT:	and then we'll write it down .
CHI:	give .
MOT:	xxx tell me what you see .
CHI:	no .
MOT:	what's on top of the cake ?
CHI:	no pant on .
MOT:	bubble gum .
MOT:	to the dog .
MOT:	no , what's he wearing ?
MOT:	let's see what's under the bed covers .
MOT:	<the boy> [/?] +/.
CHI:	picture .
CHI:	cake .
CHI:	skittles .
CHI:	February valentine .
MOT:	wanna read it ?
CHI:	da [/?] +/.
MOT:	no , christmas +/.
MOT:	no .
CHI:	green .
CHI:	snow .
CHI:	yes .
MOT:	read that part +/.
MOT:	shhh [/?] .
MOT:	is he wet or dry ?
MOT:	yeah .
CHI:	zoo .
CHI:	smoking .
MOT:	right .
MOT:	snow Ma [/?] +/.
CHI:	here .
CHI:	be [/?] +/.
MOT:	let's look at one page .
MOT:	oh , !
MOT:	we don't know anybody that smokes a pipe .
CHI:	pipe .
MOT:	that's grass , now , yes .
MOT:	what's the mouse doing ?
MOT:	no , sitting under , yeah .
CHI:	yes .
CHI:	on , putting .
MOT:	that's a hat box .
CHI:	yes .
CHI:	eat a cake .
CHI:	broom .
MOT:	oh , is one a boy ?
