participant	content
CHI:	leaf .
MOT:	that's your +/.
MOT:	hey [/?] .
MOT:	yes .
CHI:	I +/.
MOT:	what do we write on ?
CHI:	can't take it .
MOT:	yeah .
MOT:	dri [/?] +/.
CHI:	pink .
MOT:	why not ?
MOT:	this is your +/.
MOT:	Mark .
MOT:	yeah .
MOT:	no .
MOT:	give me a sentence with that .
MOT:	what else ?
MOT:	full sentence .
CHI:	no .
CHI:	one .
MOT:	I see things that I recognize .
MOT:	ba [/?] +/.
CHI:	what we write .
MOT:	yeah .
MOT:	no .
MOT:	yeah .
CHI:	broom .
MOT:	who eats walnuts ?
MOT:	how many eye's ?
MOT:	who sings that song rubber duckie ?
MOT:	let's see what we have .
CHI:	not hit them back .
MOT:	Miss_Jillson that's right .
MOT:	give me a sentence .
MOT:	yeah .
MOT:	why ?
CHI:	swimming pool <on the ground> [/?] on the ground .
CHI:	on the bus .
CHI:	no .
CHI:	<boy is climb> [/?] boy is climbing slide .
CHI:	eat it .
MOT:	who plays ball ?
CHI:	no .
MOT:	you wanna what ?
MOT:	yeah at least .
CHI:	ground nest .
MOT:	yeah , Ernie .
CHI:	no .
MOT:	brown and tan .
MOT:	yeah .
MOT:	no we cook +/.
CHI:	and [/?] and kangaroo .
MOT:	the tr(unk) [/?] +/.
MOT:	balloons .
MOT:	who looks handsome today ?
CHI:	no .
MOT:	<&-uh &-uh &-uh> [/?] .
CHI:	done .
MOT:	what are you wrapping ?
MOT:	no .
MOT:	picking what ?
CHI:	yes .
MOT:	you do .
CHI:	eat a kangaroo .
MOT:	I'll eat an ice cream but not a bag .
MOT:	huh [/?] ?
CHI:	hair go on feet .
MOT:	&-uh [/?] then you can have these .
MOT:	<no , no , no> [/?] no .
CHI:	yeah .
CHI:	dark .
MOT:	huh [/?] ?
CHI:	paper [/?] picture .
CHI:	how about sentence .
MOT:	Mark .
CHI:	drive in car .
CHI:	that on [/?] on face .
CHI:	hot dog .
MOT:	say it .
MOT:	what else ?
MOT:	hm: ?
MOT:	full sentence .
MOT:	we don't put that red lunch box in a bag .
MOT:	and what else ?
MOT:	what's this ?
CHI:	&c [/?] .
MOT:	what is a strawberry ?
MOT:	that's right .
CHI:	the duck +/.
MOT:	you're making a funny face .
MOT:	what did you put in the bag ?
MOT:	no .
MOT:	yeah .
MOT:	alright .
MOT:	WHES has [/?] a duck toy on tv ?
CHI:	mommy jump .
CHI:	mommy .
MOT:	where do they go ?
CHI:	yes .
CHI:	sunny .
MOT:	it's three .
CHI:	no picture .
MOT:	what are you gonna do ?
CHI:	the wheel on .
MOT:	that's right .
MOT:	give me a sentence with draw .
CHI:	Mark .
MOT:	we're gonna put the bag away ?
MOT:	say it .
MOT:	who do you play ball with in school ?
MOT:	hey [/?] .
CHI:	xxx .
MOT:	how about a sentence with wheel ?
MOT:	who's crying ?
MOT:	not on the shoes .
MOT:	who do you play ball with in school ?
MOT:	give me a sentence with +/.
MOT:	do you know ?
MOT:	wanna do another one ?
CHI:	no .
MOT:	hey [/?] .
CHI:	not branch in tree .
MOT:	that's right .
CHI:	jump that .
CHI:	pencil .
CHI:	that xxx .
CHI:	yes .
CHI:	yes .
MOT:	did you play on the swing today ?
CHI:	moon .
MOT:	are [/?] you gonna color some of these and we'll show you how it
MOT:	Mark ?
MOT:	we'll do that one but I want jump first .
